bonus_value_id	effect	name_record
#effect_bonus_value_name_record_junctions_tables;1;db/effect_bonus_value_name_record_junctions_tables/data__		
active	wh2_dlc09_title_king	1646163634
priority	wh2_dlc09_title_king	1646163634
active	wh2_dlc09_title_prince	2024856906
priority	wh2_dlc09_title_prince	2024856906
active	wh2_dlc15_effect_epithet_name_sentinel	962290815
priority	wh2_dlc15_effect_epithet_name_sentinel	962290815
active	wh2_dlc15_effect_epithet_name_shadow	691091540
priority	wh2_dlc15_effect_epithet_name_shadow	691091540
active	wh2_dlc15_effect_epithet_name_watcher	421387992
priority	wh2_dlc15_effect_epithet_name_watcher	421387992
active	wh2_dlc16_effect_name_delliandra	1741262434
active	wh2_dlc16_effect_name_druthandor	1957490828
active	wh2_dlc16_effect_name_talrennic	1772329220
active	wh2_dlc16_effect_name_threllock	853791347
active	wh2_dlc16_effect_title_wef_office_drycha_embittered	1715976491
priority	wh2_dlc16_effect_title_wef_office_drycha_embittered	1715976491
active	wh2_dlc16_effect_title_wef_office_drycha_forgotten	18091687
priority	wh2_dlc16_effect_title_wef_office_drycha_forgotten	18091687
active	wh2_dlc16_effect_title_wef_office_drycha_lost	1886150440
priority	wh2_dlc16_effect_title_wef_office_drycha_lost	1886150440
active	wh2_dlc16_effect_title_wef_office_drycha_wild	1172310480
priority	wh2_dlc16_effect_title_wef_office_drycha_wild	1172310480
active	wh2_dlc16_effect_title_wef_office_sisters_beastbinder	1873768434
priority	wh2_dlc16_effect_title_wef_office_sisters_beastbinder	1873768434
active	wh2_dlc16_effect_title_wef_office_sisters_darkweaver	580915514
priority	wh2_dlc16_effect_title_wef_office_sisters_darkweaver	580915514
active	wh2_dlc16_effect_title_wef_office_sisters_glamourweaver	126217543
priority	wh2_dlc16_effect_title_wef_office_sisters_glamourweaver	126217543
active	wh2_dlc16_effect_title_wef_office_sisters_highweaver	1299778098
priority	wh2_dlc16_effect_title_wef_office_sisters_highweaver	1299778098
active	wh2_dlc16_effect_title_wef_office_sisters_treesinger	1510720289
priority	wh2_dlc16_effect_title_wef_office_sisters_treesinger	1510720289
active	wh2_main_effect_name_title_def_black_ark_admiral	1270751732
active	wh2_main_title_name_of_power_barbedlash	1197072195
active	wh2_main_title_name_of_power_barbedlash	416735603
active	wh2_main_title_name_of_power_barbstorm	1486754598
active	wh2_main_title_name_of_power_barbstorm	307006359
active	wh2_main_title_name_of_power_beastbinder	1136469686
active	wh2_main_title_name_of_power_beastbinder	579927179
active	wh2_main_title_name_of_power_blackstone	101567873
active	wh2_main_title_name_of_power_blackstone	1021071163
active	wh2_main_title_name_of_power_bloodscourge	1927453782
active	wh2_main_title_name_of_power_bloodscourge	688123377
active	wh2_main_title_name_of_power_darkpath	1006711097
active	wh2_main_title_name_of_power_darkpath	788811554
active	wh2_main_title_name_of_power_drakecleaver	1129600977
active	wh2_main_title_name_of_power_drakecleaver	1451431417
active	wh2_main_title_name_of_power_dreadtongue	1231094167
active	wh2_main_title_name_of_power_dreadtongue	1348952990
active	wh2_main_title_name_of_power_emeraldeye	1113856794
active	wh2_main_title_name_of_power_emeraldeye	45858417
active	wh2_main_title_name_of_power_fangshield	356245721
active	wh2_main_title_name_of_power_fangshield	767546611
active	wh2_main_title_name_of_power_fatedshield	933285448
active	wh2_main_title_name_of_power_fatedshield	963466196
active	wh2_main_title_name_of_power_gatesmiter	1109419635
active	wh2_main_title_name_of_power_gatesmiter	1232447988
active	wh2_main_title_name_of_power_granitestance	1341645697
active	wh2_main_title_name_of_power_granitestance	425406578
active	wh2_main_title_name_of_power_griefbringer	1617749886
active	wh2_main_title_name_of_power_griefbringer	809876439
active	wh2_main_title_name_of_power_grimgaze	2047976493
active	wh2_main_title_name_of_power_grimgaze	502106991
active	wh2_main_title_name_of_power_headreaper	1238542525
active	wh2_main_title_name_of_power_headreaper	344675774
active	wh2_main_title_name_of_power_hydrablood	1192091246
active	wh2_main_title_name_of_power_hydrablood	2069459162
active	wh2_main_title_name_of_power_khainemarked	1522496040
active	wh2_main_title_name_of_power_khainemarked	1592492457
active	wh2_main_title_name_of_power_krakenclaw	310328301
active	wh2_main_title_name_of_power_krakenclaw	566967508
active	wh2_main_title_name_of_power_leviathanrage	208432899
active	wh2_main_title_name_of_power_leviathanrage	349729937
active	wh2_main_title_name_of_power_lifequencher	1267943675
active	wh2_main_title_name_of_power_lifequencher	1427746037
active	wh2_main_title_name_of_power_moonshadow	1514032534
active	wh2_main_title_name_of_power_moonshadow	1571040341
active	wh2_main_title_name_of_power_pathguard	1824014480
active	wh2_main_title_name_of_power_pathguard	730373967
active	wh2_main_title_name_of_power_poisonblade	103970856
active	wh2_main_title_name_of_power_poisonblade	1093887037
active	wh2_main_title_name_of_power_shadowdart	1015951371
active	wh2_main_title_name_of_power_shadowdart	1769357726
active	wh2_main_title_name_of_power_soulblaze	1002144821
active	wh2_main_title_name_of_power_soulblaze	2134119591
active	wh2_main_title_name_of_power_spiteheart	1665279461
active	wh2_main_title_name_of_power_spiteheart	505315217
active	wh2_main_title_name_of_power_the_black_conqueror	1523423898
active	wh2_main_title_name_of_power_the_black_conqueror	58844089
active	wh2_main_title_name_of_power_the_dark_marshall	1702645355
active	wh2_main_title_name_of_power_the_dark_marshall	23639250
active	wh2_main_title_name_of_power_the_dire_overseer	574645723
active	wh2_main_title_name_of_power_the_dire_overseer	614782402
active	wh2_main_title_name_of_power_the_grey_vanquisher	154155411
active	wh2_main_title_name_of_power_the_grey_vanquisher	1873864970
active	wh2_main_title_name_of_power_the_hand_of_wrath	1284922054
active	wh2_main_title_name_of_power_the_hand_of_wrath	789942689
active	wh2_main_title_name_of_power_the_tempest_of_talons	1551818191
active	wh2_main_title_name_of_power_the_tempest_of_talons	76115727
active	wh2_main_title_name_of_power_the_tormentor	146370074
active	wh2_main_title_name_of_power_the_tormentor	622620309
active	wh2_main_title_name_of_power_wrathbringer	1152625320
active	wh2_main_title_name_of_power_wrathbringer	605876980
active	wh2_main_title_name_of_power_wyrmscale	1725206863
active	wh2_main_title_name_of_power_wyrmscale	220024485
active	wh3_dlc26_effect_name_title_ogr_big_name_coin_counter	441675143
active	wh3_dlc26_effect_name_title_ogr_big_name_gore_drenched	1968786755
active	wh3_dlc26_effect_name_title_ogr_big_name_gorger_herder	1600802661
active	wh3_dlc26_effect_name_title_ogr_big_name_groundshaker	1296185014
active	wh3_dlc26_effect_name_title_ogr_big_name_impenetrable_gut	205962543
active	wh3_dlc26_effect_name_title_ogr_big_name_kin_guard	2142785675
active	wh3_dlc26_effect_name_title_ogr_big_name_magic_feaster	2044323468
active	wh3_dlc26_effect_name_title_ogr_big_name_marrow_muncher	1199549499
active	wh3_dlc26_effect_name_title_ogr_big_name_unstoppable	798006428
active	wh3_main_effect_name_title_ogr_big_name_arsebelcher	561686101
active	wh3_main_effect_name_title_ogr_big_name_beastkiller	733726302
active	wh3_main_effect_name_title_ogr_big_name_beastrider	948799318
active	wh3_main_effect_name_title_ogr_big_name_bellyslapper	1522486254
active	wh3_main_effect_name_title_ogr_big_name_bigbellower	1729606077
active	wh3_main_effect_name_title_ogr_big_name_bonechewer	1313196899
active	wh3_main_effect_name_title_ogr_big_name_boommaker	1504064500
active	wh3_main_effect_name_title_ogr_big_name_brawlerguts	1545507752
active	wh3_main_effect_name_title_ogr_big_name_campmaker	1558789839
active	wh3_main_effect_name_title_ogr_big_name_chaos_slayer	1866948658
active	wh3_main_effect_name_title_ogr_big_name_daemonbreaker	1246055003
active	wh3_main_effect_name_title_ogr_big_name_deathcheater	561458232
active	wh3_main_effect_name_title_ogr_big_name_dwarfsquasher	1604882264
active	wh3_main_effect_name_title_ogr_big_name_elfmulcher	25712221
active	wh3_main_effect_name_title_ogr_big_name_giantbreaker	1679338705
active	wh3_main_effect_name_title_ogr_big_name_gnoblarkicker	1133708975
active	wh3_main_effect_name_title_ogr_big_name_goldhoarder	1811393276
active	wh3_main_effect_name_title_ogr_big_name_grandfeaster	1113097014
active	wh3_main_effect_name_title_ogr_big_name_groundbreaker	1648014703
active	wh3_main_effect_name_title_ogr_big_name_gutcrusher	1712318924
active	wh3_main_effect_name_title_ogr_big_name_kineater	1153143732
active	wh3_main_effect_name_title_ogr_big_name_lizardstrangler	508689199
active	wh3_main_effect_name_title_ogr_big_name_longstrider	2043945202
active	wh3_main_effect_name_title_ogr_big_name_magichunter	245314785
active	wh3_main_effect_name_title_ogr_big_name_maneater	392921507
active	wh3_main_effect_name_title_ogr_big_name_mawseeker	1996664063
active	wh3_main_effect_name_title_ogr_big_name_mountaineater	1046370305
active	wh3_main_effect_name_title_ogr_big_name_mountaintalker	802313821
active	wh3_main_effect_name_title_ogr_big_name_ogrekiller	394920213
active	wh3_main_effect_name_title_ogr_big_name_orcsplitter	300761707
active	wh3_main_effect_name_title_ogr_big_name_ratkiller	1460356217
active	wh3_main_effect_name_title_ogr_big_name_staydeader	781365827
active	wh3_main_effect_name_title_ogr_big_name_wallcrusher	222861088
active	wh_dlc03_effect_name_dummy_the_dark_omen	2147358923
priority	wh_dlc03_effect_name_dummy_the_dark_omen	2147358923
active	wh_dlc03_effect_name_dummy_the_one_eye	2147357906
priority	wh_dlc03_effect_name_dummy_the_one_eye	2147357906
active	wh_dlc03_effect_name_dummy_todbringer	2147343940
priority	wh_dlc03_effect_name_dummy_todbringer	2147343940
active	wh_dlc04_effect_name_dummy_ghorst	2147345294
priority	wh_dlc04_effect_name_dummy_ghorst	2147345294
active	wh_dlc04_effect_name_dummy_the_grim	2147358014
priority	wh_dlc04_effect_name_dummy_the_grim	2147358014
active	wh_dlc05_effect_name_dummy_morghur	2147357944
priority	wh_dlc05_effect_name_dummy_morghur	2147357944
active	wh_dlc06_effect_name_dummy_da_great_green_prophet	2147358027
priority	wh_dlc06_effect_name_dummy_da_great_green_prophet	2147358027
active	wh_dlc06_effect_name_dummy_ironhammer	2147358036
priority	wh_dlc06_effect_name_dummy_ironhammer	2147358036
active	wh_dlc07_effect_name_epithet_brt_beastscourge	2147359237
active	wh_dlc07_effect_name_epithet_brt_butcher	2147359241
active	wh_dlc07_effect_name_epithet_brt_coward	2147359249
active	wh_dlc07_effect_name_epithet_brt_crusader	2147359250
active	wh_dlc07_effect_name_epithet_brt_destroyer	2147359260
active	wh_dlc07_effect_name_epithet_brt_devoted	2147359267
active	wh_dlc07_effect_name_epithet_brt_disgraced	2147359269
active	wh_dlc07_effect_name_epithet_brt_doomslayer	2147359275
active	wh_dlc07_effect_name_epithet_brt_hidestriker	2147359277
active	wh_dlc07_effect_name_epithet_brt_kingslayer	2147359278
active	wh_dlc07_effect_name_epithet_brt_lazy	2147359285
active	wh_dlc07_effect_name_epithet_brt_legend	2147359291
active	wh_dlc07_effect_name_epithet_brt_moonslaker	2147359297
active	wh_dlc07_effect_name_epithet_brt_saviour	2147359302
active	wh_dlc07_effect_name_epithet_brt_wolf	2147359312
active	wh_main_effect_name_dummy_blank	2147358913
active	wh_main_effect_name_dummy_blank	2147358924
active	wh_main_effect_name_dummy_blank	2147358925
active	wh_main_effect_name_dummy_blank	2147358935
active	wh_main_effect_name_dummy_blank	2147358938
active	wh_main_effect_name_dummy_blank	2147358942
active	wh_main_effect_name_dummy_blank	2147358949
active	wh_main_effect_name_dummy_blank	2147358958
active	wh_main_effect_name_dummy_blank	2147358965
active	wh_main_effect_name_dummy_blank	2147359013
