key	persistant	show_instant	show_on_navigate	is_header	navigation_order
#advice_info_texts_tables;3;db/advice_info_texts_tables/data__					
cheatsheet_books_of_nagash_text	true	true	true	false	0
cheatsheet_brt_bretonnian_vows_text	true	true	true	false	0
cheatsheet_brt_chivalry_text	true	true	true	false	0
cheatsheet_brt_green_knight_text	true	true	true	false	0
cheatsheet_brt_peasants_text	true	true	true	false	0
cheatsheet_brt_water_supplies_text	true	true	true	false	0
cheatsheet_bst_bestial_rage_text	true	true	true	false	0
cheatsheet_bst_bloodgrounds_text	true	true	true	false	0
cheatsheet_bst_dread_bestial_rage_header	true	true	true	false	0
cheatsheet_bst_dread_bestial_rage_text	true	true	true	false	0
cheatsheet_bst_dread_panel_text	true	true	true	false	0
cheatsheet_bst_marks_of_ruination_text	true	true	true	false	0
cheatsheet_bst_rampage_text	true	true	true	false	0
cheatsheet_chd_economy_text	true	true	true	false	0
cheatsheet_chd_hellforge_text	true	true	true	false	0
cheatsheet_chd_labour_text	true	true	true	false	0
cheatsheet_chd_tower_of_zharr_text	true	true	true	false	0
cheatsheet_cth_compass_text	true	true	true	false	0
cheatsheet_cth_empowering_the_compass_text	true	true	true	false	0
cheatsheet_cth_great_bastion_text	true	true	true	false	0
cheatsheet_cth_harmony_text	true	true	true	false	0
cheatsheet_cth_ivory_road_text	true	true	true	false	0
cheatsheet_cth_matters_of_state_text	true	true	true	false	0
cheatsheet_dae_daemonic_glory_text	true	true	true	false	0
cheatsheet_dae_dedication_text	true	true	true	false	0
cheatsheet_def_black_arks_lokhir_text	true	true	true	false	0
cheatsheet_def_black_arks_sword_of_khaine_header	true	true	true	false	0
cheatsheet_def_black_arks_sword_of_khaine_text	true	true	true	false	0
cheatsheet_def_black_arks_text	true	true	true	false	0
cheatsheet_def_blood_voyage_text	true	true	true	false	0
cheatsheet_def_death_night_text	true	true	true	false	0
cheatsheet_def_monster_pens_header	true	true	true	false	0
cheatsheet_def_monster_pens_text	true	true	true	false	0
cheatsheet_def_possession_text	true	true	true	false	0
cheatsheet_def_slaves_text	true	true	true	false	0
cheatsheet_def_sword_of_khaine_text	true	true	true	false	0
cheatsheet_defence_of_the_great_plan_text	true	true	true	false	0
cheatsheet_dwf_age_of_reckoning	true	true	true	false	0
cheatsheet_dwf_artefacts_text	true	true	true	false	0
cheatsheet_dwf_grudges_text	true	true	true	false	0
cheatsheet_dwf_malakais_adventures_text	true	true	true	false	0
cheatsheet_dwf_oathgold_text	true	true	true	false	0
cheatsheet_dwf_spirit_of_grungni_text	true	true	true	false	0
cheatsheet_dwf_the_forge_and_oathgold_text	true	true	true	false	0
cheatsheet_dwf_the_forge_text	true	true	true	false	0
cheatsheet_emp_colleges_of_magic_text	true	true	true	false	0
cheatsheet_emp_elector_counts_text	true	true	true	false	0
cheatsheet_emp_electoral_machinations_text	true	true	true	false	0
cheatsheet_emp_emperors_mandate_text	true	true	true	false	0
cheatsheet_emp_gardens_of_morr_text	true	true	true	false	0
cheatsheet_emp_hostility_text	true	true	true	false	0
cheatsheet_emp_imperial_authority_text	true	true	true	false	0
cheatsheet_emp_imperial_gunnery_school_text	true	true	true	false	0
cheatsheet_emp_wulfharts_hunters_text	true	true	true	false	0
cheatsheet_great_game_text	true	true	true	false	0
cheatsheet_grn_groms_cauldron_text	true	true	true	false	0
cheatsheet_grn_scrap_text	true	true	true	false	0
cheatsheet_grn_waaagh_text	true	true	true	false	0
cheatsheet_hef_athel_tamarha_text	true	true	true	false	0
cheatsheet_hef_defender_of_ulthuan_text	true	true	true	false	0
cheatsheet_hef_dragon_taming_text	true	true	true	false	0
cheatsheet_hef_espionage_text	true	true	true	false	0
cheatsheet_hef_influence_text	true	true	true	false	0
cheatsheet_hef_intrigue_at_the_court_text	true	true	true	false	0
cheatsheet_hef_marked_for_death_text	true	true	true	false	0
cheatsheet_hef_sword_of_khaine_text	true	true	true	false	0
cheatsheet_hef_torment_power_of_nature_header	true	true	true	false	0
cheatsheet_hef_torment_power_of_nature_text	true	true	true	false	0
cheatsheet_kho_bloodletting_text	true	true	true	false	0
cheatsheet_kho_destruction_text	true	true	true	false	0
cheatsheet_kho_skulls_text	true	true	true	false	0
cheatsheet_ksl_atamans_text	true	true	true	false	0
cheatsheet_ksl_devotion_text	true	true	true	false	0
cheatsheet_ksl_hexes_text	true	true	true	false	0
cheatsheet_ksl_ice_court_text	true	true	true	false	0
cheatsheet_ksl_motherland_text	true	true	true	false	0
cheatsheet_ksl_witchs_hut_text	true	true	true	false	0
cheatsheet_lizardmen_jungle_nexus_text	true	true	true	false	0
cheatsheet_lizardmen_sacrifice_to_sotek_text	true	true	true	false	0
cheatsheet_lizardmen_silent_sanctums_text	true	true	true	false	0
cheatsheet_lzd_astromancy_text	true	true	true	false	0
cheatsheet_lzd_blessed_spawnings_text	true	true	true	false	0
cheatsheet_lzd_geomantic_web_text	true	true	true	false	0
cheatsheet_lzd_lord_kroak_itza_text	true	true	true	false	0
cheatsheet_lzd_lord_kroak_text	true	true	true	false	0
cheatsheet_nor_allegiance_to_the_gods_text	true	true	true	false	0
cheatsheet_nor_monstrous_arcanum_text	true	true	true	false	0
cheatsheet_nor_tribal_confederation_text	true	true	true	false	0
cheatsheet_nur_chieftains_text	true	true	true	false	0
cheatsheet_nur_cyclical_buildings_text	true	true	true	false	0
cheatsheet_nur_plagues_text	true	true	true	false	0
cheatsheet_nur_tally_text	true	true	true	false	0
cheatsheet_ogr_big_names_text	true	true	true	false	0
cheatsheet_ogr_camps_text	true	true	true	false	0
cheatsheet_ogr_contracts_text	true	true	true	false	0
cheatsheet_ogr_meat_text	true	true	true	false	0
cheatsheet_oxyotl_visions_text	true	true	true	false	0
cheatsheet_skv_food_text	true	true	true	false	0
cheatsheet_skv_menace_below_text	true	true	true	false	0
cheatsheet_skv_underempire_text	true	true	true	false	0
cheatsheet_tze_changing_of_the_ways_text	true	true	true	false	0
cheatsheet_tze_grimoires_text	true	true	true	false	0
cheatsheet_tze_schemes_text	true	true	true	false	0
cheatsheet_tze_teleport_stance_text	true	true	true	false	0
cheatsheet_tze_trickster_cults_text	true	true	true	false	0
cheatsheet_tze_winds_manipulation_text	true	true	true	false	0
cheatsheet_underway_text	true	true	true	false	0
cheatsheet_unholy_manifestations_text	true	true	true	false	0
cheatsheet_vmp_bloodlines_text	true	true	true	false	0
cheatsheet_vmp_raising_dead_text	true	true	true	false	0
cheatsheet_vmp_vampiric_corruption_text	true	true	true	false	0
dlc09.battle.advice.realm_of_souls.info_001	false	false	true	true	0
dlc09.battle.advice.realm_of_souls.info_002	false	false	true	false	1
dlc09.battle.advice.realm_of_souls.info_003	false	false	true	false	2
dlc09.camp.advice.tomb_kings.info_001	false	false	true	true	0
dlc09.camp.advice.tomb_kings.info_002	false	false	true	false	1
dlc09.camp.advice.tomb_kings.info_003	false	false	true	false	2
dlc09.camp.advice.tomb_kings_recruitment.info_001	false	false	true	true	0
dlc09.camp.advice.tomb_kings_recruitment.info_002	false	false	true	false	1
dlc09.camp.advice.tomb_kings_recruitment.info_003	false	false	true	false	2
dlc11.camp.advice.amanar.info_001	false	false	true	true	0
dlc11.camp.advice.amanar.info_002	false	false	true	false	1
dlc11.camp.advice.amanar.info_003	false	false	true	false	2
dlc11.camp.advice.amanar.info_004	false	false	true	false	1
dlc11.camp.advice.fleet_office.info_001	false	false	true	true	0
dlc11.camp.advice.fleet_office.info_002	false	false	true	false	1
dlc11.camp.advice.fleet_office.info_003	false	false	true	false	2
dlc11.camp.advice.infamy.info_001	false	false	true	true	0
dlc11.camp.advice.infamy.info_002	false	false	true	false	1
dlc11.camp.advice.infamy.info_003	false	false	true	false	2
dlc11.camp.advice.pieces_of_eight.info_001	false	false	true	true	0
dlc11.camp.advice.pieces_of_eight.info_002	false	false	true	false	1
dlc11.camp.advice.pieces_of_eight.info_003	false	false	true	false	2
dlc11.camp.advice.pieces_of_eight.info_004	false	false	true	false	3
dlc11.camp.advice.pieces_of_eight.info_005	false	false	true	false	2
dlc11.camp.advice.pirate_coves.info_001	false	false	true	true	0
dlc11.camp.advice.pirate_coves.info_002	false	false	true	false	1
dlc11.camp.advice.pirate_coves.info_003	false	false	true	false	2
dlc11.camp.advice.rogue_pirates.info_001	false	false	true	true	0
dlc11.camp.advice.rogue_pirates.info_002	false	false	true	false	1
dlc11.camp.advice.rogue_pirates.info_003	false	false	true	false	2
dlc11.camp.advice.sea_shanties.info_001	false	false	true	true	0
dlc11.camp.advice.sea_shanties.info_002	false	false	true	false	1
dlc11.camp.advice.sea_shanties.info_003	false	false	true	false	2
dlc11.camp.advice.sea_shanties.info_004	false	false	true	false	2
dlc11.camp.advice.sea_shanties.info_005	false	false	true	false	3
dlc11.camp.advice.treasure_maps.info_001	false	false	true	true	0
dlc11.camp.advice.treasure_maps.info_002	false	false	true	false	1
dlc11.camp.advice.treasure_maps.info_003	false	false	true	false	2
dlc11.camp.advice.treasure_maps.info_004	false	false	true	false	1
dlc11.camp.advice.treasure_maps.info_005	false	false	true	false	2
dlc11.camp.advice.treasure_maps.info_006	false	false	true	false	3
dlc11.camp.advice.treasure_maps.info_007	false	false	true	false	2
dlc11.camp.advice.vampiric_loyalty.info_001	false	false	true	true	0
dlc11.camp.advice.vampiric_loyalty.info_002	false	false	true	false	1
dlc11.camp.advice.vampiric_loyalty.info_003	false	false	true	false	2
dlc11.camp.advice.vampiric_loyalty.info_004	false	false	true	false	3
dlc11.camp.advice.vampiric_loyalty.info_005	false	false	true	false	4
dlc11.camp.advice.vampiric_loyalty.info_006	false	false	true	false	5
ogre.camp.hp.001	true	false	true	true	0
ogre.camp.hp.002	true	false	true	false	1
ogre.camp.hp.003	true	false	true	false	2
ogre.camp.hp.004	true	false	true	false	3
ogre.camp.hp.005	true	false	true	false	4
ogre.camp.hp.006	true	false	true	false	5
ogre.camp.hp.007	true	false	true	false	6
prologue_battle_infotext_leadership_001	false	false	true	false	1
prologue_battle_infotext_leadership_002	false	false	true	false	2
prologue_battle_infotext_siege_weapons	false	true	true	false	1
prologue_battle_infotext_victory_points_001	false	false	true	false	1
prologue_battle_infotext_victory_points_002	false	false	true	false	2
prologue_battle_infotext_victory_points_003	false	false	true	false	3
prologue_battle_unit_positioning_1	false	false	true	true	0
prologue_battle_unit_positioning_2	false	false	true	false	1
prologue_battle_unit_positioning_3	false	false	true	false	2
war.battle.advice.artillery.info_001	false	false	true	true	0
war.battle.advice.artillery.info_002	false	false	true	false	1
war.battle.advice.artillery.info_003	false	false	true	false	2
war.battle.advice.capture_locations.info_001	false	false	true	true	0
war.battle.advice.capture_locations.info_002	false	false	true	false	1
war.battle.advice.capture_locations.info_003	false	false	true	false	2
war.battle.advice.deployment.info_001	false	false	true	true	0
war.battle.advice.deployment.info_002	false	false	true	false	1
