unique_id	factor	resource	minimum	maximum	specific_faction_set
#pooled_resource_factor_junctions_tables;2;db/pooled_resource_factor_junctions_tables/data__					
blood_kiss_assassination	characters_assassinated	vmp_blood_kiss	0	2147483647	
blood_kiss_battles	faction_leaders_killed_in_battle	vmp_blood_kiss	0	2147483647	
blood_kiss_bloodline_awoken	bloodline_lords_awoken	vmp_blood_kiss	-2147483647	0	
blood_kiss_faction	faction	vmp_blood_kiss	0	2147483647	
blood_kiss_other	other	vmp_blood_kiss	0	2147483647	
blood_kiss_vassal	factions_vassalised	vmp_blood_kiss	0	2147483647	
canopic_jars_buildings	buildings	tmb_canopic_jars	0	2147483647	
canopic_jars_characters	characters	tmb_canopic_jars	0	2147483647	
canopic_jars_events	events	tmb_canopic_jars	0	2147483647	
canopic_jars_events_negative	events_negative	tmb_canopic_jars	-2147483647	0	
canopic_jars_great_incantation_of_geheb	great_incantation_of_geheb	tmb_canopic_jars	0	2147483647	
canopic_jars_harvest_organs	harvest_organs	tmb_canopic_jars	0	2147483647	
canopic_jars_missions	missions	tmb_canopic_jars	0	2147483647	
canopic_jars_mortuary_cult	mortuary_cult	tmb_canopic_jars	-2147483647	0	
canopic_jars_other	other	tmb_canopic_jars	-2147483647	2147483647	
canopic_jars_technology	dynasties	tmb_canopic_jars	-2147483647	0	
chivalry_battles	battles	brt_chivalry	-2147483647	2147483647	
chivalry_buildings	buildings	brt_chivalry	-2147483647	2147483647	
chivalry_captives	captives	brt_chivalry	-2147483647	2147483647	
chivalry_declared_war_on_bretonnia	declared_war_on_bretonnia	brt_chivalry	-2147483647	2147483647	
chivalry_events	events	brt_chivalry	-2147483647	2147483647	
chivalry_missions	missions	brt_chivalry	-2147483647	2147483647	
chivalry_other	other	brt_chivalry	-2147483647	2147483647	
chivalry_razing	razed_settlements	brt_chivalry	-2147483647	2147483647	
chivalry_sacking	settlements_sacked	brt_chivalry	-2147483647	2147483647	
chivalry_stances	ambushing_raiding	brt_chivalry	-2147483647	2147483647	
chivalry_tech	technology	brt_chivalry	-2147483647	2147483647	
chivalry_traits_bad	traits_bad	brt_chivalry	-2147483647	0	
chivalry_traits_good	traits_good	brt_chivalry	0	2147483647	
def_slaves_battles	battles	def_slaves	0	2147483647	
def_slaves_buildings	buildings	def_slaves	0	2147483647	
def_slaves_buildings_negative	camp_buildings	def_slaves	-2147483647	0	
def_slaves_characters	characters	def_slaves	0	2147483647	
def_slaves_commandments	commandments	def_slaves	-2147483647	2147483647	
def_slaves_construction	building_construction	def_slaves	-2147483647	0	
def_slaves_consumed	wh3_dlc23_chd_consumed	def_slaves	-2147483647	0	
def_slaves_corruption	wh2_dlc16_resource_factor_corruption	def_slaves	-2147483647	2147483647	
def_slaves_missions	missions	def_slaves	-2147483647	2147483647	
def_slaves_raiding	raiding	def_slaves	0	2147483647	
def_slaves_rites	rites	def_slaves	-2147483647	0	
devotion_chaos_wasteland	chaos_wasteland_conquered	wh3_main_ksl_devotion	0	2147483647	wh3_main_ksl_ursun_revivalists
dwf_oathgold_buildings	buildings	dwf_oathgold	0	2147483647	
dwf_oathgold_characters	characters	dwf_oathgold	0	2147483647	
dwf_oathgold_forging_creating	forging_items	dwf_oathgold	-2147483647	0	
dwf_oathgold_forging_disassembling	recycling_items	dwf_oathgold	0	2147483647	
dwf_oathgold_missions	grudges	dwf_oathgold	0	2147483647	
dwf_oathgold_post_battle	battles	dwf_oathgold	0	2147483647	
dwf_oathgold_quest_rewards	missions	dwf_oathgold	0	2147483647	
grn_salvage_dish_cooking	wh2_dlc15_resource_factor_dish_cooking	grn_salvage	-2147483647	2147483647	wh2_dlc15_grn_broken_axe
grn_salvage_loot	looting	grn_salvage	-2147483647	2147483647	
grn_salvage_missions	missions	grn_salvage	-2147483647	2147483647	
grn_salvage_other	other	grn_salvage	-2147483647	2147483647	
grn_salvage_raiding	raiding	grn_salvage	-2147483647	2147483647	
grn_salvage_raze	wh2_dlc15_resource_factor_waaagh_raze	grn_salvage	-2147483647	2147483647	
grn_salvage_tech	technology_negative	grn_salvage	-2147483647	2147483647	
grn_salvage_unit_upgrade	wh2_dlc15_resource_factor_unit_upgrade	grn_salvage	-2147483647	2147483647	
