campaign_group	effect_bundle
#campaign_group_effect_bundles_tables;0;db/campaign_group_effect_bundles_tables/data__	
brt_chivalry_1	wh_dlc07_bretonnia_chivalry_bar_0_200
brt_chivalry_2	wh_dlc07_bretonnia_chivalry_bar_201_400
brt_chivalry_3	wh_dlc07_bretonnia_chivalry_bar_401_600
brt_chivalry_4	wh_dlc07_bretonnia_chivalry_bar_601_800
brt_chivalry_5	wh_dlc07_bretonnia_chivalry_bar_801_1000
grn_faction_waaagh_reward_group_chaos	wh2_main_faction_boost_reward_preview_chaos
grn_faction_waaagh_reward_group_daemons	wh2_main_faction_boost_reward_preview_daemons
grn_faction_waaagh_reward_group_dwarfs	wh2_main_faction_boost_reward_preview_dwarfs
grn_faction_waaagh_reward_group_elves	wh2_main_faction_boost_reward_preview_elves
grn_faction_waaagh_reward_group_greenskins	wh2_main_faction_boost_reward_preview_greenskins
grn_faction_waaagh_reward_group_humans	wh2_main_faction_boost_reward_preview_humans
grn_faction_waaagh_reward_group_lizards	wh2_main_faction_boost_reward_preview_lizardmen
grn_faction_waaagh_reward_group_ogres	wh2_main_faction_boost_reward_preview_ogres
grn_faction_waaagh_reward_group_rats	wh2_main_faction_boost_reward_preview_skaven
grn_faction_waaagh_reward_group_rogue	wh2_main_faction_boost_reward_preview_chaos
grn_faction_waaagh_reward_group_undead	wh2_main_faction_boost_reward_preview_undead
wh2_dlc15_hef_eltharion_dungeon_reward_beastmen	wh2_dlc15_hef_eltharion_dungeon_reward_beastmen
wh2_dlc15_hef_eltharion_dungeon_reward_bretonnia	wh2_dlc15_hef_eltharion_dungeon_reward_bretonnia
wh2_dlc15_hef_eltharion_dungeon_reward_cathay	wh2_dlc15_hef_eltharion_dungeon_reward_cathay
wh2_dlc15_hef_eltharion_dungeon_reward_chaos_dwarfs	wh2_dlc15_hef_eltharion_dungeon_reward_chaos_dwarfs
wh2_dlc15_hef_eltharion_dungeon_reward_chaos_warriors	wh2_dlc15_hef_eltharion_dungeon_reward_chaos_warriors
wh2_dlc15_hef_eltharion_dungeon_reward_daemons	wh2_dlc15_hef_eltharion_dungeon_reward_daemons
wh2_dlc15_hef_eltharion_dungeon_reward_dark_elves	wh2_dlc15_hef_eltharion_dungeon_reward_dark_elves
wh2_dlc15_hef_eltharion_dungeon_reward_dwarfs	wh2_dlc15_hef_eltharion_dungeon_reward_dwarfs
wh2_dlc15_hef_eltharion_dungeon_reward_empire	wh2_dlc15_hef_eltharion_dungeon_reward_empire
wh2_dlc15_hef_eltharion_dungeon_reward_greenskins	wh2_dlc15_hef_eltharion_dungeon_reward_greenskins
wh2_dlc15_hef_eltharion_dungeon_reward_high_elves	wh2_dlc15_hef_eltharion_dungeon_reward_high_elves
wh2_dlc15_hef_eltharion_dungeon_reward_kislev	wh2_dlc15_hef_eltharion_dungeon_reward_kislev
wh2_dlc15_hef_eltharion_dungeon_reward_lizardmen	wh2_dlc15_hef_eltharion_dungeon_reward_lizardmen
wh2_dlc15_hef_eltharion_dungeon_reward_norsca	wh2_dlc15_hef_eltharion_dungeon_reward_norsca
wh2_dlc15_hef_eltharion_dungeon_reward_ogre_kingdoms	wh2_dlc15_hef_eltharion_dungeon_reward_ogre_kingdoms
wh2_dlc15_hef_eltharion_dungeon_reward_rogue_armies	wh2_dlc15_hef_eltharion_dungeon_reward_rogue_armies
wh2_dlc15_hef_eltharion_dungeon_reward_skaven	wh2_dlc15_hef_eltharion_dungeon_reward_skaven
wh2_dlc15_hef_eltharion_dungeon_reward_tomb_kings	wh2_dlc15_hef_eltharion_dungeon_reward_tomb_kings
wh2_dlc15_hef_eltharion_dungeon_reward_vampire_coast	wh2_dlc15_hef_eltharion_dungeon_reward_vampire_coast
wh2_dlc15_hef_eltharion_dungeon_reward_vampire_counts	wh2_dlc15_hef_eltharion_dungeon_reward_vampire_counts
wh2_dlc15_hef_eltharion_dungeon_reward_wood_elves	wh2_dlc15_hef_eltharion_dungeon_reward_wood_elves
wh3_main_ksl_followers_tresholds_1	wh3_main_bundle_ksl_followers_1
wh3_main_ksl_followers_tresholds_2	wh3_main_bundle_ksl_followers_2
wh3_main_ksl_followers_tresholds_3	wh3_main_bundle_ksl_followers_3
wh3_main_ksl_followers_tresholds_4	wh3_main_bundle_ksl_followers_4
wh3_main_ksl_followers_tresholds_5	wh3_main_bundle_ksl_followers_5
