key	unit_attribute	unit_set
#unit_set_unit_attribute_junctions_tables;0;db/unit_set_unit_attribute_junctions_tables/data__		
360_missile_block_chd_kdaai	can_block_missiles_360	wh3_dlc23_chd_category_kdaai
attribute_grn_boars	boar_cavalry	grn_boars
attribute_grn_fanatics	fanatic	grn_fanatics
attribute_grn_goblin_infantry	goblin_infantry	grn_infantry_goblin
attribute_grn_nasty_skulkers	nasty_skulker	grn_dlc06_grn_inf_nasty_skukers
attribute_grn_night_goblin_archers	night_goblin_archer	grn_night_goblin_archers
attribute_grn_orc_infantry	orc_infantry	wh2_dlc11_grn_all_orc_infantry
attribute_grn_spiders	spider	wh2_dlc15_grn_spider_units
attribute_grn_squig_herds	squig_herd	mp_cap_unit_grn_mon_squig_herd
attribute_grn_trolls	troll	grn_trolls_all
cause_fear_chd_mel_inf	causes_fear	wh3_dlc23_chd_category_chaos_dwarf_melee_infantry
cause_fear_undivided_units	causes_fear	wh3_dlc20_chs_unmarked_units
cavalry_immune_to_psychology	immune_to_psychology	cavalry_units
charge_reflection_chd_melee_inf	charge_reflection	wh3_dlc23_chd_category_chaos_dwarf_melee_infantry
contact_immune_chd_mel_inf	ignore_imbue_contact_effects_enemy	wh3_dlc23_chd_category_chaos_dwarf_melee_infantry
contact_immune_chd_warmachines	ignore_imbue_contact_effects_enemy	wh3_dlc23_chd_category_warmachines
contact_immune_saurus_temple_guard	ignore_imbue_contact_effects_enemy	lzd_saurus_templeg
def_enable_fear_blackguard	causes_fear	def_blackguard
def_enable_fear_corsairs	causes_fear	def_corsairs
def_enable_fear_shades	causes_fear	def_shades
def_enable_stalk_corsairs	stalk	def_corsairs
def_executioners_immune_to_psychology	immune_to_psychology	def_executioners
devastating_flanker_chd_bull_centaurs	devastating_flanker	wh3_dlc23_chd_category_bull_centaurs
devastating_flanker_chd_kdaai	devastating_flanker	wh3_dlc23_chd_category_kdaai
devastating_flanker_wraiths	devastating_flanker	wh2_dlc11_vmp_cairn_wraith_hex_wraith_mourngul
dwf_gyrocopters_360_block	can_block_missiles_360	dwf_gyrocopters
emp_amethyst_ironsides_360_block	can_block_missiles_360	wh3_dlc25_emp_inf_ironsides_morr
emp_gunnery_cav_strider	strider	wh3_dlc25_gunnery_cavalry
emp_land_ship_360_block	can_block_missiles_360	wh3_dlc25_emp_land_ship
emp_land_ship_contact_immunity	ignore_imbue_contact_effects_enemy	wh3_dlc25_emp_land_ship
emp_land_ship_morr_360_block	can_block_missiles_360	wh3_dlc25_emp_veh_land_ship_morr
encourage_chd_melee_inf	encourages	wh3_dlc23_chd_category_chaos_dwarf_melee_infantry
expendable_all_non_characters	expendable	dlc14_all_units_excluding_characters
expendable_chd_hobgoblins	expendable	wh3_dlc23_chd_hobgoblin_units
grn_arachnarok_stalk	stalk	grn_arachnarok
grn_characters_stalk	stalk	grn_characters
grn_characters_vanguard	guerrilla_deploy	grn_characters
grn_chariots_glorious_charge	glorious_charge	grn_chariots
grn_night_goblin_archers_unspottable	unspottable	grn_night_goblin_archers
hellforged_chd_bull_centaurs	hellforged	wh3_dlc23_chd_category_bull_centaurs
immune_to_flanking_artillery	flanking_immune	artillery_units
immune_to_psychology_chd_melee_inf	immune_to_psychology	wh3_dlc23_chd_category_chaos_dwarf_melee_infantry
lzd_astromancy_guerilla_units_deploy	guerrilla_deploy	lzd_astromancy_stance_guerilla_units
lzd_enable_terror_blessed_kroxigors	causes_terror	wh2_main_lzd_mon_kroxigors_blessed
ogr_bull_ironguts_unyielding_assault	unyielding_assault	ogr_bull_irongut
perfect_vigour_chd_kdaai	fatigue_immune	wh3_dlc23_chd_category_kdaai
perfect_vigour_death_hags_witch_elves	fatigue_immune	wh2_def_death_hag_and_witch_elf
perfect_vigour_def_assassins	fatigue_immune	def_assassins
perfect_vigour_def_executioners	fatigue_immune	def_executioners
perfect_vigour_goblin_hewer	fatigue_immune	dwf_goblin_hewer
