base_token	token	level
#chaotic_plan_upgradable_token_chains_tables;0;db/chaotic_plan_upgradable_token_chains_tables/data__		
wh3_dlc29_dummy_rank_up_artillery_1	wh3_dlc29_dummy_rank_up_artillery_1	1
wh3_dlc29_dummy_rank_up_artillery_1	wh3_dlc29_dummy_rank_up_artillery_2	2
wh3_dlc29_dummy_rank_up_artillery_1	wh3_dlc29_dummy_rank_up_artillery_3	3
wh3_dlc29_dummy_rank_up_melee_infantry_1	wh3_dlc29_dummy_rank_up_melee_infantry_1	1
wh3_dlc29_dummy_rank_up_melee_infantry_1	wh3_dlc29_dummy_rank_up_melee_infantry_2	2
wh3_dlc29_dummy_rank_up_melee_infantry_1	wh3_dlc29_dummy_rank_up_melee_infantry_3	3
wh3_dlc29_dummy_rank_up_missile_infantry_1	wh3_dlc29_dummy_rank_up_missile_infantry_1	1
wh3_dlc29_dummy_rank_up_missile_infantry_1	wh3_dlc29_dummy_rank_up_missile_infantry_2	2
wh3_dlc29_dummy_rank_up_missile_infantry_1	wh3_dlc29_dummy_rank_up_missile_infantry_3	3
wh3_dlc29_dummy_rank_up_monsters_1	wh3_dlc29_dummy_rank_up_monsters_1	1
wh3_dlc29_dummy_rank_up_monsters_1	wh3_dlc29_dummy_rank_up_monsters_2	2
wh3_dlc29_dummy_rank_up_monsters_1	wh3_dlc29_dummy_rank_up_monsters_3	3
wh3_dlc29_dummy_rank_up_weapon_teams_1	wh3_dlc29_dummy_rank_up_weapon_teams_1	1
wh3_dlc29_dummy_rank_up_weapon_teams_1	wh3_dlc29_dummy_rank_up_weapon_teams_2	2
wh3_dlc29_dummy_rank_up_weapon_teams_1	wh3_dlc29_dummy_rank_up_weapon_teams_3	3
wh3_dlc29_economic_green_basic_food_mid_1	wh3_dlc29_economic_green_basic_food_mid_1	1
wh3_dlc29_economic_green_basic_food_mid_1	wh3_dlc29_economic_green_basic_food_mid_2	2
wh3_dlc29_economic_green_basic_food_mid_1	wh3_dlc29_economic_green_basic_food_mid_3	3
wh3_dlc29_economic_green_basic_food_small_1	wh3_dlc29_economic_green_basic_food_small_1	1
wh3_dlc29_economic_green_basic_food_small_1	wh3_dlc29_economic_green_basic_food_small_2	2
wh3_dlc29_economic_green_basic_food_small_1	wh3_dlc29_economic_green_basic_food_small_3	3
wh3_dlc29_economic_green_basic_treasury_gdp_large_1	wh3_dlc29_economic_green_basic_treasury_gdp_large_1	1
wh3_dlc29_economic_green_basic_treasury_gdp_large_1	wh3_dlc29_economic_green_basic_treasury_gdp_large_2	2
wh3_dlc29_economic_green_basic_treasury_gdp_large_1	wh3_dlc29_economic_green_basic_treasury_gdp_large_3	3
wh3_dlc29_economic_green_basic_treasury_gdp_large_1	wh3_dlc29_economic_green_basic_treasury_gdp_large_4	4
wh3_dlc29_economic_green_basic_treasury_gdp_large_1	wh3_dlc29_economic_green_basic_treasury_gdp_large_5	5
wh3_dlc29_economic_green_basic_treasury_gdp_small_1	wh3_dlc29_economic_green_basic_treasury_gdp_small_1	1
wh3_dlc29_economic_green_basic_treasury_gdp_small_1	wh3_dlc29_economic_green_basic_treasury_gdp_small_2	2
wh3_dlc29_economic_green_basic_treasury_gdp_small_1	wh3_dlc29_economic_green_basic_treasury_gdp_small_3	3
wh3_dlc29_economic_green_basic_treasury_gdp_small_1	wh3_dlc29_economic_green_basic_treasury_gdp_small_4	4
wh3_dlc29_economic_green_basic_treasury_gdp_small_1	wh3_dlc29_economic_green_basic_treasury_gdp_small_5	5
wh3_dlc29_economic_green_basic_warpstone_gdp_large_1	wh3_dlc29_economic_green_basic_warpstone_gdp_large_1	1
wh3_dlc29_economic_green_basic_warpstone_gdp_large_1	wh3_dlc29_economic_green_basic_warpstone_gdp_large_2	2
wh3_dlc29_economic_green_basic_warpstone_gdp_large_1	wh3_dlc29_economic_green_basic_warpstone_gdp_large_3	3
wh3_dlc29_economic_green_basic_warpstone_gdp_large_1	wh3_dlc29_economic_green_basic_warpstone_gdp_large_4	4
wh3_dlc29_economic_green_basic_warpstone_gdp_large_1	wh3_dlc29_economic_green_basic_warpstone_gdp_large_5	5
wh3_dlc29_economic_green_basic_warpstone_gdp_small_1	wh3_dlc29_economic_green_basic_warpstone_gdp_small_1	1
wh3_dlc29_economic_green_basic_warpstone_gdp_small_1	wh3_dlc29_economic_green_basic_warpstone_gdp_small_2	2
wh3_dlc29_economic_green_basic_warpstone_gdp_small_1	wh3_dlc29_economic_green_basic_warpstone_gdp_small_3	3
wh3_dlc29_economic_green_basic_warpstone_gdp_small_1	wh3_dlc29_economic_green_basic_warpstone_gdp_small_4	4
wh3_dlc29_economic_green_basic_warpstone_gdp_small_1	wh3_dlc29_economic_green_basic_warpstone_gdp_small_5	5
wh3_dlc29_economic_green_eshin_all_1	wh3_dlc29_economic_green_eshin_all_1	1
wh3_dlc29_economic_green_eshin_all_1	wh3_dlc29_economic_green_eshin_all_2	2
wh3_dlc29_economic_green_eshin_all_1	wh3_dlc29_economic_green_eshin_all_3	3
wh3_dlc29_economic_green_grey_seer_treasury_large_1	wh3_dlc29_economic_green_grey_seer_treasury_large_1	1
wh3_dlc29_economic_green_grey_seer_treasury_large_1	wh3_dlc29_economic_green_grey_seer_treasury_large_2	2
wh3_dlc29_economic_green_grey_seer_treasury_large_1	wh3_dlc29_economic_green_grey_seer_treasury_large_3	3
wh3_dlc29_economic_green_rictus_warpstone_1	wh3_dlc29_economic_green_rictus_warpstone_1	1
wh3_dlc29_economic_green_rictus_warpstone_1	wh3_dlc29_economic_green_rictus_warpstone_2	2
wh3_dlc29_economic_green_rictus_warpstone_1	wh3_dlc29_economic_green_rictus_warpstone_3	3
wh3_dlc29_economic_green_skryre_treasury_1	wh3_dlc29_economic_green_skryre_treasury_1	1
wh3_dlc29_economic_green_skryre_treasury_1	wh3_dlc29_economic_green_skryre_treasury_2	2
wh3_dlc29_economic_green_skryre_treasury_1	wh3_dlc29_economic_green_skryre_treasury_3	3
wh3_dlc29_economic_green_skryre_warpstone_1	wh3_dlc29_economic_green_skryre_warpstone_1	1
wh3_dlc29_economic_green_skryre_warpstone_1	wh3_dlc29_economic_green_skryre_warpstone_2	2
wh3_dlc29_economic_green_skryre_warpstone_1	wh3_dlc29_economic_green_skryre_warpstone_3	3
wh3_dlc29_magic_summon_verminlord_corruptor_1	wh3_dlc29_magic_summon_verminlord_corruptor_1	1
wh3_dlc29_magic_summon_verminlord_corruptor_1	wh3_dlc29_magic_summon_verminlord_corruptor_2	2
wh3_dlc29_magic_summon_verminlord_corruptor_1	wh3_dlc29_magic_summon_verminlord_corruptor_3	3
wh3_dlc29_magic_summon_verminlord_corruptor_1	wh3_dlc29_magic_summon_verminlord_corruptor_4	4
wh3_dlc29_magic_summon_verminlord_corruptor_1	wh3_dlc29_magic_summon_verminlord_corruptor_5	5
wh3_dlc29_magic_summon_verminlord_deceiver_1	wh3_dlc29_magic_summon_verminlord_deceiver_1	1
wh3_dlc29_magic_summon_verminlord_deceiver_1	wh3_dlc29_magic_summon_verminlord_deceiver_2	2
wh3_dlc29_magic_summon_verminlord_deceiver_1	wh3_dlc29_magic_summon_verminlord_deceiver_3	3
wh3_dlc29_magic_summon_verminlord_deceiver_1	wh3_dlc29_magic_summon_verminlord_deceiver_4	4
wh3_dlc29_magic_summon_verminlord_deceiver_1	wh3_dlc29_magic_summon_verminlord_deceiver_5	5
wh3_dlc29_magic_summon_verminlord_dummy_1	wh3_dlc29_magic_summon_verminlord_dummy_1	1
wh3_dlc29_magic_summon_verminlord_dummy_1	wh3_dlc29_magic_summon_verminlord_dummy_2	2
wh3_dlc29_magic_summon_verminlord_dummy_1	wh3_dlc29_magic_summon_verminlord_dummy_3	3
wh3_dlc29_magic_summon_verminlord_dummy_1	wh3_dlc29_magic_summon_verminlord_dummy_4	4
wh3_dlc29_magic_summon_verminlord_dummy_1	wh3_dlc29_magic_summon_verminlord_dummy_5	5
wh3_dlc29_magic_summon_verminlord_piece_eshin_1	wh3_dlc29_magic_summon_verminlord_piece_eshin_1	1
wh3_dlc29_magic_summon_verminlord_piece_eshin_1	wh3_dlc29_magic_summon_verminlord_piece_eshin_2	2
wh3_dlc29_magic_summon_verminlord_piece_eshin_1	wh3_dlc29_magic_summon_verminlord_piece_eshin_3	3
wh3_dlc29_magic_summon_verminlord_piece_eshin_1	wh3_dlc29_magic_summon_verminlord_piece_eshin_4	4
wh3_dlc29_magic_summon_verminlord_piece_eshin_1	wh3_dlc29_magic_summon_verminlord_piece_eshin_5	5
wh3_dlc29_magic_summon_verminlord_piece_moulder_1	wh3_dlc29_magic_summon_verminlord_piece_moulder_1	1
wh3_dlc29_magic_summon_verminlord_piece_moulder_1	wh3_dlc29_magic_summon_verminlord_piece_moulder_2	2
wh3_dlc29_magic_summon_verminlord_piece_moulder_1	wh3_dlc29_magic_summon_verminlord_piece_moulder_3	3
wh3_dlc29_magic_summon_verminlord_piece_moulder_1	wh3_dlc29_magic_summon_verminlord_piece_moulder_4	4
wh3_dlc29_magic_summon_verminlord_piece_moulder_1	wh3_dlc29_magic_summon_verminlord_piece_moulder_5	5
wh3_dlc29_magic_summon_verminlord_piece_pestilens_1	wh3_dlc29_magic_summon_verminlord_piece_pestilens_1	1
wh3_dlc29_magic_summon_verminlord_piece_pestilens_1	wh3_dlc29_magic_summon_verminlord_piece_pestilens_2	2
wh3_dlc29_magic_summon_verminlord_piece_pestilens_1	wh3_dlc29_magic_summon_verminlord_piece_pestilens_3	3
wh3_dlc29_magic_summon_verminlord_piece_pestilens_1	wh3_dlc29_magic_summon_verminlord_piece_pestilens_4	4
wh3_dlc29_magic_summon_verminlord_piece_pestilens_1	wh3_dlc29_magic_summon_verminlord_piece_pestilens_5	5
wh3_dlc29_magic_summon_verminlord_piece_skryre_1	wh3_dlc29_magic_summon_verminlord_piece_skryre_1	1
wh3_dlc29_magic_summon_verminlord_piece_skryre_1	wh3_dlc29_magic_summon_verminlord_piece_skryre_2	2
wh3_dlc29_magic_summon_verminlord_piece_skryre_1	wh3_dlc29_magic_summon_verminlord_piece_skryre_3	3
wh3_dlc29_magic_summon_verminlord_piece_skryre_1	wh3_dlc29_magic_summon_verminlord_piece_skryre_4	4
wh3_dlc29_magic_summon_verminlord_piece_skryre_1	wh3_dlc29_magic_summon_verminlord_piece_skryre_5	5
wh3_dlc29_magic_summon_verminlord_warbringer_1	wh3_dlc29_magic_summon_verminlord_warbringer_1	1
wh3_dlc29_magic_summon_verminlord_warbringer_1	wh3_dlc29_magic_summon_verminlord_warbringer_2	2
wh3_dlc29_magic_summon_verminlord_warbringer_1	wh3_dlc29_magic_summon_verminlord_warbringer_3	3
wh3_dlc29_magic_summon_verminlord_warbringer_1	wh3_dlc29_magic_summon_verminlord_warbringer_4	4
wh3_dlc29_magic_summon_verminlord_warbringer_1	wh3_dlc29_magic_summon_verminlord_warbringer_5	5
wh3_dlc29_magic_summon_verminlord_warpseer_1	wh3_dlc29_magic_summon_verminlord_warpseer_1	1
wh3_dlc29_magic_summon_verminlord_warpseer_1	wh3_dlc29_magic_summon_verminlord_warpseer_2	2
wh3_dlc29_magic_summon_verminlord_warpseer_1	wh3_dlc29_magic_summon_verminlord_warpseer_3	3
wh3_dlc29_magic_summon_verminlord_warpseer_1	wh3_dlc29_magic_summon_verminlord_warpseer_4	4
wh3_dlc29_magic_summon_verminlord_warpseer_1	wh3_dlc29_magic_summon_verminlord_warpseer_5	5
wh3_dlc29_military_green_basic_infantry_spears_1	wh3_dlc29_military_green_basic_infantry_spears_1	1
wh3_dlc29_military_green_basic_infantry_spears_1	wh3_dlc29_military_green_basic_infantry_spears_2	2
wh3_dlc29_military_green_basic_pusbags_1	wh3_dlc29_military_green_basic_pusbags_1	1
wh3_dlc29_military_green_basic_pusbags_1	wh3_dlc29_military_green_basic_pusbags_2	2
wh3_dlc29_military_green_brood_horror_dlc_1	wh3_dlc29_military_green_brood_horror_dlc_1	1
wh3_dlc29_military_green_brood_horror_dlc_1	wh3_dlc29_military_green_brood_horror_dlc_2	2
wh3_dlc29_military_green_death_globe_bombadiers_1	wh3_dlc29_military_green_death_globe_bombadiers_1	1
wh3_dlc29_military_green_death_globe_bombadiers_1	wh3_dlc29_military_green_death_globe_bombadiers_2	2
wh3_dlc29_military_green_death_runners_1	wh3_dlc29_military_green_death_runners_1	1
wh3_dlc29_military_green_death_runners_1	wh3_dlc29_military_green_death_runners_2	2
wh3_dlc29_military_green_death_runners_1	wh3_dlc29_military_green_death_runners_3	3
wh3_dlc29_military_green_doom_flayer_dlc_1	wh3_dlc29_military_green_doom_flayer_dlc_1	1
wh3_dlc29_military_green_doom_flayer_dlc_1	wh3_dlc29_military_green_doom_flayer_dlc_2	2
wh3_dlc29_military_green_doomwheel_1	wh3_dlc29_military_green_doomwheel_1	1
wh3_dlc29_military_green_doomwheel_1	wh3_dlc29_military_green_doomwheel_2	2
wh3_dlc29_military_green_moulder_wolf_rats_dlc_1	wh3_dlc29_military_green_moulder_wolf_rats_dlc_1	1
wh3_dlc29_military_green_moulder_wolf_rats_dlc_1	wh3_dlc29_military_green_moulder_wolf_rats_dlc_2	2
wh3_dlc29_military_green_mutant_rat_ogre_dlc_1	wh3_dlc29_military_green_mutant_rat_ogre_dlc_1	1
wh3_dlc29_military_green_mutant_rat_ogre_dlc_1	wh3_dlc29_military_green_mutant_rat_ogre_dlc_2	2
wh3_dlc29_military_green_plague_monks_1	wh3_dlc29_military_green_plague_monks_1	1
wh3_dlc29_military_green_plague_monks_1	wh3_dlc29_military_green_plague_monks_2	2
wh3_dlc29_military_green_plagueclaw_catapult_1	wh3_dlc29_military_green_plagueclaw_catapult_1	1
wh3_dlc29_military_green_plagueclaw_catapult_1	wh3_dlc29_military_green_plagueclaw_catapult_2	2
wh3_dlc29_military_green_plagueclaw_catapult_1	wh3_dlc29_military_green_plagueclaw_catapult_3	3
wh3_dlc29_military_green_poison_wind_globadiers_1	wh3_dlc29_military_green_poison_wind_globadiers_1	1
wh3_dlc29_military_green_poison_wind_globadiers_1	wh3_dlc29_military_green_poison_wind_globadiers_2	2
wh3_dlc29_military_green_poison_wind_mortars_1	wh3_dlc29_military_green_poison_wind_mortars_1	1
wh3_dlc29_military_green_poison_wind_mortars_1	wh3_dlc29_military_green_poison_wind_mortars_2	2
wh3_dlc29_military_green_rictus_stormvermin_1	wh3_dlc29_military_green_rictus_stormvermin_1	1
wh3_dlc29_military_green_rictus_stormvermin_1	wh3_dlc29_military_green_rictus_stormvermin_2	2
wh3_dlc29_military_green_rictus_stormvermin_halberds_1	wh3_dlc29_military_green_rictus_stormvermin_halberds_1	1
wh3_dlc29_military_green_rictus_stormvermin_halberds_1	wh3_dlc29_military_green_rictus_stormvermin_halberds_2	2
wh3_dlc29_military_green_skryre_ratling_guns_dlc_1	wh3_dlc29_military_green_skryre_ratling_guns_dlc_1	1
wh3_dlc29_military_green_skryre_ratling_guns_dlc_1	wh3_dlc29_military_green_skryre_ratling_guns_dlc_2	2
wh3_dlc29_military_green_skryre_warpfire_throwers_1	wh3_dlc29_military_green_skryre_warpfire_throwers_1	1
wh3_dlc29_military_green_skryre_warpfire_throwers_1	wh3_dlc29_military_green_skryre_warpfire_throwers_2	2
wh3_dlc29_military_green_warp_lightning_cannon_1	wh3_dlc29_military_green_warp_lightning_cannon_1	1
wh3_dlc29_military_green_warp_lightning_cannon_1	wh3_dlc29_military_green_warp_lightning_cannon_2	2
wh3_dlc29_military_green_warp_lightning_cannon_1	wh3_dlc29_military_green_warp_lightning_cannon_3	3
wh3_dlc29_military_green_warp_lightning_cannon_warlock_1	wh3_dlc29_military_green_warp_lightning_cannon_warlock_1	1
wh3_dlc29_military_green_warp_lightning_cannon_warlock_1	wh3_dlc29_military_green_warp_lightning_cannon_warlock_2	2
