key	filename	range	animated
#warscape_animated_lod_tables;1;db/warscape_animated_lod_tables/data__			
-1059578823	RigidModels\campaign\trade_models\camel_trader01_anim.rigid_model_v2	0.0000	campaign_trader_villager
-1631058337	RigidModels\Naval\Variant\oar_R_raise_anim.rigid_model_v2	0.0000	oar_R_anim_raise
-1683851084	RigidModels\Naval\Variant\oar_R_lower_anim.rigid_model_v2	0.0000	oar_R_anim_lower
-1855534954	RigidModels\Naval\Variant\oar_L_lower_anim.rigid_model_v2	0.0000	oar_L_anim_lower
-1910630381	RigidModels\CampaignTradeRoutes\trade_camel_lead.rigid_model_animation	0.0000	trade_camel_lead
1017727610	warmachines\engines\emp_steam_tank\emp_steam_tank_emperors_wrath_01.wsmodel	0.0000	emp_steam_tank_ror_0
1029718567	warmachines\engines\chd_magma_cannon\chd_magma_cannon_01.wsmodel	0.0000	chd_magma_cannon
103113809	warmachines\chariot\hef_tiranoc_chariot\hef_tiranoc_chariot01_destruct.rigid_model_v2	0.0000	hef_tiranoc_chariot_destruct
1036032304	warmachines\engines\cst_carrionade\cst_carrionade_01_destruct.wsmodel	0.0000	cst_carrionade_destruct
1040496725	warmachines/chariot/dae_gorebeast_chariot/dae_gorebeast_chariot_01.wsmodel	0.0000	dae_gorebeast_chariot
1056630453	warmachines/chariot/dae_seeker_chariot/dae_seeker_chariot_exalted_01.wsmodel	0.0000	dae_seeker_chariot_exalted_01
1058569596	warmachines\chariot\chs_chariot\dae_chariot_nurgle_02_destruct.wsmodel	0.0000	chs_chariot_mnur_large_draught_destruction
1066076707	warmachines\engines\cth_war_drum\cth_war_drum_jade_01.wsmodel	0.0000	cth_zhangu_war_drum_ror
1074062579	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_flappa_01_destroyed.rigid_model_v2	0.0000	grn_snotling_pump_wagon_flappa_destruct
1079375259	warmachines\chariot\chs_chariot\dae_chariot_khorne_01.wsmodel	0.0000	chs_chariot_mkho_small_draught
109476371	warmachines\engines\chd_deathshrieker\chd_deathshrieker_flame_01.wsmodel	0.0000	chd_deathshrieker_ror
1120436859	warmachines/engines/cst_mortar/cst_mortar_destruct_01.wsmodel	0.0000	cst_mortar_destruct
1132252550	warmachines\engines\chd_skullcracker\chd_skullcracker_destruct_01.wsmodel	0.0000	chd_skullcracker_destruct
1136237440	warmachines/chariot/dae_seeker_chariot/dae_seeker_chariot_01_destruct.wsmodel	0.0000	dae_seeker_chariot_destruct
1144288959	warmachines/chariot/ksl_warsled/ksl_warsled_light_destruct.wsmodel	0.0000	ksl_warsled_light_destruct
1151857575	warmachines/chariot/dae_seeker_chariot/dae_seeker_chariot_hellflayer_01_destruct.wsmodel	0.0000	dae_seeker_chariot_hellflayer_destruct
1154425982	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destruct_01.wsmodel	0.0000	chd_iron_daemon_ror_destruct
1159177595	warmachines\chariot\chs_chariot\dae_chariot_slaanesh_01.wsmodel	0.0000	chs_chariot_msla_small_draught
1173720424	warmachines\chariot\lzd_slann_platform\lzd_mazdamundi_01_destruct.wsmodel	0.0000	lzd_mazdamundi_palanquin_destruct
1192635548	RigidModels/3DIndicators/target_marker.rigid_model_animation	0.0000	target_marker
1200798476	warmachines\chariot\chs_chariot\dae_chariot_nurgle_02.wsmodel	0.0000	chs_chariot_mnur_large_draught
1207788347	warmachines\engines\cst_carrionade\cst_carrionade_01.wsmodel	0.0000	cst_carrionade
1208454631	RigidModels/CampaignPieces/campaign_ship_model_2.animatable_rigid_model	0.0000	campaign_ship2
1214560264	RigidModels\campaign\trade_models\sea_trade_anim.rigid_model_v2	0.0000	campaign_trader_trade_ship
1216654780	warmachines/chariot/hef_white_lion_chariot/hef_white_lion_chariot_01.rigid_model_v2	0.0000	hef_white_lion_chariot
1217135781	warmachines/engines/ogr_ironblaster/ogr_ironblaster_01.wsmodel	0.0000	ogr_ironblaster
1219078168	RigidModels\campaign\trade_models\camel_trader01_anim.rigid_model_v2	0.0000	campaign_trader_trade_cart
1229678891	RigidModels\Naval\Variant\oar_L_loop_anim.rigid_model_v2	0.0000	oar_L_anim_loop
1230050569	RigidModels\Naval\Variant\oar_L_raise_anim.rigid_model_v2	0.0000	oar_L_anim_raise
1231842968	warmachines/chariot/emp_war_wagon/emp_war_wagon_01_destruct.wsmodel	0.0000	emp_war_wagon_destruct
1251984794	RigidModels\CampaignTradeRoutes\trade_camel.rigid_model_animation	0.0000	trade_camel
1253317613	warmachines/chariot/hef_white_lion_chariot/hef_white_lion_chariot_destruct.rigid_model_v2	0.0000	hef_white_lion_chariot_destruct
1275963485	warmachines\engines\skv_doom_flayer\skv_doom_flayer_blackhole_destroyed.wsmodel	0.0000	skv_doom_flayer_blackhole_01_destruct
1297550268	warmachines\engines\chd_magma_cannon\chd_magma_cannon_01_destruct.wsmodel	0.0000	chd_magma_cannon_destruct
1303824599	warmachines/engines/skv_doomwheel/skv_doomwheel_doom_01.wsmodel	0.0000	skv_doomwheel_ror
1307294587	warmachines\chariot\tmb_chariot_of_the_gods\tmb_chariot_of_the_gods_01.rigid_model_v2	0.0000	tmb_tomb_chariot_settra
131258551	warmachines\chariot\tmb_basic_chariot\tmb_basic_chariot_01_destruct.rigid_model_v2	0.0000	tmb_tomb_chariot_destruct
1318854825	warmachines\chariot\chs_chariot\dae_chariot_khorne_02.wsmodel	0.0000	chs_chariot_mkho_large_draught
1328326558	warmachines\chariot\tmb_chariot_of_the_gods\tmb_chariot_of_the_gods_01_destruct.rigid_model_v2	0.0000	tmb_tomb_chariot_settra_destruct
133849964	warmachines\engines\chd_skullcracker\chd_skullcracker_01.wsmodel	0.0000	chd_skullcracker
1340720746	warmachines/engines/ogr_gnoblar_scraplauncher/ogr_gnoblar_scraplauncher_01_destruct.wsmodel	0.0000	ogr_scrap_launcher_destruct
1342223782	warmachines/engines/cst_queen_bess/cst_queen_bess_01.wsmodel	0.0000	cst_queen_bess
1371598294	warmachines\chariot\tmb_basic_chariot\tmb_basic_chariot_01.rigid_model_v2	0.0000	tmb_tomb_chariot
1382710919	warmachines\chariot\chs_chariot\dae_chariot_nurgle_01_destruct.wsmodel	0.0000	chs_chariot_mnur_small_draught_destruction
