province	resource_transaction
#province_background_pooled_resource_transactions_tables;0;db/province_background_pooled_resource_transactions_tables/data__	
wh3_main_chaos_province_black_blood_pass	wh3_main_resource_cost_province_starting_corruption_skaven_large
wh3_main_chaos_province_bloodfire_falls	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_chaos_province_eastern_steppes	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_chaos_province_helspire_mountains	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_chaos_province_ice_tooth_mountains	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_chaos_province_kdatha	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_chaos_province_northern_grey_mountains	wh3_main_resource_cost_province_starting_corruption_skaven_small
wh3_main_chaos_province_northern_wastes	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_chaos_province_plain_of_bone	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_chaos_province_plain_of_illusions	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_chaos_province_road_of_skulls	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_chaos_province_sylvania	wh3_main_resource_cost_province_starting_corruption_vampiric_large
wh3_main_chaos_province_the_blood_marshes	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_chaos_province_the_cold_mires	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_chaos_province_the_eternal_lagoon	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_chaos_province_the_goromadny	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_chaos_province_the_high_pass	wh3_main_resource_cost_province_starting_corruption_skaven_small
wh3_main_chaos_province_the_red_wastes	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_chaos_province_the_shard_lands	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_chaos_province_the_wolf_lands	wh3_main_resource_cost_province_starting_corruption_skaven_small
wh3_main_chaos_province_trollheim_mountains	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_chaos_province_vanaheim_mountains	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_chaos_province_warpstone_desert	wh3_main_resource_cost_province_starting_corruption_skaven_large
wh3_main_chaos_province_worlds_edge_mountains	wh3_main_resource_cost_province_starting_corruption_vampiric_small
wh3_main_combi_province_black_blood_pass	wh3_main_resource_cost_province_starting_corruption_skaven_large
wh3_main_combi_province_bloodfire_falls	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_combi_province_broken_teeth	wh3_main_resource_cost_province_starting_corruption_vampiric_large
wh3_main_combi_province_eastern_steppes	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_combi_province_great_mortis_delta	wh3_main_resource_cost_province_starting_corruption_vampiric_large
wh3_main_combi_province_kdatha	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_combi_province_northern_sylvania	wh3_main_resource_cost_province_starting_corruption_vampiric_small
wh3_main_combi_province_northern_wastes	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_combi_province_plain_of_illusions	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_combi_province_southern_sylvania	wh3_main_resource_cost_province_starting_corruption_vampiric_small
wh3_main_combi_province_the_abyssal_glacier	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_combi_province_the_blighted_marshes	wh3_main_resource_cost_province_starting_corruption_skaven_large
wh3_main_combi_province_the_blood_marshes	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_combi_province_the_cold_mires	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_combi_province_the_daemonium_hills	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_combi_province_the_eternal_lagoon	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_combi_province_the_ice_fire_plains	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_combi_province_the_noisome_tumour	wh3_main_resource_cost_province_starting_corruption_chaos_small
wh3_main_combi_province_the_red_wastes	wh3_main_resource_cost_province_starting_corruption_chaos_large
wh3_main_combi_province_the_southern_wastes	wh3_main_resource_cost_province_starting_corruption_chaos_small
