name	idle_looping_sound	moving_looping_sound	rotating_looping_sound	x_offset	y_offset	z_offset
#audio_looping_sound_groupings_tables;3;db/audio_looping_sound_groupings_tables/data__						
steamtank_1	wh_war_machine_steamtank_idle	wh_war_machine_steamtank_movement	wh_war_machine_steamtank_movement	0.0000	0.0000	0.0000
wh2_dlc09_chariot_arkhan	wh2_dlc09_chariot_arkhan_idle	wh2_dlc09_chariot_arkhan_movement	wh2_dlc09_chariot_arkhan_movement_rotation	0.0000	0.0000	0.0000
wh2_dlc09_chariot_settra	wh2_dlc09_chariot_settra_idle	wh2_dlc09_chariot_settra_movement	wh2_dlc09_chariot_settra_movement_rotation	0.0000	0.0000	0.0000
wh2_dlc09_chariot_tmb		wh2_dlc_09_chariot_tmb_movement	wh2_dlc_09_chariot_tmb_movement_rotation	0.0000	0.0000	0.0000
wh2_dlc11_cst_Cylostra_LORD	wh2_dlc_11_cylostra_aura	wh2_dlc_11_cylostra_aura	wh2_dlc_11_cylostra_aura	0.0000	0.0000	0.0000
wh2_dlc11_cst_war_machine_queen_bess		wh_war_machine_queen_bess_movement	wh_war_machine_queen_bess_rotation	0.0000	0.0000	0.0000
wh2_dlc12_war_machine_doom_flayer	wh2_dlc12_war_machine_doom_flayer_movement	wh2_dlc12_war_machine_doom_flayer_movement	wh2_dlc12_war_machine_doom_flayer_movement	0.0000	0.0000	0.0000
wh2_dlc13_war_machine_warwagon		wh_luminark_movement	wh_luminark_movement_rotation	0.0000	0.0000	0.0000
wh2_dlc14_skaven_poison_wind_mortar_team		wh2_dlc14_poison_wind_mortar_movement	wh2_dlc14_poison_wind_mortar_movement	0.0000	0.0000	0.0000
wh2_dlc15_rogue_idol	wh2_dlc15_rogue_idol_glow_vfx	wh2_dlc15_rogue_idol_glow_vfx	wh2_dlc15_rogue_idol_glow_vfx	0.0000	0.0000	0.0000
wh2_dlc15_snotling_pump_wagon		wh2_dlc15_war_machine_pump_wagon_gears	wh2_dlc15_war_machine_pump_wagon_gears	0.0000	0.0000	0.0000
wh2_dlc15_snotling_pump_wagon_flappa		wh2_dlc15_war_machine_pump_wagon_gears	wh2_dlc15_war_machine_pump_wagon_gears	0.0000	0.0000	0.0000
wh2_dlc15_snotling_pump_wagon_ror		wh2_dlc15_war_machine_pump_wagon_gears	wh2_dlc15_war_machine_pump_wagon_gears	0.0000	0.0000	0.0000
wh2_dlc16_mutant_rat_ogre	wh2_dlc16_mutant_rat_ogre_loop	wh2_dlc16_mutant_rat_ogre_loop	wh2_dlc16_mutant_rat_ogre_loop	0.0000	0.0000	0.0000
wh2_dlc16_skaven_ghoritch_LH	wh2_dlc12_ikit_jetpack_idle	wh2_dlc12_ikit_jetpack_idle	wh2_dlc12_ikit_jetpack_idle	0.0000	0.0000	0.0000
wh2_hef_cauldron_of_blood	wh_cauldron_of_blood_idle	wh_cauldron_of_blood_movement	wh_cauldron_of_blood_movement	0.0000	0.0000	0.0000
wh2_hef_elf_male_tyrion_LH	wh2_flaming_sword	wh2_flaming_sword	wh2_flaming_sword	0.0000	0.0000	0.0000
wh2_hell_pit_abomination	wh_hell_pit_abomination_engine_idle	wh_hell_pit_abomination_engine_movement	wh_hell_pit_abomination_engine_movement	0.0000	0.0000	0.0000
wh2_lzd_slann_platform	wh2_slann_platform_sound	wh2_slann_platform_sound	wh2_slann_platform_sound	0.0000	0.0000	0.0000
wh2_pro06_bone_giant	wh2_dlc09_constructs_shimmer_idle	wh2_dlc09_constructs_shimmer_idle	wh2_dlc09_constructs_shimmer_idle	0.0000	0.0000	0.0000
wh2_siege_tower_lizardmen	wh2_siege_tower_lizardmen_idle	wh2_siege_tower_lizardmen_movement	wh2_siege_tower_lizardmen_movement	0.0000	0.0000	0.0000
wh2_siege_tower_skaven		wh_war_machine_skv_movement_large	wh_war_machine_skv_rotation_large	0.0000	0.0000	0.0000
wh2_tmb_hierotitan	wh2_dlc09_constructs_shimmer_idle	wh2_dlc09_constructs_shimmer_idle	wh2_dlc09_constructs_shimmer_idle	0.0000	0.0000	0.0000
wh2_tmb_necrosphinx	wh2_dlc09_constructs_shimmer_idle	wh2_dlc09_constructs_shimmer_idle	wh2_dlc09_constructs_shimmer_idle	0.0000	0.0000	0.0000
wh2_tmb_scorpion	wh2_dlc09_constructs_shimmer_idle	wh2_dlc09_constructs_shimmer_idle	wh2_dlc09_constructs_shimmer_idle	0.0000	0.0000	0.0000
wh2_tmb_war_machine_casket_of_souls	wh2_war_machine_tmb_casket_of_souls_idle	wh2_war_machine_tmb_casket_of_souls_movement	wh2_war_machine_tmb_casket_of_souls_idle	0.0000	0.0000	0.0000
wh2_tmb_warsphinx	wh2_dlc09_constructs_shimmer_idle	wh2_dlc09_constructs_shimmer_idle	wh2_dlc09_constructs_shimmer_idle	0.0000	0.0000	0.0000
wh2_war_machine_SKV_plague_furnace		wh_war_machine_wood_movement_large	wh_war_machine_wood_rotation_large	0.0000	0.0000	0.0000
wh2_war_machine_SKV_screaming_bell		wh_war_machine_wood_movement_large	wh_war_machine_wood_rotation_large	0.0000	0.0000	0.0000
wh2_wm_bolt_thrower_eagle_claw		wh_war_machine_wood_movement_small	wh_war_machine_wood_movement_small	0.0000	0.0000	0.0000
wh2_wm_screaming_skull_catapult		wh2_war_machine_skull_catapult_movement_medium	wh2_war_machine_skull_catapult_movement_medium	0.0000	0.0000	0.0000
wh3_bloodshrine_torches	wh3_war_machine_bloodshrine_torches	wh3_war_machine_bloodshrine_torches	wh3_war_machine_bloodshrine_torches	0.0000	5.2000	-1.4000
wh3_boris_spear	wh3_boris_glaive			0.0000	0.0000	0.0000
wh3_chd_siege_tower		wh3_war_machine_chd_siege_tower_movement	wh3_war_machine_chd_siege_tower_movement	0.0000	0.0000	0.0000
wh3_chs_chariot_grouping	wh3_chs_chariot_idle	wh3_chs_chariot_movement	wh3_chs_chariot_rotate	0.0000	0.0000	0.0000
wh3_cth_kong_ming_sky_junk	wh3_war_machine_kong_ming_sky_junk	wh3_war_machine_kong_ming_sky_junk	wh3_war_machine_kong_ming_sky_junk	0.0000	0.0000	0.0000
wh3_dlc20_chs_warshrine_persistent	wh3_dlc20_chs_warshrine_idle_persistent_vfx	wh3_dlc20_chs_warshrine_movement_persistent_vfx	wh3_dlc20_chs_warshrine_movement_persistent_vfx	0.0000	0.0000	0.0000
wh3_dlc20_kho_warshrine_persistent	wh3_dlc20_kho_warshrine_idle_persistent_vfx	wh3_dlc20_kho_warshrine_movement_persistent_vfx	wh3_dlc20_kho_warshrine_movement_persistent_vfx	0.0000	0.0000	0.0000
wh3_dlc20_nur_warshrine_persistent	wh3_dlc20_nur_warshrine_idle_persistent_vfx	wh3_dlc20_nur_warshrine_movement_persistent_vfx	wh3_dlc20_nur_warshrine_movement_persistent_vfx	0.0000	0.0000	0.0000
wh3_dlc20_sla_warshrine_persistent	wh3_dlc20_sla_warshrine_idle_persistent_vfx	wh3_dlc20_sla_warshrine_movement_persistent_vfx	wh3_dlc20_sla_warshrine_movement_persistent_vfx	0.0000	0.0000	0.0000
wh3_dlc20_tze_warshrine_persistent	wh3_dlc20_tze_warshrine_idle_persistent_vfx	wh3_dlc20_tze_warshrine_movement_persistent_vfx	wh3_dlc20_tze_warshrine_movement_persistent_vfx	0.0000	0.0000	0.0000
wh3_dlc23_chd_astragoth_engine	wh3_dlc23_chd_astragoth_engine_idle	wh3_dlc23_chd_astragoth_engine_idle	wh3_dlc23_chd_astragoth_engine_idle	0.0000	0.0000	0.0000
wh3_dlc23_chd_bale_taurus_cinderbreath_persistent	wh3_dlc23_chd_bale_taurus_persistent_vfx_high	wh3_dlc23_chd_bale_taurus_persistent_vfx_high	wh3_dlc23_chd_bale_taurus_persistent_vfx_high	0.0000	0.0000	0.0000
