group	stance	composite_scene	composite_movement_start	composite_movement_stop
#campaign_stances_composite_scenes_tables;0;db/campaign_stances_composite_scenes_tables/data__				
wh_dlc03_stance_csc_beastmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH	raiding_stance		
wh2_main_stance_csc_lizardmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASTROMANCY	astromancy_stance		
wh2_main_stance_csc_lizardmen_slann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASTROMANCY	astromancy_stance_slann		
wh2_dlc09_stance_csc_tomb_kings	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh2_dlc11_stance_csc_coast	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	wh_dlc11_cst_treasure_hunt		
wh2_main_stance_csc_dark_elves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh2_main_stance_csc_high_elves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lileaths_blessing		
wh2_main_stance_csc_lizardmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh2_main_stance_csc_lizardmen_slann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling_slann		
wh2_main_stance_csc_skaven	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh3_dlc23_stance_chd_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh3_main_stance_csc_cathay	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh3_main_stance_csc_daemons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh3_main_stance_csc_kislev	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh3_main_stance_csc_kislev_pro	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh3_main_stance_csc_nurgle	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh3_main_stance_csc_slaanesh	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh3_main_stance_csc_tzeentch	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh_dlc05_stance_csc_woodelves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh_dlc08_stance_csc_norsca	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh_main_stance_csc_bretonnia	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh_main_stance_csc_chaos	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh_main_stance_csc_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh_main_stance_csc_empire	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh_main_stance_csc_greenskins	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh_main_stance_csc_vampire_counts	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	lord_channelling		
wh3_dlc23_stances_chd_lord_convoy_overseer	MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP	cth_caravan		
wh3_main_stances_cth_lord_caravan_master	MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP	cth_caravan		
wh2_dlc09_stance_csc_tomb_kings	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh2_dlc11_stance_csc_coast	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh2_main_stance_csc_dark_elves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh2_main_stance_csc_high_elves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh2_main_stance_csc_lizardmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh2_main_stance_csc_lizardmen_slann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh2_main_stance_csc_skaven	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh3_dlc23_stance_chd_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh3_main_stance_csc_cathay	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh3_main_stance_csc_daemons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh3_main_stance_csc_khorne	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh3_main_stance_csc_kislev	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh3_main_stance_csc_kislev_pro	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh3_main_stance_csc_nurgle	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh3_main_stance_csc_slaanesh	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh3_main_stance_csc_tzeentch	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh_dlc03_stance_csc_beastmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh_dlc05_stance_csc_woodelves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh_dlc08_stance_csc_norsca	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh_main_stance_csc_bretonnia	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh_main_stance_csc_chaos	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh_main_stance_csc_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh_main_stance_csc_empire	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh_main_stance_csc_greenskins	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	grn_encampment		
wh_main_stance_csc_vampire_counts	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	raiding_stance		
wh3_dlc25_malakai_bound_horde_agents	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE	wh3_dlc25_dwf_spirit_of_grungni		
wh_dlc03_stance_csc_beastmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE	raiding_stance		
wh_dlc08_stance_csc_norsca	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING	norsca_encampment		
wh_main_stance_csc_greenskins	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING	grn_encampment		
wh2_dlc09_stance_csc_tomb_kings	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh2_dlc09_tmb_encampment		
wh2_dlc11_stance_csc_coast	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh2_dlc11_cst_encampment		
wh2_main_stance_csc_dark_elves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh2_main_def_encampment		
wh2_main_stance_csc_high_elves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh2_main_hef_encampment		
wh2_main_stance_csc_lizardmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh2_main_lzd_encampment		
wh2_main_stance_csc_lizardmen_slann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh2_main_lzd_encampment		
wh2_main_stance_csc_skaven	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh2_main_skv_encampment		
wh3_dlc23_stance_chd_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh3_dlc23_chd_encampment		
wh3_main_stance_csc_daemons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh3_main_dae_encampment		
wh3_main_stance_csc_khorne	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh3_main_kho_encampment		
wh3_main_stance_csc_kislev	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh3_main_ksl_encampment		
wh3_main_stance_csc_nurgle	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh3_main_nur_encampment		
wh3_main_stance_csc_ogre_kingdoms	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh3_main_ogr_encampment		
wh3_main_stance_csc_slaanesh	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh3_main_sla_encampment		
wh3_main_stance_csc_tzeentch	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh3_main_tze_encampment		
wh3_main_stances_cth	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh3_main_cth_encampment		
wh_dlc03_stance_csc_beastmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	raiding_stance		
wh_dlc05_stance_csc_woodelves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh_dlc05_wef_encampment		
wh_main_stance_csc_bretonnia	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	bretonnia_camp		
wh_main_stance_csc_chaos	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh3_main_dae_encampment		
wh_main_stance_csc_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	dwarf_camp		
wh_main_stance_csc_empire	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	empire_camp		
wh2_main_stance_csc_skaven	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh2_main_skv_tunnel_stance		
wh3_dlc23_stance_chd_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh3_dlc23_chd_tunnel_stance		
wh3_dlc25_malakai_bound_horde_agents	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh3_dlc25_dwf_spirit_of_grungni		
wh3_main_stance_csc_daemons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh3_main_tze_encampment	wh3_main_tze_teleporting_start	wh3_main_tze_teleporting_stop
wh3_main_stance_csc_tzeentch	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING		wh3_main_tze_teleporting_start	wh3_main_tze_teleporting_stop
wh_dlc03_stance_csc_beastmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	beastman_tunnel_stance		
wh_dlc05_stance_csc_woodelves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh_dlc05_wef_tunnel_stance		
wh_main_stance_csc_chaos	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING		wh3_main_tze_teleporting_start	wh3_main_tze_teleporting_stop
wh_main_stance_csc_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	tunnel_stance		
