agent_subtype	ministerial_position
#ministerial_positition_to_subtype_restrictions_tables;0;db/ministerial_positition_to_subtype_restrictions_tables/data__	
wh2_dlc16_wef_drycha	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh2_dlc16_wef_malicious_ancient_treeman_beasts	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh2_dlc16_wef_malicious_ancient_treeman_life	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh2_dlc16_wef_malicious_ancient_treeman_shadows	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh2_dlc16_wef_spellweaver_beasts	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh2_dlc16_wef_spellweaver_dark	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh2_dlc16_wef_spellweaver_high	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh2_dlc16_wef_spellweaver_life	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh2_dlc16_wef_spellweaver_shadows	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh_dlc05_wef_ancient_treeman	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh_dlc05_wef_durthu	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh2_dlc16_wef_drycha	wh2_dlc16_minister_wef_sisters_darkweaver
wh2_dlc16_wef_malicious_ancient_treeman_beasts	wh2_dlc16_minister_wef_sisters_darkweaver
wh2_dlc16_wef_malicious_ancient_treeman_life	wh2_dlc16_minister_wef_sisters_darkweaver
wh2_dlc16_wef_malicious_ancient_treeman_shadows	wh2_dlc16_minister_wef_sisters_darkweaver
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_minister_wef_sisters_darkweaver
wh2_dlc16_wef_spellweaver_beasts	wh2_dlc16_minister_wef_sisters_darkweaver
wh2_dlc16_wef_spellweaver_high	wh2_dlc16_minister_wef_sisters_darkweaver
wh2_dlc16_wef_spellweaver_life	wh2_dlc16_minister_wef_sisters_darkweaver
wh_dlc05_wef_ancient_treeman	wh2_dlc16_minister_wef_sisters_darkweaver
wh_dlc05_wef_durthu	wh2_dlc16_minister_wef_sisters_darkweaver
wh_dlc05_wef_glade_lord	wh2_dlc16_minister_wef_sisters_darkweaver
