set_key	superseded_ability_key
#unit_ability_superseded_abilities_set_elements_tables;0;db/unit_ability_superseded_abilities_set_elements_tables/data__	
wh2_dlc12_army_abilities_warpstorm_doomrocket_upgraded	wh2_dlc12_army_abilities_warpstorm_doomrocket
wh2_dlc13_army_abilities_beasts_of_itzl_upgraded	wh2_dlc13_army_abilities_beasts_of_itzl
wh2_dlc13_army_abilities_protection_of_quetzl_upgraded	wh2_dlc13_army_abilities_protection_of_quetzl
wh2_dlc13_army_abilities_storm_of_xholankha_upgraded	wh2_dlc13_army_abilities_storm_of_xholankha
wh2_dlc15_army_abilities_replace_big_waaagh	wh2_dlc15_army_abilities_azhags_waaagh
wh2_dlc15_army_abilities_replace_big_waaagh	wh2_dlc15_army_abilities_big_waaagh
wh2_dlc15_army_abilities_replace_big_waaagh	wh2_dlc15_army_abilities_grimgors_waaagh
wh2_dlc15_army_abilities_replace_big_waaagh	wh2_dlc15_army_abilities_groms_waaagh
wh2_dlc15_army_abilities_replace_big_waaagh	wh2_dlc15_army_abilities_skarsniks_waaagh
wh2_dlc15_army_abilities_replace_big_waaagh	wh2_dlc15_army_abilities_wurrzags_waaagh
wh2_dlc15_army_abilities_replace_big_waaagh	wh3_dlc26_army_abilities_gorbads_waaagh
wh2_dlc15_army_abilities_replace_waaagh	wh2_dlc15_army_abilities_waaagh
wh2_dlc15_supersede_army_abilities_replace_big_waagh	wh2_dlc15_army_abilities_azhags_waaagh
wh2_dlc15_supersede_army_abilities_replace_big_waagh	wh2_dlc15_army_abilities_big_waaagh
wh2_dlc15_supersede_army_abilities_replace_big_waagh	wh2_dlc15_army_abilities_grimgors_waaagh
wh2_dlc15_supersede_army_abilities_replace_big_waagh	wh2_dlc15_army_abilities_groms_waaagh
wh2_dlc15_supersede_army_abilities_replace_big_waagh	wh2_dlc15_army_abilities_skarsniks_waaagh
wh2_dlc15_supersede_army_abilities_replace_big_waagh	wh2_dlc15_army_abilities_wurrzags_waaagh
wh2_dlc15_supersede_army_abilities_replace_big_waagh	wh3_dlc26_army_abilities_gorbads_waaagh
wh2_dlc15_supersede_army_abilities_replace_waaagh	wh2_dlc15_army_abilities_waaagh
wh2_dlc15_unit_passive_grim_discipline	wh2_main_unit_passive_martial_mastery
wh2_dlc15_unit_passive_grim_discipline	wh2_main_unit_passive_martial_prowess
wh2_dlc16_ability_replace_glamour	wh2_dlc16_unit_passive_glamoured
wh2_dlc16_hero_passive_loyal_guardian	wh2_dlc09_unit_passive_guardian
wh2_dlc16_unit_passive_berserk	wh_dlc08_unit_passive_rage
wh2_dlc16_unit_passive_scurry_away_improved	wh2_main_unit_passive_scurry_away
wh2_dlc17_army_abilities_cacophonous_assault	wh2_dlc17_army_abilities_cacophonous_assault
wh2_dlc17_character_abilities_hunter_of_champions_upgraded	wh_dlc08_character_abilities_hunter_of_champions
wh2_dlc17_character_passive_grand_arcane_conduit	wh_main_character_abilities_arcane_conduit
wh2_dlc17_greater_locus_of_power	wh_dlc06_lord_passive_locus_of_power
wh2_dlc17_hero_passive_something_wicked_this_way_comes_upgraded	wh_dlc03_hero_passive_something_wicked_this_way_comes
wh2_dlc17_lord_abilities_lord_of_undeath_3	wh_pro03_lord_abilities_lord_of_undeath
wh2_dlc17_lord_abilities_lord_of_undeath_3	wh_pro03_lord_abilities_lord_of_undeath_0
wh2_dlc17_lord_abilities_lord_of_undeath_3	wh_pro03_lord_abilities_lord_of_undeath_1
wh2_dlc17_lord_abilities_lord_of_undeath_3	wh_pro03_lord_abilities_lord_of_undeath_2
wh2_dlc17_lord_abilities_lord_of_undeath_4	wh_pro03_lord_abilities_lord_of_undeath
wh2_dlc17_lord_abilities_lord_of_undeath_4	wh_pro03_lord_abilities_lord_of_undeath_0
wh2_dlc17_lord_abilities_lord_of_undeath_4	wh_pro03_lord_abilities_lord_of_undeath_1
wh2_dlc17_lord_abilities_lord_of_undeath_4	wh_pro03_lord_abilities_lord_of_undeath_2
wh2_dlc17_lord_abilities_lord_of_undeath_4	wh_pro03_lord_abilities_lord_of_undeath_3
wh2_dlc17_lord_passive_aura_of_dark_majesty_upgrade	wh_dlc04_lord_passive_aura_of_dark_majesty
wh2_dlc17_primal_fury	wh_dlc03_unit_passive_primal_fury
wh2_dlc17_unit_passive_bloodgreed_upgraded	wh_dlc03_unit_passive_bloodgreed
wh2_dlc17_unit_passive_greater_aura_of_madness	wh2_dlc17_unit_passive_aura_of_madness
wh2_dlc17_unit_passive_horrible_regeneration	wh_main_unit_passive_regeneration
wh2_main_army_abilities_bloodwrack_cauldron	wh2_main_army_abilities_brazen_cauldron
wh2_main_army_abilities_brazen_cauldron	wh2_main_army_abilities_sky_cauldron
wh2_main_army_abilities_khaines_flail	wh2_main_army_abilities_khaines_lash
wh2_main_army_abilities_khaines_scourge	wh2_main_army_abilities_khaines_flail
wh2_main_army_abilities_soul_storm	wh2_main_army_abilities_soul_torrent
wh2_main_army_abilities_soul_torrent	wh2_main_army_abilities_soul_rain
wh3_dlc23_army_abilities_tower_ballistics_upgraded_toz	wh3_dlc23_army_abilities_tower_ballistics
wh3_dlc24_hero_passive_breath_of_life	wh3_dlc24_hero_passive_breath_of_life
wh3_dlc24_lord_abilities_the_emperors_executioner_upgrade	wh3_dlc24_lord_abilities_the_emperors_executioner
wh3_dlc24_lord_passive_disdain_of_the_dragons	wh3_main_lord_passive_disdain_of_the_dragons
wh3_dlc24_lord_passive_hardened_scale	wh3_main_lord_passive_hardened_scale
wh3_dlc26_character_passive_cloak_of_skulls_ii	wh3_dlc26_character_passive_cloak_of_skulls
wh3_dlc26_character_passive_cloak_of_skulls_ii	wh3_dlc26_character_passive_cloak_of_skulls_ii
wh3_dlc26_character_passive_cloak_of_skulls	wh3_dlc26_character_passive_cloak_of_skulls
wh3_dlc27_army_abilities_asuryans_fury	wh3_dlc27_army_abilities_asuryans_rage
wh3_dlc27_army_abilities_asuryans_wrath	wh3_dlc27_army_abilities_asuryans_fury
wh3_dlc27_army_abilities_dragonship_assault	wh3_dlc27_army_abilities_dragonship_volley
wh3_dlc27_army_abilities_dragonship_blitz	wh3_dlc27_army_abilities_dragonship_assault
wh3_dlc27_army_abilities_ships_of_the_line	wh3_dlc27_army_abilities_war_supplies
wh3_main_daemon_arms_abilities_blue_fire	wh3_main_daemon_arms_abilities_blue_fire
wh3_main_daemon_arms_abilities_for_the_slaughter	wh3_main_daemon_arms_passive_for_the_slaughter
wh3_main_daemon_arms_abilities_gate_of_chaos	wh3_main_daemon_arms_abilities_gate_of_chaos
