quote	unit
#loading_screen_quotes_to_units_tables;0;db/loading_screen_quotes_to_units_tables/data__	
wh2_dlc09_hp_battle_realm_of_souls	wh2_dlc12_lzd_lzd_cha_kroak_0_boss
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	wh2_dlc12_lzd_cav_ripperdactyl_riders_0
wh2_dlc12_lzd_cha_tehenhauin_0	wh2_dlc12_lzd_cha_tehenhauin_0
wh2_dlc12_lzd_cha_tehenhauin_0	wh2_dlc12_lzd_cha_tehenhauin_1
wh2_dlc12_lzd_cha_tehenhauin_0	wh2_dlc12_lzd_cha_tehenhauin_2
wh2_dlc12_lzd_cha_tehenhauin_0	wh2_dlc12_lzd_cha_tehenhauin_3
wh2_dlc12_lzd_cha_tiktaqto_0	wh2_dlc12_lzd_cha_tiktaqto_0
wh2_dlc12_lzd_cha_tiktaqto_0	wh2_dlc12_lzd_cha_tiktaqto_1
wh2_dlc12_lzd_inf_skink_red_crested_0	wh2_dlc12_lzd_inf_skink_red_crested_0
wh2_dlc12_lzd_lzd_cha_kroak_0	wh2_dlc12_lzd_lzd_cha_kroak_0
wh2_dlc12_lzd_mon_ancient_salamander_0	wh2_dlc12_lzd_mon_ancient_salamander_0
wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_dlc12_lzd_mon_ancient_stegadon_1
wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_dlc12_lzd_mon_ancient_stegadon_1_nakai
wh2_dlc12_lzd_mon_bastiladon_3	wh2_dlc12_lzd_mon_bastiladon_3
wh2_dlc12_lzd_mon_bastiladon_3	wh2_dlc12_lzd_mon_bastiladon_3_nakai
wh2_dlc12_lzd_mon_salamander_pack_0	wh2_dlc12_lzd_mon_salamander_pack_0
wh2_dlc12_skv_cha_ikit_claw_0	wh2_dlc12_skv_cha_ikit_claw_0
wh2_dlc12_skv_cha_ikit_claw_0	wh2_dlc12_skv_cha_ikit_claw_1
wh2_dlc12_skv_cha_ikit_claw_0	wh2_dlc12_skv_cha_ikit_claw_2
wh2_dlc12_skv_inf_ratling_gun_0	wh2_dlc12_skv_inf_ratling_gun_0
wh2_dlc12_skv_inf_warplock_jezzails_0	wh2_dlc12_skv_inf_warplock_jezzails_0
wh2_dlc12_skv_veh_doom_flayer_0	wh2_dlc12_skv_veh_doom_flayer_0
wh2_dlc13_emp_cha_markus_wulfhart_0	wh2_dlc13_emp_cha_markus_wulfhart_0
wh2_dlc13_huntmarshall_veh_obsinite_gyrocopter_0	wh2_dlc13_huntmarshall_veh_obsinite_gyrocopter_0
wh2_dlc13_lzd_cha_gor_rok_0	wh2_dlc13_lzd_cha_gor_rok_0
wh2_dlc13_lzd_cha_nakai_0	wh2_dlc13_lzd_cha_nakai_0
wh2_dlc14_brt_cha_repanse_de_lyonesse_0	wh2_dlc14_brt_cha_repanse_de_lyonesse_0
wh2_dlc14_brt_cha_repanse_de_lyonesse_0	wh2_dlc14_brt_cha_repanse_de_lyonesse_1
wh2_dlc14_def_cha_malus_darkblade_0	wh2_dlc14_def_cha_malus_darkblade_0
wh2_dlc14_def_cha_malus_darkblade_0	wh2_dlc14_def_cha_malus_darkblade_0_mp
wh2_dlc14_def_cha_malus_darkblade_0	wh2_dlc14_def_cha_malus_darkblade_1
wh2_dlc14_def_cha_malus_darkblade_0	wh2_dlc14_def_cha_malus_darkblade_1_mp
wh2_dlc14_skv_cha_deathmaster_snikch_0	wh2_dlc14_skv_cha_deathmaster_snikch_0
wh2_dlc15_grn_cha_grom_the_paunch_0	wh2_dlc15_grn_cha_grom_the_paunch_0
wh2_dlc15_hef_cha_eltharion_the_grim_0	wh2_dlc15_hef_cha_eltharion_the_grim_0
wh2_dlc15_hef_cha_eltharion_the_grim_0	wh2_dlc15_hef_cha_eltharion_the_grim_1
wh2_dlc15_hef_cha_eltharion_the_grim_0	wh2_dlc15_hef_cha_eltharion_the_grim_2
wh2_dlc15_hef_cha_imrik_0	wh2_dlc15_hef_cha_imrik_0
wh2_dlc15_hef_cha_imrik_0	wh2_dlc15_hef_cha_imrik_1
wh2_dlc15_hef_cha_imrik_0	wh2_dlc15_hef_cha_imrik_2
wh2_dlc16_skv_cha_ghoritch_0	wh2_dlc16_skv_cha_ghoritch_0
wh2_dlc16_skv_cha_ghoritch_0	wh2_dlc16_skv_cha_ghoritch_0_boss
wh2_dlc16_skv_cha_throt_the_unclean_0	wh2_dlc16_skv_cha_throt_the_unclean_0
wh2_dlc16_skv_cha_throt_the_unclean_0	wh2_dlc16_skv_cha_throt_the_unclean_2
