key	ui_enable_event	ui_disable_event	ui_targetting_event_start	ui_targetting_event_stop	ui_select_event	enable_event	disable_event	max_distance	use_reverb	switch	wind_up_target_enable_event	wind_up_target_disable_event	wind_up_target_max_distance	wind_up_target_use_reverb	wind_up_target_switch	use_active_time	use_wind_up_time	casting_rtpc_name	state_affecting_ability_state_group	state_affecting_ability_state_inactive	state_affecting_ability_state_active	ui_targetting_group_sound
#audio_abilities_tables;8;db/audio_abilities_tables/data__																						
wh2_bound_scorch	UI_BAT_SABL_Mount_Generic		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	UI_BAT_SABL_Select			100.0000	false				100.0000	false		false	true					
wh2_dlc09_abilities_barrage_of_the_legion	UI_BAT_SABL_Unit		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	UI_BAT_SABL_Select			700.0000	true				900.0000	true		false	false					
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	UI_BAT_SABL_Spell_Nehekhara_Djafs_Incantation_Of_Cursed_Blades_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Nehekhara			100.0000	false				100.0000	false		false	false					
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	UI_BAT_SABL_Spell_Nehekhara_Djafs_Incantation_Of_Cursed_Blades_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Nehekhara_Upgraded			100.0000	false				100.0000	false		false	false					
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	UI_BAT_SABL_Spell_Nehekhara_Nerus_Incantation_Of_Protection_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Nehekhara			100.0000	false				100.0000	false		false	false					
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded	UI_BAT_SABL_Spell_Nehekhara_Nerus_Incantation_Of_Protection_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Nehekhara_Upgraded			100.0000	false				100.0000	false		false	false					
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	UI_BAT_SABL_Spell_Nehekhara_Ptras_Incantation_Of_Righteous_Smiting_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Nehekhara			100.0000	false				100.0000	false		false	false					
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	UI_BAT_SABL_Spell_Nehekhara_Ptras_Incantation_Of_Righteous_Smiting_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Nehekhara_Upgraded			100.0000	false				100.0000	false		false	false					
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	UI_BAT_SABL_Spell_Nehekhara_Sakhmets_Incantation_Of_The_Skullstorm_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Nehekhara			100.0000	false				100.0000	false		false	false					
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded	UI_BAT_SABL_Spell_Nehekhara_Sakhmets_Incantation_Of_The_Skullstorm_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Nehekhara_Upgraded			100.0000	false				100.0000	false		false	false					
