building	pooled_resource_effect_constraint
#building_pooled_resource_effect_constraints_tables;0;db/building_pooled_resource_effect_constraints_tables/data__	
wh2_main_def_farm_1	wh2_main_def_farm_1
wh2_main_def_farm_2	wh2_main_def_farm_2
wh2_main_def_farm_3	wh2_main_def_farm_3
wh2_main_def_industry_1	wh2_main_def_industry_1
wh2_main_def_industry_2	wh2_main_def_industry_2
wh2_main_def_industry_3	wh2_main_def_industry_3
wh2_main_def_order_1	wh2_main_def_order_1
wh2_main_def_order_2	wh2_main_def_order_2
wh2_main_def_order_3	wh2_main_def_order_3
wh2_main_def_pleasure_cult_1	wh2_main_def_pleasure_cult_1
wh2_main_def_pleasure_cult_2	wh2_main_def_pleasure_cult_2
wh2_main_def_pleasure_cult_3	wh2_main_def_pleasure_cult_3
wh2_main_def_pleasure_cult_4	wh2_main_def_pleasure_cult_4
wh2_main_def_pleasure_cult_5	wh2_main_def_pleasure_cult_5
wh2_main_special_yvresse_amphitheatre_def	wh2_main_special_yvresse_amphitheatre_def
wh3_dlc23_chd_factory_assembly_line_1	wh3_dlc23_chd_factory_assembly_line_1
wh3_dlc23_chd_factory_assembly_line_2	wh3_dlc23_chd_factory_assembly_line_2
wh3_dlc23_chd_factory_assembly_line_3	wh3_dlc23_chd_factory_assembly_line_3
wh3_dlc23_chd_factory_refinery_1	wh3_dlc23_chd_factory_refinery_1
wh3_dlc23_chd_factory_refinery_2	wh3_dlc23_chd_factory_refinery_2
wh3_dlc23_chd_factory_refinery_3	wh3_dlc23_chd_factory_refinery_3
wh3_dlc23_chd_resource_gems_1	wh3_dlc23_chd_resource_gems_1
wh3_dlc23_chd_resource_iron_1	wh3_dlc23_chd_resource_iron_1
wh3_dlc23_chd_resource_timber_1	wh3_dlc23_chd_resource_timber_1
wh3_main_underdeep_dwf_economy_oathgold_1	wh3_main_underdeep_dwf_economy_oathgold_1
wh3_main_underdeep_dwf_economy_oathgold_2	wh3_main_underdeep_dwf_economy_oathgold_2
wh3_main_underdeep_dwf_economy_oathgold_3	wh3_main_underdeep_dwf_economy_oathgold_3
wh_twa03_special_albion_port_def_1	wh_twa03_special_albion_port_def_1
wh_twa03_special_albion_port_def_2	wh_twa03_special_albion_port_def_2
