identifier	region_group_key	region_group_policy_key	turn_start
#cai_personality_region_group_policy_junctions_tables;1;db/cai_personality_region_group_policy_junctions_tables/data__			
1	cai_region_hint_empty	default	0
2	cai_region_hint_empty	default	50
3	cai_region_hint_empty	default	100
3	cai_chaos_region_hint_area_cathay	wh3_chaos_region_hint_policy_cathay_miao_ying	100
1	cai_chaos_region_hint_sub_area_cathay_proper	wh3_chaos_region_hint_policy_cathay_miao_ying	0
2	cai_chaos_region_hint_sub_area_cathay_proper	wh3_chaos_region_hint_policy_cathay_miao_ying	50
3	cai_chaos_region_hint_area_cathay	wh3_chaos_region_hint_policy_cathay_yuan_bo	100
1	cai_chaos_region_hint_sub_area_cathay_proper	wh3_chaos_region_hint_policy_cathay_yuan_bo	0
2	cai_chaos_region_hint_sub_area_cathay_proper	wh3_chaos_region_hint_policy_cathay_yuan_bo	50
3	cai_chaos_region_hint_area_cathay	wh3_chaos_region_hint_policy_cathay_zhao_ming	100
1	cai_chaos_region_hint_sub_area_cathay_proper	wh3_chaos_region_hint_policy_cathay_zhao_ming	0
2	cai_chaos_region_hint_sub_area_cathay_proper	wh3_chaos_region_hint_policy_cathay_zhao_ming	50
1	cai_chaos_region_hint_area_dwarf_empire	wh3_chaos_region_hint_policy_chaos_dwarf_astragoth	0
2	cai_chaos_region_hint_area_dwarf_empire	wh3_chaos_region_hint_policy_chaos_dwarf_astragoth	50
3	cai_chaos_region_hint_area_dwarf_empire	wh3_chaos_region_hint_policy_chaos_dwarf_astragoth	100
3	cai_chaos_region_hint_area_kislev	wh3_chaos_region_hint_policy_chaos_dwarf_astragoth	100
2	cai_chaos_region_hint_area_dwarf_empire	wh3_chaos_region_hint_policy_chaos_dwarf_drazoath	50
3	cai_chaos_region_hint_area_dwarf_empire	wh3_chaos_region_hint_policy_chaos_dwarf_drazoath	100
3	cai_chaos_region_hint_area_mourn_mountains	wh3_chaos_region_hint_policy_chaos_dwarf_drazoath	100
1	cai_chaos_region_hint_sub_area_darklands	wh3_chaos_region_hint_policy_chaos_dwarf_drazoath	0
2	cai_chaos_region_hint_area_dwarf_empire	wh3_chaos_region_hint_policy_chaos_dwarf_zhatan	50
3	cai_chaos_region_hint_area_dwarf_empire	wh3_chaos_region_hint_policy_chaos_dwarf_zhatan	100
3	cai_chaos_region_hint_area_empire	wh3_chaos_region_hint_policy_chaos_dwarf_zhatan	100
1	cai_chaos_region_hint_sub_area_darklands	wh3_chaos_region_hint_policy_chaos_dwarf_zhatan	0
2	cai_chaos_region_hint_area_cathay	wh3_chaos_region_hint_policy_chaos_settled_azazel	50
3	cai_chaos_region_hint_area_cathay	wh3_chaos_region_hint_policy_chaos_settled_azazel	100
1	cai_chaos_region_hint_sub_area_beyond_bastion	wh3_chaos_region_hint_policy_chaos_settled_azazel	0
2	cai_chaos_region_hint_area_empire	wh3_chaos_region_hint_policy_chaos_settled_festus	50
3	cai_chaos_region_hint_area_empire	wh3_chaos_region_hint_policy_chaos_settled_festus	100
3	cai_chaos_region_hint_area_kislev	wh3_chaos_region_hint_policy_chaos_settled_festus	100
1	cai_chaos_region_hint_sub_area_western_empire	wh3_chaos_region_hint_policy_chaos_settled_festus	0
