priority	profile	default_strategic_component
#cai_personality_strategic_profile_context_overrides_tables;0;db/cai_personality_strategic_profile_context_overrides_tables/data__		
1	wh3_strategic_profile_aggressive	wh3_strategic_component_aggressive_hard
2	wh3_strategic_profile_aggressive	wh3_strategic_component_aggressive_hard
3	wh3_strategic_profile_aggressive	wh3_strategic_component_aggressive_hard_aggro
1	wh3_strategic_profile_aggressive_opportunistic	wh3_strategic_component_aggressive_opportunistic_hard
2	wh3_strategic_profile_aggressive_opportunistic	wh3_strategic_component_aggressive_opportunistic_hard
3	wh3_strategic_profile_aggressive_opportunistic	wh3_strategic_component_aggressive_opportunistic_hard_aggro
1	wh3_strategic_profile_aloof	wh3_strategic_component_aloof_hard
2	wh3_strategic_profile_aloof	wh3_strategic_component_aloof_hard
3	wh3_strategic_profile_aloof	wh3_strategic_component_aloof_hard_aggro
1	wh3_strategic_profile_chaos	wh3_strategic_component_chaos_hard
2	wh3_strategic_profile_chaos	wh3_strategic_component_chaos_hard
3	wh3_strategic_profile_chaos	wh3_strategic_component_chaos_hard_aggro
1	wh3_strategic_profile_chaos_aggressive	wh3_strategic_component_chaos_aggressive_hard
2	wh3_strategic_profile_chaos_aggressive	wh3_strategic_component_chaos_aggressive_hard
3	wh3_strategic_profile_chaos_aggressive	wh3_strategic_component_chaos_aggressive_hard_aggro
1	wh3_strategic_profile_chaos_vengeful	wh3_strategic_component_chaos_vengeful_hard
2	wh3_strategic_profile_chaos_vengeful	wh3_strategic_component_chaos_vengeful_hard
3	wh3_strategic_profile_chaos_vengeful	wh3_strategic_component_chaos_vengeful_hard_aggro
1	wh3_strategic_profile_cowardly	wh3_strategic_component_cowardly_hard
2	wh3_strategic_profile_cowardly	wh3_strategic_component_cowardly_hard
3	wh3_strategic_profile_cowardly	wh3_strategic_component_cowardly_hard_aggro
1	wh3_strategic_profile_default	wh3_strategic_component_default_hard
2	wh3_strategic_profile_default	wh3_strategic_component_default_hard
3	wh3_strategic_profile_default	wh3_strategic_component_default_hard_aggro
1	wh3_strategic_profile_defensive	wh3_strategic_component_defensive_hard
2	wh3_strategic_profile_defensive	wh3_strategic_component_defensive_hard
3	wh3_strategic_profile_defensive	wh3_strategic_component_defensive_hard_aggro
1	wh3_strategic_profile_defensive_holds_grudges	wh3_strategic_component_defensive_holds_grudges_hard
2	wh3_strategic_profile_defensive_holds_grudges	wh3_strategic_component_defensive_holds_grudges_hard
3	wh3_strategic_profile_defensive_holds_grudges	wh3_strategic_component_defensive_holds_grudges_hard_aggro
1	wh3_strategic_profile_frenzied	wh3_strategic_component_frenzied
2	wh3_strategic_profile_frenzied	wh3_strategic_component_frenzied
3	wh3_strategic_profile_frenzied	wh3_strategic_component_frenzied_aggro
1	wh3_strategic_profile_nurgle	wh3_strategic_component_nurgle_hard
2	wh3_strategic_profile_nurgle	wh3_strategic_component_nurgle_hard
3	wh3_strategic_profile_nurgle	wh3_strategic_component_nurgle_hard_aggro
1	wh3_strategic_profile_opportunistic	wh3_strategic_component_opportunistic_hard
2	wh3_strategic_profile_opportunistic	wh3_strategic_component_opportunistic_hard
3	wh3_strategic_profile_opportunistic	wh3_strategic_component_opportunistic_hard_aggro
1	wh3_strategic_profile_rift_spawned	wh3_strategic_component_rift_spawned
2	wh3_strategic_profile_rift_spawned	wh3_strategic_component_rift_spawned
3	wh3_strategic_profile_rift_spawned	wh3_strategic_component_rift_spawned_aggro
1	wh3_strategic_profile_sentinel	wh3_strategic_component_sentinel_hard
2	wh3_strategic_profile_sentinel	wh3_strategic_component_sentinel_hard
3	wh3_strategic_profile_sentinel	wh3_strategic_component_sentinel_hard_aggro
1	wh3_strategic_profile_vampire	wh3_strategic_component_vampire_hard
2	wh3_strategic_profile_vampire	wh3_strategic_component_vampire_hard
3	wh3_strategic_profile_vampire	wh3_strategic_component_vampire_hard_aggro
1	wh3_strategic_profile_vengeful	wh3_strategic_component_vengeful_hard
2	wh3_strategic_profile_vengeful	wh3_strategic_component_vengeful_hard
3	wh3_strategic_profile_vengeful	wh3_strategic_component_vengeful_hard_aggro
