building_level	diplomatic_stance
#foreign_building_level_diplomatic_stance_requirements_tables;0;db/foreign_building_level_diplomatic_stance_requirements_tables/data__	
wh3_main_brt_allied_outpost_2	master
wh3_main_brt_allied_outpost_2	military_allies
wh3_main_brt_allied_outpost_3	master
wh3_main_brt_allied_outpost_3	military_allies
wh3_main_bst_allied_outpost_2	master
wh3_main_bst_allied_outpost_2	military_allies
wh3_main_bst_allied_outpost_3	master
wh3_main_bst_allied_outpost_3	military_allies
wh3_main_chs_allied_outpost_2	master
wh3_main_chs_allied_outpost_2	military_allies
wh3_main_chs_allied_outpost_3	master
wh3_main_chs_allied_outpost_3	military_allies
wh3_main_cst_allied_outpost_2	master
wh3_main_cst_allied_outpost_2	military_allies
wh3_main_cst_allied_outpost_3	master
wh3_main_cst_allied_outpost_3	military_allies
wh3_main_cth_allied_outpost_2	master
wh3_main_cth_allied_outpost_2	military_allies
wh3_main_cth_allied_outpost_3	master
wh3_main_cth_allied_outpost_3	military_allies
wh3_main_dae_allied_outpost_2	master
wh3_main_dae_allied_outpost_2	military_allies
wh3_main_dae_allied_outpost_3	master
wh3_main_dae_allied_outpost_3	military_allies
wh3_main_def_allied_outpost_2	master
wh3_main_def_allied_outpost_2	military_allies
wh3_main_def_allied_outpost_3	master
wh3_main_def_allied_outpost_3	military_allies
wh3_main_dwf_allied_outpost_2	master
wh3_main_dwf_allied_outpost_2	military_allies
wh3_main_dwf_allied_outpost_3	master
wh3_main_dwf_allied_outpost_3	military_allies
wh3_main_emp_allied_outpost_2	master
wh3_main_emp_allied_outpost_2	military_allies
wh3_main_emp_allied_outpost_3	master
wh3_main_emp_allied_outpost_3	military_allies
wh3_main_grn_allied_outpost_2	master
wh3_main_grn_allied_outpost_2	military_allies
wh3_main_grn_allied_outpost_3	master
wh3_main_grn_allied_outpost_3	military_allies
wh3_main_kho_allied_outpost_2	master
wh3_main_kho_allied_outpost_2	military_allies
wh3_main_kho_allied_outpost_3	master
wh3_main_kho_allied_outpost_3	military_allies
wh3_main_ksl_allied_outpost_2	master
wh3_main_ksl_allied_outpost_2	military_allies
wh3_main_ksl_allied_outpost_3	master
wh3_main_ksl_allied_outpost_3	military_allies
wh3_main_lzd_allied_outpost_2	master
wh3_main_lzd_allied_outpost_2	military_allies
wh3_main_lzd_allied_outpost_3	master
wh3_main_lzd_allied_outpost_3	military_allies
wh3_main_nor_allied_outpost_2	master
wh3_main_nor_allied_outpost_2	military_allies
wh3_main_nor_allied_outpost_3	master
wh3_main_nor_allied_outpost_3	military_allies
wh3_main_nur_allied_outpost_2	master
wh3_main_nur_allied_outpost_2	military_allies
wh3_main_nur_allied_outpost_3	master
wh3_main_nur_allied_outpost_3	military_allies
wh3_main_ogr_allied_outpost_2	master
wh3_main_ogr_allied_outpost_2	military_allies
wh3_main_ogr_allied_outpost_3	master
wh3_main_ogr_allied_outpost_3	military_allies
wh3_main_skv_allied_outpost_2	master
wh3_main_skv_allied_outpost_2	military_allies
wh3_main_skv_allied_outpost_3	master
wh3_main_skv_allied_outpost_3	military_allies
wh3_main_sla_allied_outpost_2	master
wh3_main_sla_allied_outpost_2	military_allies
wh3_main_sla_allied_outpost_3	master
wh3_main_sla_allied_outpost_3	military_allies
wh3_main_tmb_allied_outpost_2	master
wh3_main_tmb_allied_outpost_2	military_allies
wh3_main_tmb_allied_outpost_3	master
wh3_main_tmb_allied_outpost_3	military_allies
wh3_main_tze_allied_outpost_2	master
wh3_main_tze_allied_outpost_2	military_allies
wh3_main_tze_allied_outpost_3	master
wh3_main_tze_allied_outpost_3	military_allies
wh3_main_vmp_allied_outpost_2	master
wh3_main_vmp_allied_outpost_2	military_allies
wh3_main_vmp_allied_outpost_3	master
wh3_main_vmp_allied_outpost_3	military_allies
wh3_main_wef_allied_outpost_2	master
wh3_main_wef_allied_outpost_2	military_allies
wh3_main_wef_allied_outpost_3	master
wh3_main_wef_allied_outpost_3	military_allies
