key	sfx_event	vo_event	trigger_vo_in_prologue
#audio_campaign_post_battle_sounds_tables;0;db/audio_campaign_post_battle_sounds_tables/data__			
do_nothing		campaign_vo_cs_post_battle_settlement_do_nothing	false
enslave	ui_cam_hud_postbattle_enslave	campaign_vo_cs_post_battle_captives_enslave	true
establish_foreign_slot	ui_cam_hud_postbattle_settlement_options_faction_specific	campaign_vo_cs_post_battle_settlement_establish_foreign_slot	false
gift_to_faction	ui_cam_hud_postbattle_vassal	campaign_vo_cs_post_battle_settlement_gift_to_faction	false
grn_waaagh_occupy		campaign_vo_cs_grn_occupy_waaagh_target	false
hef_aislinn_colonise	ui_cam_hud_postbattle_occupy	campaign_vo_cs_post_battle_settlement_establish_colony	false
hef_aislinn_reinstate_lord	ui_cam_hud_postbattle_vassal	campaign_vo_cs_post_battle_settlement_reinstate_lord	false
hef_ulthuan_raze	ui_cam_hud_postbattle_raze	campaign_vo_cs_post_battle_settlement_raze_ulthuan	false
hef_ulthuan_sack	ui_cam_hud_postbattle_sack	campaign_vo_cs_post_battle_settlement_sack_ulthuan	false
kho_blood_for_the_blood_god	ui_cam_hud_postbattle_raze	campaign_vo_cs_post_battle_settlement_kho_blood_for_the_blood_god	false
kho_skulls_for_the_skull_throne	ui_cam_hud_postbattle_raze	campaign_vo_cs_post_battle_settlement_kho_skulls_for_the_skull_throne	false
kill	ui_cam_hud_postbattle_kill	campaign_vo_cs_post_battle_captives_execute	true
ksl_sacrifice	ui_cam_hud_postbattle_kill	campaign_vo_cs_post_battle_captives_ksl_sacrifice	false
liberate	ui_cam_hud_postbattle_liberate	campaign_vo_cs_post_battle_settlement_occupy	false
loot	ui_cam_hud_postbattle_loot_occupy	campaign_vo_cs_post_battle_settlement_loot	false
nor_allegiance_crow		campaign_vo_cs_post_battle_nor_crow	false
nor_allegiance_eagle		campaign_vo_cs_post_battle_nor_eagle	false
nor_allegiance_hound		campaign_vo_cs_post_battle_nor_hound	false
nor_allegiance_serpent		campaign_vo_cs_post_battle_nor_serpent	false
nor_allegiance_undivided		campaign_vo_cs_post_battle_nor_undivided	false
nor_sayl_raise_altar	ui_cam_hud_postbattle_raze	campaign_vo_cs_post_battle_nor_raise_altar	false
occupy	ui_cam_hud_postbattle_occupy	campaign_vo_cs_post_battle_settlement_occupy	false
occupy_factory	ui_cam_hud_postbattle_occupy	campaign_vo_cs_post_battle_settlement_occupy_factory	false
occupy_outpost	ui_cam_hud_postbattle_occupy	campaign_vo_cs_post_battle_settlement_occupy_outpost	false
occupy_tower	ui_cam_hud_postbattle_occupy	campaign_vo_cs_post_battle_settlement_occupy_tower	false
raze	ui_cam_hud_postbattle_raze	campaign_vo_cs_post_battle_settlement_raze	false
release	ui_cam_hud_postbattle_release	campaign_vo_cs_post_battle_captives_release	true
sack	ui_cam_hud_postbattle_sack	campaign_vo_cs_post_battle_settlement_sack	false
sla_dechala_pleasure_palace	ui_cam_hud_postbattle_occupy	campaign_vo_cs_post_battle_settlement_pleasure_palace	false
sla_dechala_thrall_camp	ui_cam_hud_postbattle_occupy	campaign_vo_cs_post_battle_settlement_thrall_camp	false
sla_dechala_war_pit	ui_cam_hud_postbattle_occupy	campaign_vo_cs_post_battle_settlement_war_pit	false
tze_parasitic	ui_cam_tze_foreignslots_parasitic	campaign_vo_cs_post_battle_settlement_tze_parasitic	false
tze_symbiotic	ui_cam_tze_foreignslots_symbiotic	campaign_vo_cs_post_battle_settlement_tze_symbiotic	false
vassal	ui_cam_hud_postbattle_vassal	campaign_vo_cs_post_battle_settlement_vassal_enlist	false
vassal_and_occupy	ui_cam_hud_postbattle_vassal_and_occupy_chaos	campaign_vo_cs_post_battle_settlement_vassal_enlist	false
