key	decal	vfx_central	vfx_ring	spline_animation_speed	spline_tile_count	composite_scene	is_targetting_per_entity	vfx_ring_segment_length	use_model_time	custom_spline	spawn_no_proxy	spline_col_hex	spline_oor_col_hex
#area_of_effect_displays_tables;10;db/area_of_effect_displays_tables/data__													
wh2_dcl15_abilities_invocation_of_ending_windup		wh_main_targeting_pre_explosion_ui_central	wh_main_generic_ui_segment_short	50.0000	24	composite_scene/spells_and_abilities/wh2_dlc15_abilities_invocation_of_ending_start.csc	false	2	false		false	FFFFFF	FFFFFF
wh2_dcl15_abilities_summon_the_sentinels		wh_main_targeting_pre_spawn_ui_central		0.0000	1	composite_scene\spells_and_abilities\wh2_dlc15_abilities_summon_the_sentinels.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc09_abilities_the_liber_mortis		wh2_dlc09_abilities_liber_mortis		50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh2_dlc09_army_abilities_rictus_clanstone			wh2_dlc09_army_abilities_rictus_clanstone_segment	0.0000	64	composite_scene\spells_and_abilities\wh2_dlc09_army_abilities_rictus_clanstone.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc09_army_abilities_tomb_swarm				0.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc09_ushabti_summon		wh_main_targeting_pre_aa_spawn_ui_central		0.0000	1	composite_scene\spells_and_abilities\wh2_dlc09_army_abilities_ushabti_summon.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc09_usirians_incantation_of_vengeance				0.0000	1	composite_scene\spells_and_abilities\wh2_dlc09_nehekhara_vengeance.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc10_abilities_star_of_avelorn			wh2_dlc10_avelorn_ui_segment_buff	0.0000	64	composite_scene/spells_and_abilities/star_of_avelorn.csc	false	5	false		false	FFFFFF	FFFFFF
wh2_dlc10_ancestor_summon		wh_main_targeting_pre_spawn_ui_central		0.0000	1	composite_scene\spells_and_abilities\wh2_dlc10_ancestor_summon.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc10_character_abilities_entangle			wh_main_generic_ui_segment_short	0.0000	64	composite_scene/spells_and_abilities/entangle.csc	false	5	false		false	FFFFFF	FFFFFF
wh2_dlc10_lord_abilities_gaze_of_khaine			wh_main_generic_ui_segment_buff	50.0000	64	composite_scene\spells_and_abilities\gaze_of_kaine.csc	false	5	false		false	FFFFFF	FFFFFF
wh2_dlc11_abilities_norse_roar_launch				0.0000	1	composite_scene\spells_and_abilities\wh2_dlc11_abilities_norse_roar_launch.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc11_abilities_zhufbar_launch				0.0000	1	composite_scene\spells_and_abilities\wh2_dlc11_abilities_zhufbar_42_pounders_launch.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc11_spell_deep_fog_of_the_damned			wh_main_generic_ui_segment_buff	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh2_dlc11_spell_deep_fog_of_the_damned_upgraded			wh_main_generic_ui_segment_buff	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh2_dlc11_spell_denizens_of_the_deep				0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc11_spell_denizens_of_the_deep_start				0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc12_abilities_supreme_shield_of_the_old_ones		wh2_dlc12_abilities_supreme_shield		50.0000	64		false	5	true		false	FFFFFF	FFFFFF
wh2_dlc12_deliverance_of_itza_area				0.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc12_jungle_swarm_aoe		wh2_dlc12_abilities_jungle_swarm_aoe	wh2_dlc12_abilities_jungle_swarm_segment	0.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc13_abilities_beasts_of_itzl				0.0000	1	composite_scene\spells_and_abilities\wh2_dlc13_beasts_of_itzl.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc13_final_battle_abilities_shield_of_the_old_ones		wh2_dlc13_final_battle_slaan_shield		50.0000	64		false	5	true		false	FFFFFF	FFFFFF
wh2_dlc13_weapon_abilities_kill_shot		wh2_dlc3_ability_kill_shot_target_icon		0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
