type	sort_order	defender_funds_ratio	max_teamsize	timeout_winner_is_attacker	attacker_all_victory_conditions_must_be_met	defender_all_victory_conditions_must_be_met	campaign_battle_type
#battle_types_tables;0;db/battle_types_tables/data__							
Tutorial	-1	1.0000	4	false	false	false	land_normal
ambush	7	1.0000	1	false	false	false	land_ambush
campaign_battle	-1	1.0000	4	false	false	false	land_normal
capture_point	-1	1.0000	2	false	false	false	land_normal
classic	0	1.0000	4	false	false	false	land_normal
coastal_battle	-1	0.9000	2	false	false	false	coastal_battle
conquest	-1	1.0000	4	false	false	false	conquest
domination	4	1.0000	4	false	false	false	domination
filter_all	-2	1.0000	4	false	false	false	land_normal
free_for_all	6	1.0000	4	false	false	false	land_normal
historic	-1	1.0000	4	false	false	false	land_normal
limes	-1	1.0000	4	false	false	false	land_normal
napoleon_historic	-1	1.0000	4	false	false	false	land_normal
naval	-1	1.0000	2	false	false	false	naval_normal
naval_siege	-1	0.9000	2	false	false	false	naval_blockade
river_crossing_battle	8	1.0000	2	false	false	false	land_bridge
siege	2	0.7000	4	false	false	false	settlement_standard
survival	3	1.0000	4	true	true	true	survival
trial	-1	1.0000	4	true	true	true	trial
underground_intercept	9	1.0000	1	false	false	false	underground_intercept
unfortified_port	-1	0.9000	2	false	false	false	naval_blockade
unfortified_settlement	1	0.9000	4	false	false	false	settlement_unfortified
