army_name	battle_name
#battle_armies_junctions_tables;0;db/battle_armies_junctions_tables/data__	
wh3_main_qb_skrag_cauldron_of_the_great_maw_caverns_of_mourn_attacker_01	qb_wh2_warp_shard_armour
wh3_main_qb_skrag_cauldron_of_the_great_maw_caverns_of_mourn_attacker_02	qb_wh2_warp_shard_armour
wh3_main_qb_skrag_cauldron_of_the_great_maw_caverns_of_mourn_player	qb_wh2_warp_shard_armour
wh3_dlc20_chs_aob_survival_boss_1	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_aob_survival_boss_2	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_aob_survival_boss_3_1	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_aob_survival_boss_3_2	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_aob_survival_boss_3_3	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_valkia_survival_01_1	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_valkia_survival_01_2	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_valkia_survival_02_1	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_valkia_survival_02_2	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_valkia_survival_defenders	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc23_final_battle_dae_campaign	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dae_kho	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dae_nur	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dae_sla	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dae_tze	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dwf_belegar_army	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dwf_boss_backup	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dwf_campaign	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dwf_start_army	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dwf_thorek_army	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dwf_thorgrim_army	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dwf_vanguard_01	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dwf_vanguard_02	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_dwf_vanguard_03	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_final_boss_dwf_belegar	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_final_boss_dwf_thorek	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_final_boss_dwf_thorgrim	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_final_boss_ogr_campaign	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_final_battle_ogr_campaign	qb_wh3_dlc23_chd_final_battle_surv
wh3_dlc23_survival_grn_00	wh3_dlc23_survival_greentide
wh3_dlc23_survival_grn_01	wh3_dlc23_survival_greentide
wh3_dlc23_survival_grn_02	wh3_dlc23_survival_greentide
wh3_dlc23_survival_grn_03	wh3_dlc23_survival_greentide
wh3_dlc23_survival_grn_04	wh3_dlc23_survival_greentide
wh3_dlc23_survival_grn_05	wh3_dlc23_survival_greentide
wh3_dlc23_survival_grn_06	wh3_dlc23_survival_greentide
wh3_dlc23_survival_grn_07	wh3_dlc23_survival_greentide
wh3_dlc23_survival_grn_08	wh3_dlc23_survival_greentide
wh3_dlc23_survival_grn_09	wh3_dlc23_survival_greentide
wh3_dlc23_survival_grn_10	wh3_dlc23_survival_greentide
wh3_dlc23_survival_grn_lords	wh3_dlc23_survival_greentide
wh3_dlc23_survival_lzd_00	wh3_dlc23_survival_lizardtide
wh3_dlc23_survival_lzd_01	wh3_dlc23_survival_lizardtide
wh3_dlc23_survival_lzd_02	wh3_dlc23_survival_lizardtide
wh3_dlc23_survival_lzd_03	wh3_dlc23_survival_lizardtide
wh3_dlc23_survival_lzd_04	wh3_dlc23_survival_lizardtide
wh3_dlc23_survival_lzd_05	wh3_dlc23_survival_lizardtide
wh3_dlc23_survival_lzd_06	wh3_dlc23_survival_lizardtide
wh3_dlc23_survival_lzd_07	wh3_dlc23_survival_lizardtide
wh3_dlc23_survival_lzd_08	wh3_dlc23_survival_lizardtide
wh3_dlc23_survival_lzd_09	wh3_dlc23_survival_lizardtide
wh3_dlc23_survival_lzd_10	wh3_dlc23_survival_lizardtide
wh3_dlc23_survival_lzd_lords	wh3_dlc23_survival_lizardtide
wh3_dlc23_survival_vmp_00	wh3_dlc23_survival_undeadtide
wh3_dlc23_survival_vmp_01	wh3_dlc23_survival_undeadtide
wh3_dlc23_survival_vmp_02	wh3_dlc23_survival_undeadtide
wh3_dlc23_survival_vmp_03	wh3_dlc23_survival_undeadtide
wh3_dlc23_survival_vmp_04	wh3_dlc23_survival_undeadtide
wh3_dlc23_survival_vmp_05	wh3_dlc23_survival_undeadtide
wh3_dlc23_survival_vmp_06	wh3_dlc23_survival_undeadtide
wh3_dlc23_survival_vmp_07	wh3_dlc23_survival_undeadtide
wh3_dlc23_survival_vmp_08	wh3_dlc23_survival_undeadtide
wh3_dlc23_survival_vmp_09	wh3_dlc23_survival_undeadtide
wh3_dlc23_survival_vmp_10	wh3_dlc23_survival_undeadtide
wh3_dlc23_survival_vmp_lords	wh3_dlc23_survival_undeadtide
