battle_name	battle_duration	battle_environment	battle_script	battle_type	is_player_attacker	bmd_layer_type	use_large_armies	battlefield_folder	teleport_cost	catchment_area	campaign_pre_battle_intro_movie	intro_movie	outro_movie_lose	outro_movie_win	screenshot_path	battle_environment_audio	culture	can_retreat	can_retreat_multiplayer	can_autoresolve_in_campaign	difficulty	campaign_loot_multiplier
#battle_set_pieces_tables;0;db/battle_set_pieces_tables/data__																						
wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5	60	weather/battle/wh_day_clear_02.environment_group	script/battle/quest_battles/tretch_craventail/lucky_skullhelm/battle_script.lua	classic	true	quest_battle_2	true	qb_dlc06_squiggly_beast	500						UI/Frontend UI/battle_map_images/mushroom_cave.png		*	true	true	false	NORMAL	1.0000
wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash	12	weather/battle/wh_day_sunset_01.environment_group	script\battle\quest_battles\arkhan_the_black\staff_of_nagash\battle_script.lua	classic	false	catchment_01	true	qb_wh2_dlc09_staff_of_nagash	500	catchment_01					UI/Frontend UI/battle_map_images/wh2_dlc09_tmb_black_tower_of_arkhan_land.png		*	true	true	false	NORMAL	1.0000
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4_mortuary_of_tzulaqua	60	weather/battle/wh_night_clear_03.environment_group	script\battle\quest_battles\arkhan_the_black\tomb_blade_of_arkhan\battle_script.lua	classic	false	quest_battle_2	true	qb_wh2_mortuary_of_tzulaqua	500						UI/Frontend UI/battle_map_images/mortuary_of_tzulaqua.png		*	true	true	false	NORMAL	1.0000
wh2_dlc09_qb_tmb_final_battle_arkhan	60		script/battle\quest_battles\dlc09_final_battle\battle_script_arkhan.lua	classic	false		true	qb_wh2_black_pyramid	500	catchment_03					UI/Frontend UI/battle_map_images/wh2_dlc09_tmb_black_pyramid.png		*	true	true	false	NORMAL	1.0000
wh2_dlc09_qb_tmb_final_battle_khalida	60		script/battle\quest_battles\dlc09_final_battle\battle_script_khalida.lua	classic	true		true	qb_wh2_black_pyramid	500	catchment_02					UI/Frontend UI/battle_map_images/wh2_dlc09_tmb_black_pyramid.png		*	true	true	false	NORMAL	1.0000
wh2_dlc09_qb_tmb_final_battle_khatep	60		script/battle\quest_battles\dlc09_final_battle\battle_script_khatep.lua	classic	true		true	qb_wh2_black_pyramid	500	catchment_02					UI/Frontend UI/battle_map_images/wh2_dlc09_tmb_black_pyramid.png		*	true	true	false	NORMAL	1.0000
wh2_dlc09_qb_tmb_final_battle_settra	60		script/battle\quest_battles\dlc09_final_battle\battle_script.lua	classic	true		true	qb_wh2_black_pyramid	500	catchment_02					UI/Frontend UI/battle_map_images/wh2_dlc09_tmb_black_pyramid.png		*	true	true	false	NORMAL	1.0000
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river	60		script/battle\quest_battles\khalida\venom_staff\battle_script.lua	river_crossing_battle	false	quest_battle_1	true	qb_dlc09_ash_river	500						UI/Frontend UI/battle_map_images/wh2_dlc09_tmb_ash_river.png		*	true	true	false	NORMAL	1.0000
wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok	60	weather/battle/wh_night_clear_02.environment_group	script/battle\quest_battles\khatep\pits_of_zardok\battle_script.lua	classic	true	quest_battle_2	true	qb_wh2_pits_of_zardok	500						UI/Frontend UI/battle_map_images/wh2_dlc09_tmb_pits_of_zardok.png		*	true	true	false	NORMAL	1.0000
