culture	populace_happiness	effect_bundle
#campaign_public_order_populace_effects_tables;0;db/campaign_public_order_populace_effects_tables/data__		
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content_def
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh2_populace_happiness_content_hef
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh2_main_rogue	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh3_dlc23_chd_chaos_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_chd_bundle_populace_happiness_content
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh_dlc03_bst_beastmen	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	wh3_main_bundle_populace_happiness_content
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy_def
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh2_populace_happiness_happy_hef
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh2_main_rogue	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh3_dlc23_chd_chaos_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_chd_bundle_populace_happiness_happy
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh_dlc03_bst_beastmen	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	wh3_main_bundle_populace_happiness_happy
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh2_populace_happiness_indifferent_hef
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh2_main_rogue	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh3_dlc23_chd_chaos_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_chd_bundle_populace_happiness_indifferent
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh_dlc03_bst_beastmen	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	wh3_main_bundle_populace_happiness_indifferent
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
