faction	unit
#frontend_faction_top_units_tables;0;db/frontend_faction_top_units_tables/data__	
wh2_dlc16_wef_drycha	wh_dlc05_wef_forest_dragon_0
wh2_dlc16_wef_drycha	wh_dlc05_wef_mon_treekin_0
wh2_dlc16_wef_drycha	wh_dlc05_wef_mon_treeman_0
wh2_dlc16_wef_sisters_of_twilight	wh_dlc05_wef_cav_sisters_thorn_0
wh2_dlc16_wef_sisters_of_twilight	wh_dlc05_wef_inf_waywatchers_0
wh2_dlc16_wef_sisters_of_twilight	wh_dlc05_wef_inf_wildwood_rangers_0
wh2_dlc17_bst_malagor	wh_dlc03_bst_inf_chaos_warhounds_1
wh2_dlc17_bst_malagor	wh_dlc03_bst_inf_ungor_spearmen_1
wh2_dlc17_bst_malagor	wh_dlc03_bst_mon_giant_0
wh2_dlc17_bst_taurox	wh2_dlc17_bst_mon_ghorgon_0
wh2_dlc17_bst_taurox	wh_dlc03_bst_inf_bestigor_herd_0
wh2_dlc17_bst_taurox	wh_dlc03_bst_inf_minotaurs_2
wh2_dlc17_dwf_thorek_ironbrow	wh_main_dwf_art_grudge_thrower
wh2_dlc17_dwf_thorek_ironbrow	wh_main_dwf_inf_ironbreakers
wh2_dlc17_dwf_thorek_ironbrow	wh_main_dwf_inf_longbeards_1
wh3_main_dwf_the_ancestral_throng	wh_main_dwf_art_organ_gun
wh3_main_dwf_the_ancestral_throng	wh_main_dwf_inf_ironbreakers
wh3_main_dwf_the_ancestral_throng	wh_main_dwf_inf_thunderers_0
wh3_main_emp_cult_of_sigmar	wh_main_emp_cav_demigryph_knights_0
wh3_main_emp_cult_of_sigmar	wh_main_emp_veh_luminark_of_hysh_0
wh3_main_emp_cult_of_sigmar	wh_main_emp_veh_steam_tank
wh3_main_vmp_caravan_of_blue_roses	wh_main_vmp_cav_hexwraiths
wh3_main_vmp_caravan_of_blue_roses	wh_main_vmp_mon_terrorgheist
wh3_main_vmp_caravan_of_blue_roses	wh_main_vmp_mon_varghulf
wh_dlc03_bst_beastmen	wh_dlc03_bst_inf_cygor_0
wh_dlc03_bst_beastmen	wh_dlc03_bst_inf_minotaurs_0
wh_dlc03_bst_beastmen	wh_dlc03_bst_inf_razorgor_herd_0
wh_dlc05_bst_morghur_herd	wh_dlc03_bst_inf_chaos_warhounds_1
wh_dlc05_bst_morghur_herd	wh_dlc03_bst_mon_chaos_spawn_0
wh_dlc05_bst_morghur_herd	wh_dlc05_bst_mon_harpies_0
wh_dlc05_wef_argwylon	wh_dlc05_wef_forest_dragon_0
wh_dlc05_wef_argwylon	wh_dlc05_wef_mon_treekin_0
wh_dlc05_wef_argwylon	wh_dlc05_wef_mon_treeman_0
wh_dlc05_wef_wood_elves	wh_dlc05_wef_cav_sisters_thorn_0
wh_dlc05_wef_wood_elves	wh_dlc05_wef_inf_waywatchers_0
wh_dlc05_wef_wood_elves	wh_dlc05_wef_inf_wildwood_rangers_0
wh_main_brt_bordeleaux	wh_dlc07_brt_cav_royal_hippogryph_knights_0
wh_main_brt_bordeleaux	wh_dlc07_brt_cav_royal_pegasus_knights_0
wh_main_brt_bordeleaux	wh_main_brt_cav_grail_knights
wh_main_brt_bretonnia	wh_dlc07_brt_cav_royal_hippogryph_knights_0
wh_main_brt_bretonnia	wh_dlc07_brt_cav_royal_pegasus_knights_0
wh_main_brt_bretonnia	wh_main_brt_cav_grail_knights
