bonus_value_id	effect	plague_component
#effect_bonus_value_plague_component_junctions_tables;0;db/effect_bonus_value_plague_component_junctions_tables/data__		
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_battle_1
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_battle_2
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_battle_3
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_battle_4
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_battle_5
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_battle_6
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_battle_7
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_force_1
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_force_2
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_force_3
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_force_4
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_force_5
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_force_5_festus
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_force_6
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_mutation_duration_0
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_mutation_duration_1
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_mutation_duration_2
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_mutation_duration_3
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_mutation_immunity_0
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_mutation_immunity_1
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_mutation_immunity_2
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_mutation_immunity_3
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_mutation_spread_0
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_mutation_spread_1
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_mutation_spread_2
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_mutation_spread_3
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_settlement_1
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_settlement_2
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_settlement_3
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_settlement_3_festus
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_settlement_4
availability	wh3_dlc25_effect_unlock_plague_components	wh3_dlc25_nur_settlement_5
availability	wh3_main_effect_unlock_plague_components_nur_10	wh3_nur_plague_component_10
availability	wh3_main_effect_unlock_plague_components_nur_11	wh3_nur_plague_component_11
availability	wh3_main_effect_unlock_plague_components_nur_12	wh3_nur_plague_component_12
availability	wh3_main_effect_unlock_plague_components_nur_13	wh3_nur_plague_component_13
availability	wh3_main_effect_unlock_plague_components_nur_14	wh3_nur_plague_component_14
availability	wh3_main_effect_unlock_plague_components_nur_15	wh3_nur_plague_component_15
availability	wh3_main_effect_unlock_plague_components_nur_16	wh3_nur_plague_component_16
availability	wh3_main_effect_unlock_plague_components_nur_17	wh3_nur_plague_component_17
availability	wh3_main_effect_unlock_plague_components_nur_18	wh3_nur_plague_component_18
availability	wh3_main_effect_unlock_plague_components_nur_19	wh3_nur_plague_component_19
availability	wh3_main_effect_unlock_plague_components_nur_1	wh3_nur_plague_component_1
availability	wh3_main_effect_unlock_plague_components_nur_20	wh3_nur_plague_component_20
availability	wh3_main_effect_unlock_plague_components_nur_2	wh3_nur_plague_component_2
availability	wh3_main_effect_unlock_plague_components_nur_3	wh3_nur_plague_component_3
availability	wh3_main_effect_unlock_plague_components_nur_4	wh3_nur_plague_component_4
availability	wh3_main_effect_unlock_plague_components_nur_5	wh3_nur_plague_component_5
availability	wh3_main_effect_unlock_plague_components_nur_6	wh3_nur_plague_component_6
availability	wh3_main_effect_unlock_plague_components_nur_7	wh3_nur_plague_component_7
availability	wh3_main_effect_unlock_plague_components_nur_8	wh3_nur_plague_component_8
availability	wh3_main_effect_unlock_plague_components_nur_9	wh3_nur_plague_component_9
