override_faction	override_subculture	source_resource	target_resource
#resource_ui_overrides_tables;0;db/resource_ui_overrides_tables/data__			
	wh2_dlc09_sc_tmb_tomb_kings	res_bile_trolls	
	wh2_dlc11_sc_cst_vampire_coast	res_bile_trolls	
	wh2_main_rogue	res_bile_trolls	
	wh2_main_rogue_chaos	res_bile_trolls	
	wh2_main_sc_def_dark_elves	res_bile_trolls	
	wh2_main_sc_hef_high_elves	res_bile_trolls	
	wh2_main_sc_lzd_lizardmen	res_bile_trolls	
	wh2_main_sc_skv_skaven	res_bile_trolls	
	wh3_dlc23_sc_chd_chaos_dwarfs	res_bile_trolls	
wh3_dlc27_nor_sayl		res_bile_trolls	
	wh3_main_pro_sc_kho_khorne	res_bile_trolls	
	wh3_main_pro_sc_ksl_kislev	res_bile_trolls	
	wh3_main_pro_sc_tze_tzeentch	res_bile_trolls	
	wh3_main_sc_cth_cathay	res_bile_trolls	
	wh3_main_sc_dae_daemons	res_bile_trolls	
	wh3_main_sc_kho_khorne	res_bile_trolls	
	wh3_main_sc_ksl_kislev	res_bile_trolls	
	wh3_main_sc_nur_nurgle	res_bile_trolls	
	wh3_main_sc_ogr_ogre_kingdoms	res_bile_trolls	
	wh3_main_sc_sla_slaanesh	res_bile_trolls	
	wh3_main_sc_tze_tzeentch	res_bile_trolls	
	wh_dlc03_sc_bst_beastmen	res_bile_trolls	
	wh_dlc05_sc_wef_wood_elves	res_bile_trolls	
wh_dlc08_nor_norsca		res_bile_trolls	
	wh_main_sc_brt_bretonnia	res_bile_trolls	
	wh_main_sc_chs_chaos	res_bile_trolls	
	wh_main_sc_dwf_dwarfs	res_bile_trolls	
	wh_main_sc_emp_empire	res_bile_trolls	
	wh_main_sc_grn_greenskins	res_bile_trolls	
	wh_main_sc_grn_savage_orcs	res_bile_trolls	
	wh_main_sc_teb_teb	res_bile_trolls	
	wh_main_sc_vmp_vampire_counts	res_bile_trolls	
	wh2_dlc09_sc_tmb_tomb_kings	res_chaos_trolls	
	wh2_dlc11_sc_cst_vampire_coast	res_chaos_trolls	
	wh2_main_rogue	res_chaos_trolls	
	wh2_main_rogue_chaos	res_chaos_trolls	
	wh2_main_sc_def_dark_elves	res_chaos_trolls	
	wh2_main_sc_hef_high_elves	res_chaos_trolls	
	wh2_main_sc_lzd_lizardmen	res_chaos_trolls	
	wh2_main_sc_skv_skaven	res_chaos_trolls	
	wh3_dlc23_sc_chd_chaos_dwarfs	res_chaos_trolls	
wh3_dlc27_nor_sayl		res_chaos_trolls	
	wh3_main_pro_sc_kho_khorne	res_chaos_trolls	
	wh3_main_pro_sc_ksl_kislev	res_chaos_trolls	
	wh3_main_pro_sc_tze_tzeentch	res_chaos_trolls	
	wh3_main_sc_cth_cathay	res_chaos_trolls	
	wh3_main_sc_dae_daemons	res_chaos_trolls	
	wh3_main_sc_kho_khorne	res_chaos_trolls	
	wh3_main_sc_ksl_kislev	res_chaos_trolls	
	wh3_main_sc_nur_nurgle	res_chaos_trolls	
	wh3_main_sc_ogr_ogre_kingdoms	res_chaos_trolls	
	wh3_main_sc_sla_slaanesh	res_chaos_trolls	
	wh3_main_sc_tze_tzeentch	res_chaos_trolls	
	wh_dlc03_sc_bst_beastmen	res_chaos_trolls	
	wh_dlc05_sc_wef_wood_elves	res_chaos_trolls	
wh_dlc08_nor_norsca		res_chaos_trolls	
	wh_main_sc_brt_bretonnia	res_chaos_trolls	
	wh_main_sc_chs_chaos	res_chaos_trolls	
	wh_main_sc_dwf_dwarfs	res_chaos_trolls	
	wh_main_sc_emp_empire	res_chaos_trolls	
	wh_main_sc_grn_greenskins	res_chaos_trolls	
	wh_main_sc_grn_savage_orcs	res_chaos_trolls	
	wh_main_sc_teb_teb	res_chaos_trolls	
	wh_main_sc_vmp_vampire_counts	res_chaos_trolls	
	wh2_dlc09_sc_tmb_tomb_kings	res_gold	res_gold_idols
	wh2_main_sc_lzd_lizardmen	res_gold	res_gold_idols
	wh_main_sc_dwf_dwarfs	res_gold	res_gold_idols
	wh2_dlc09_sc_tmb_tomb_kings	res_river_trolls	
	wh2_dlc11_sc_cst_vampire_coast	res_river_trolls	
	wh2_main_rogue	res_river_trolls	
	wh2_main_rogue_chaos	res_river_trolls	
	wh2_main_sc_def_dark_elves	res_river_trolls	
	wh2_main_sc_hef_high_elves	res_river_trolls	
	wh2_main_sc_lzd_lizardmen	res_river_trolls	
	wh2_main_sc_skv_skaven	res_river_trolls	
	wh3_dlc23_sc_chd_chaos_dwarfs	res_river_trolls	
wh3_dlc27_nor_sayl		res_river_trolls	
	wh3_main_pro_sc_kho_khorne	res_river_trolls	
	wh3_main_pro_sc_ksl_kislev	res_river_trolls	
	wh3_main_pro_sc_tze_tzeentch	res_river_trolls	
	wh3_main_sc_cth_cathay	res_river_trolls	
	wh3_main_sc_dae_daemons	res_river_trolls	
	wh3_main_sc_kho_khorne	res_river_trolls	
	wh3_main_sc_ksl_kislev	res_river_trolls	
	wh3_main_sc_nur_nurgle	res_river_trolls	
	wh3_main_sc_ogr_ogre_kingdoms	res_river_trolls	
	wh3_main_sc_sla_slaanesh	res_river_trolls	
	wh3_main_sc_tze_tzeentch	res_river_trolls	
	wh_dlc03_sc_bst_beastmen	res_river_trolls	
	wh_dlc05_sc_wef_wood_elves	res_river_trolls	
wh_dlc08_nor_norsca		res_river_trolls	
	wh_main_sc_brt_bretonnia	res_river_trolls	
	wh_main_sc_chs_chaos	res_river_trolls	
	wh_main_sc_dwf_dwarfs	res_river_trolls	
	wh_main_sc_emp_empire	res_river_trolls	
	wh_main_sc_grn_greenskins	res_river_trolls	
	wh_main_sc_grn_savage_orcs	res_river_trolls	
	wh_main_sc_teb_teb	res_river_trolls	
	wh_main_sc_vmp_vampire_counts	res_river_trolls	
	wh2_dlc09_sc_tmb_tomb_kings	res_savage	
	wh2_dlc11_sc_cst_vampire_coast	res_savage	
	wh2_main_rogue	res_savage	
	wh2_main_rogue_chaos	res_savage	
	wh2_main_sc_def_dark_elves	res_savage	
	wh2_main_sc_hef_high_elves	res_savage	
	wh2_main_sc_lzd_lizardmen	res_savage	
