campaign	resource
#resources_to_campaign_junctions_tables;0;db/resources_to_campaign_junctions_tables/data__	
wh3_main_chaos	res_animals
wh3_main_combi	res_animals
wh3_main_chaos	res_dyes
wh3_main_combi	res_dyes
wh3_main_chaos	res_gems
wh3_main_combi	res_gems
wh3_main_chaos	res_gold_idols
wh3_main_combi	res_gold_idols
wh3_main_chaos	res_ivory
wh3_main_combi	res_ivory
wh3_main_chaos	res_medicine
wh3_main_combi	res_medicine
wh3_main_chaos	res_obsidian
wh3_main_combi	res_obsidian
wh3_main_chaos	res_rom_furs
wh3_main_combi	res_rom_furs
wh3_main_chaos	res_rom_glass
wh3_main_combi	res_rom_glass
wh3_main_chaos	res_rom_iron
wh3_main_combi	res_rom_iron
wh3_main_chaos	res_rom_lead
wh3_main_combi	res_rom_lead
wh3_main_chaos	res_rom_marble
wh3_main_combi	res_rom_marble
wh3_main_chaos	res_rom_oil
wh3_main_combi	res_rom_oil
wh3_main_chaos	res_rom_textiles
wh3_main_combi	res_rom_textiles
wh3_main_chaos	res_rom_timber
wh3_main_combi	res_rom_timber
wh3_main_chaos	res_rom_wine
wh3_main_combi	res_rom_wine
wh3_main_chaos	res_spices
wh3_main_combi	res_spices
wh3_main_chaos	res_trinkets
wh3_main_combi	res_trinkets
