pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
#resource_cost_pooled_resource_junctions_tables;1;db/resource_cost_pooled_resource_junctions_tables/data__				
wh3_dlc26_grn_yooreeka_da_plan_tactic_equipped	da_plan_tactic_equip	-1	absolute	default
grn_salvage_tech	greenskin_technology	-50	absolute	default
wh3_main_ksl_support_tracker_ice_court_boons_gained	ice_court_support	-50	absolute	default
wh3_main_ksl_support_boon_ice_court_other	kislev_boon_ice_court_2	-2	absolute	default
wh3_main_ksl_support_boon_ice_court_other	kislev_boon_ice_court_3	-3	absolute	default
wh3_main_ksl_support_boon_orthodoxy_other	kislev_boon_orthodoxy_2	-2	absolute	default
wh3_main_ksl_support_boon_orthodoxy_other	kislev_boon_orthodoxy_3	-3	absolute	default
nor_progress_crow_events	nor_dilemma_crow	12	absolute	default
nor_progress_eagle_events	nor_dilemma_crow	-4	absolute	default
nor_progress_hound_events	nor_dilemma_crow	-4	absolute	default
nor_progress_serpent_events	nor_dilemma_crow	-4	absolute	default
nor_progress_crow_events	nor_dilemma_eagle	-4	absolute	default
nor_progress_eagle_events	nor_dilemma_eagle	12	absolute	default
nor_progress_hound_events	nor_dilemma_eagle	-4	absolute	default
nor_progress_serpent_events	nor_dilemma_eagle	-4	absolute	default
nor_progress_crow_events	nor_dilemma_hound	-4	absolute	default
nor_progress_eagle_events	nor_dilemma_hound	-4	absolute	default
nor_progress_hound_events	nor_dilemma_hound	12	absolute	default
nor_progress_serpent_events	nor_dilemma_hound	-4	absolute	default
nor_progress_crow_events	nor_dilemma_serpent	-4	absolute	default
nor_progress_eagle_events	nor_dilemma_serpent	-4	absolute	default
nor_progress_hound_events	nor_dilemma_serpent	-4	absolute	default
nor_progress_serpent_events	nor_dilemma_serpent	12	absolute	default
nor_progress_crow_razing	nor_raze_crow	6	absolute	default
nor_progress_eagle_razing	nor_raze_crow	-2	absolute	default
nor_progress_hound_razing	nor_raze_crow	-2	absolute	default
nor_progress_serpent_razing	nor_raze_crow	-2	absolute	default
nor_progress_crow_razing	nor_raze_eagle	-2	absolute	default
nor_progress_eagle_razing	nor_raze_eagle	6	absolute	default
nor_progress_hound_razing	nor_raze_eagle	-2	absolute	default
nor_progress_serpent_razing	nor_raze_eagle	-2	absolute	default
nor_progress_crow_razing	nor_raze_hound	-2	absolute	default
nor_progress_eagle_razing	nor_raze_hound	-2	absolute	default
nor_progress_hound_razing	nor_raze_hound	6	absolute	default
nor_progress_serpent_razing	nor_raze_hound	-2	absolute	default
nor_progress_crow_razing	nor_raze_serpent	-2	absolute	default
nor_progress_eagle_razing	nor_raze_serpent	-2	absolute	default
nor_progress_hound_razing	nor_raze_serpent	-2	absolute	default
nor_progress_serpent_razing	nor_raze_serpent	6	absolute	default
