key	group_movement	switch	group_collision	group_impact	group_melee	priority
#audio_armour_types_tables;4;db/audio_armour_types_tables/data__						
body		body	wh_grp_foley_collision_generic	wh_grp_foley_impact_generic		20
bone	wh_grp_foley_movement_bone	bone	wh_grp_foley_collision_generic	wh_grp_foley_impact_generic		10
chainmail	wh_grp_foley_movement_segmented	chainmail	wh_grp_foley_collision_metal	wh_grp_foley_impact_metal		40
cloth		cloth	wh_grp_foley_collision_generic	wh_grp_foley_impact_generic		20
heavy_metal	wh_grp_foley_movement_segmented	heavy_metal	wh_grp_foley_collision_metal	wh_grp_foley_impact_metal		50
heavy_plate	wh_grp_foley_movement_segmented	heavy_plate	wh_grp_foley_collision_metal	wh_grp_foley_impact_metal		50
leather	wh_grp_foley_movement_leather	leather	wh_grp_foley_collision_generic	wh_grp_foley_impact_generic		30
plate	wh_grp_foley_movement_segmented	plate	wh_grp_foley_collision_metal	wh_grp_foley_impact_metal		50
stone		stone	wh_grp_foley_collision_metal	wh_grp_foley_impact_metal		10
war_machine_metal		heavy_metal	wh_grp_foley_collision_war_machine	wh_grp_foley_impact_metal		50
