key	supercluster	image_path	sort_order
#ui_graph_node_clusters_tables;0;db/ui_graph_node_clusters_tables/data__			
black_pyramid_archers	black_pyramid_missiles	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_archer.png	1
black_pyramid_arkhan	black_pyramid_mortarchs	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_mortarch_arkhan.png	1
black_pyramid_battles	black_pyramid_campaign	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_battles.png	9
black_pyramid_beasts	black_pyramid_beasts_monsters	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_beast.png	1
black_pyramid_characters	black_pyramid_campaign	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_characters.png	1
black_pyramid_chariots	black_pyramid_cavalry	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_chariot.png	2
black_pyramid_construct_monsters	black_pyramid_beasts_monsters	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_construct_monster.png	3
black_pyramid_dead_rise	black_pyramid_campaign	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_dead_rise.png	8
black_pyramid_deck_droppers	black_pyramid_missiles	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_deck_dropper.png	3
black_pyramid_dieter	black_pyramid_mortarchs	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_mortarch_dieter.png	7
black_pyramid_dual_wield	black_pyramid_frontline	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_dual_wield.png	9
black_pyramid_ethereal	black_pyramid_frontline	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_ethereal.png	3
black_pyramid_great_weapons	black_pyramid_frontline	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_great_weapons.png	8
black_pyramid_guards	black_pyramid_frontline	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_guard.png	4
black_pyramid_gunpowder_artillery	black_pyramid_war_machines	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_artillery.png	1
black_pyramid_guns	black_pyramid_missiles	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_gun.png	2
black_pyramid_horsemen	black_pyramid_cavalry	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_horsemen.png	1
black_pyramid_infernal_legions	black_pyramid_nagash	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_infernal_legions.png	3
black_pyramid_knights	black_pyramid_cavalry	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_knight.png	3
black_pyramid_krell	black_pyramid_mortarchs	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_mortarch_krell.png	6
black_pyramid_lore_of_death	black_pyramid_magic	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_lore_death.png	3
black_pyramid_lore_of_deeps	black_pyramid_magic	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_lore_deep.png	7
black_pyramid_lore_of_light	black_pyramid_magic	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_lore_light.png	8
black_pyramid_lore_of_nehekhara	black_pyramid_magic	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_lore_nehekhara.png	6
black_pyramid_lore_of_shadows	black_pyramid_magic	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_lore_shadows.png	5
black_pyramid_lore_of_undeath	black_pyramid_magic	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_lore_undeath.png	2
black_pyramid_lore_of_vampires	black_pyramid_magic	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_lore_vampires.png	4
black_pyramid_luthor	black_pyramid_mortarchs	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_mortarch_luthor_harkon.png	5
black_pyramid_magic_artillery	black_pyramid_war_machines	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_magic_artillery.png	2
black_pyramid_magic_chariots	black_pyramid_war_machines	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_magic_vehicles.png	3
black_pyramid_mannfred	black_pyramid_mortarchs	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_mortarch_mannfred.png	2
black_pyramid_morghast	black_pyramid_beasts_monsters	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_morghast.png	4
black_pyramid_nagash	black_pyramid_nagash	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_nagash_early.png	1
black_pyramid_nameless	black_pyramid_mortarchs	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_mortarch_nameless.png	9
black_pyramid_neferata	black_pyramid_mortarchs	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_mortarch_neferata.png	4
black_pyramid_polearms	black_pyramid_frontline	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_polearms.png	6
black_pyramid_recruitment	black_pyramid_campaign	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_recruitment.png	7
black_pyramid_settlements	black_pyramid_campaign	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_settlements.png	5
black_pyramid_shambling_horde	black_pyramid_nagash	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_shambling_horde.png	2
black_pyramid_siege_monsters	black_pyramid_missiles	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_missile_artillery_siege.png	5
black_pyramid_skeleton	black_pyramid_frontline	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_skeleton.png	2
black_pyramid_sword_shield	black_pyramid_frontline	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_sword_shield.png	7
black_pyramid_tomb_kings	black_pyramid_campaign	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_tmb.png	4
black_pyramid_undead_monsters	black_pyramid_beasts_monsters	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_undead_monsters.png	2
black_pyramid_vampire_coast	black_pyramid_campaign	UI\skins\default\dlc29_nag_black_pyramid\icons\icon_node_cst.png	2
