id	relative_strength_payment_min_threshold	relative_strength_payment_max_threshold	relative_strength_payment_max_demand_percentage	use_minimum_for_goal_evaluations	goal_evaluations	ignore_war_restrictions_if_negative_event_rounds_ago
#cai_personality_deal_generation_components_tables;3;db/cai_personality_deal_generation_components_tables/data__						
wh3_deal_generation_beastmen	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_beastmen_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_bretonnia	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_bretonnia_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_cathay	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_cathay_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_chaos	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_chaos_dwarfs	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_chaos_dwarfs_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_chaos_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_dark_elves	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_dark_elves_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_default	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_dummy	0.0000	0.0000	1.0000	false	0	-1
wh3_deal_generation_dwarfs	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_dwarfs_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_empire	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_empire_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_greenskin	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_greenskin_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_highelf	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_highelf_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_kislev	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_kislev_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_lizardmen	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_lizardmen_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_lizardmen_vassal	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_norsca	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_norsca_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_ogre	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_ogre_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_passive	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_prologue	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_skaven	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_skaven_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_tomb_kings	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_tomb_kings_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_vampire	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_vampire_coast	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_vampire_coast_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_vampire_minor	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_war_only	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_wood_elves	0.5000	0.9000	0.8000	false	0	-1
wh3_deal_generation_wood_elves_minor	0.5000	0.9000	0.8000	false	0	-1
