category	icon_path
#trait_categories_tables;0;db/trait_categories_tables/data__	
agent	ui/campaign ui/skills/trait_agent.png
beastmen	ui/campaign ui/skills/trait_beastmen.png
bretonnia	ui/campaign ui/skills/trait_bretonnia.png
cathay	ui/campaign ui/skills/trait_cathay.png
chaos	ui/campaign ui/skills/trait_chaos.png
chaos_dwarfs	ui/campaign ui/skills/trait_chaos_dwarfs.png
chivalry_negative	ui/campaign ui/skills/virtue_negative.png
chivalry_positive	ui/campaign ui/skills/virtue_positive.png
daemons	ui/campaign ui/skills/trait_daemons.png
dark_elves	ui/campaign ui/skills/trait_dark_elves.png
dlc25_chieftain_scaling_trait	ui/campaign ui/effect_bundles/trait_deference_1.png
dlc25_tamurkhan_scaling_trait	ui/campaign ui/effect_bundles/trait_deference_4.png
dwarf	ui/campaign ui/skills/trait_dwarf.png
greenskin	ui/campaign ui/skills/trait_greenskins.png
harkon_fractured	ui/campaign ui/effect_bundles/fractured_mind.png
harkon_restored	ui/campaign ui/effect_bundles/restored_mind.png
hertwig_legendary_physician	ui/campaign ui/skills/trait_dlc13_hertwig_legendary_physician.png
hertwig_van_hal_bloodline	ui/campaign ui/skills/trait_dlc13_hertwig_van_hal_bloodline.png
high_elves	ui/campaign ui/skills/trait_high_elves.png
human	ui/campaign ui/skills/trait_human.png
imrik_black_dragon	ui/campaign ui/skills/trait_dlc15_imrik_black_dragon.png
imrik_forest_dragon	ui/campaign ui/skills/trait_dlc15_imrik_forest_dragon.png
imrik_moon_dragon	ui/campaign ui/skills/trait_dlc15_imrik_moon_dragon.png
imrik_star_dragon	ui/campaign ui/skills/trait_dlc15_imrik_star_dragon.png
imrik_sun_dragon	ui/campaign ui/skills/trait_dlc15_imrik_sun_dragon.png
jorek_magnificent_engineer	ui/campaign ui/skills/trait_dlc13_jorek_magnificent_engineer.png
kalara_ishas_blessing	ui/campaign ui/skills/trait_dlc13_kalara_ishas_blessing.png
khorne	ui/campaign ui/skills/trait_khorne.png
kislev	ui/campaign ui/skills/trait_kislev.png
kislev_ataman	ui/campaign ui/skills/trait_ataman.png
kislev_ice_court	ui/campaign ui/skills/trait_ice_court.png
lizardmen	ui/campaign ui/skills/trait_lizardmen.png
loyalty	ui/campaign ui/effect_bundles/loyalty.png
military	ui/campaign ui/skills/trait_military.png
mortal_torment	ui/campaign ui/effect_bundles/dlc10_mortal_torment.png
navy	ui/campaign ui/skills/trait_navy.png
norsca	ui/campaign ui/skills/trait_norsca.png
nurgle	ui/campaign ui/skills/trait_nurgle.png
ogre_kingdoms	ui/campaign ui/skills/trait_ogre_kingdoms.png
personality	ui/campaign ui/skills/trait_personality.png
physical	ui/campaign ui/skills/trait_physical.png
rodrik_wolf_hearted	ui/campaign ui/skills/trait_dlc13_rodrik_wolfhearted.png
skaven	ui/campaign ui/skills/trait_skaven.png
slaanesh	ui/campaign ui/skills/trait_slaanesh.png
sword_of_khaine	ui/campaign ui/effect_bundles/dlc10_sword_of_khaine.png
tomb_kings	ui/campaign ui/skills/trait_tomb_kings.png
trait_bad	ui/campaign ui/skills/trait_battle_negative.png
trait_good	ui/campaign ui/skills/trait_campaign_positive.png
tzeentch	ui/campaign ui/skills/trait_tzeentch.png
vampire_coast	ui/campaign ui/skills/trait_vampire_coast.png
vampire_counts	ui/campaign ui/skills/trait_vampire_counts.png
vow_grail	ui/campaign ui/effect_bundles/vow_grail_positive.png
vow_knights	ui/campaign ui/effect_bundles/vow_knights_positive.png
vow_questing	ui/campaign ui/effect_bundles/vow_questing_positive.png
wood_elf	ui/campaign ui/skills/trait_wood_elves.png
