battle_set_piece	achievement	score
#achievement_to_battle_set_piece_and_score_junctions_tables;1;db/achievement_to_battle_set_piece_and_score_junctions_tables/data__		
wh3_pro_mom_qb_01_black_fire_pass	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_BRONZE_0	15000
wh3_pro_mom_qb_02_hel_fenn	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_BRONZE_1	15000
wh3_pro_mom_qb_03_fallen_gates	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_BRONZE_2	15000
wh3_pro_mom_qb_04_altar_of_ultimate_darkness	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_BRONZE_3	15000
wh3_pro_mom_qb_05_realm_of_tzeentch	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_BRONZE_4	15000
wh3_pro_mom_qb_01_black_fire_pass	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_GOLD_0	50000
wh3_pro_mom_qb_02_hel_fenn	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_GOLD_1	50000
wh3_pro_mom_qb_03_fallen_gates	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_GOLD_2	50000
wh3_pro_mom_qb_04_altar_of_ultimate_darkness	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_GOLD_3	50000
wh3_pro_mom_qb_05_realm_of_tzeentch	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_GOLD_4	50000
wh3_pro_mom_qb_01_black_fire_pass	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_PLATINUM_0	100000
wh3_pro_mom_qb_02_hel_fenn	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_PLATINUM_0	100000
wh3_pro_mom_qb_03_fallen_gates	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_PLATINUM_0	100000
wh3_pro_mom_qb_04_altar_of_ultimate_darkness	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_PLATINUM_0	100000
wh3_pro_mom_qb_05_realm_of_tzeentch	WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_PLATINUM_0	100000
