key	value
#_kv_fire_values_tables;0;db/_kv_fire_values_tables/data__	
building_ignition_damp_modifier	0.2500
custom_firestarter_ignite_range	6.0000
escalation_buildings_on_fire	0.0200
fire_damage_building_modifier	5.0000
fire_damage_deployable_modifier	5.0000
fire_damage_siege_vehicle_modifier	5.0000
fire_intensity_increase	0.1000
fire_propagation_distance	9.0000
ground_ignition_damp_modifier	0.5000
max_distance_of_firestarters_from_main_squad	50.0000
max_firestarter_search_after_no_targets_found_cooldown_ticks	300.0000
max_firestarter_search_radius	40.0000
max_firestarter_spawn_after_recall_cooldown_ticks	300.0000
max_firestarter_spawn_cooldown_ticks	50.0000
max_num_firestarter_squads	3.0000
max_num_firestarters_unit_percentage	0.4000
min_firestarter_search_after_no_targets_found_cooldown_ticks	150.0000
min_firestarter_search_radius	4.0000
min_firestarter_spawn_after_recall_cooldown_ticks	150.0000
min_firestarter_spawn_cooldown_ticks	10.0000
min_num_firestarters	3.0000
num_firestarters_unit_percentage	0.0500
smoking_hit_point_percentage	0.3300
vegetation_catch_fire_chance	0.0020
