decision_profile	personality
#cai_personalities_decision_profile_junctions_tables;1;db/cai_personalities_decision_profile_junctions_tables/data__	
allied_buildings_profile	default
trespass_warning_accept_profile	default
allied_buildings_profile	wh2_rogue
trespass_warning_accept_profile	wh2_rogue
allied_buildings_profile	wh3_beastmen_minor
trespass_warning_accept_profile	wh3_beastmen_minor
allied_buildings_profile	wh3_bretonnia_minor
trespass_warning_accept_profile	wh3_bretonnia_minor
wh3_province_initiatives_profiles_brt	wh3_bretonnia_minor
allied_buildings_profile	wh3_cathay_main
cathay_caravan_start_profile	wh3_cathay_main
cathay_compass_profile	wh3_cathay_main
cathay_provincial_initiative_profile	wh3_cathay_main
rift_realm_profile	wh3_cathay_main
rift_teleport_antichaos_profile	wh3_cathay_main
trespass_warning_accept_profile	wh3_cathay_main
wh3_province_initiatives_profiles_cth	wh3_cathay_main
allied_buildings_profile	wh3_cathay_miao_ying
cathay_caravan_start_profile	wh3_cathay_miao_ying
cathay_compass_profile	wh3_cathay_miao_ying
cathay_provincial_initiative_profile	wh3_cathay_miao_ying
rift_realm_profile	wh3_cathay_miao_ying
rift_teleport_antichaos_profile	wh3_cathay_miao_ying
trespass_warning_accept_profile	wh3_cathay_miao_ying
wh3_province_initiatives_profiles_cth	wh3_cathay_miao_ying
allied_buildings_profile	wh3_cathay_minor_unfriendly
cathay_caravan_start_profile	wh3_cathay_minor_unfriendly
cathay_provincial_initiative_profile	wh3_cathay_minor_unfriendly
trespass_warning_accept_profile	wh3_cathay_minor_unfriendly
wh3_province_initiatives_profiles_cth	wh3_cathay_minor_unfriendly
allied_buildings_profile	wh3_cathay_minor
cathay_caravan_start_profile	wh3_cathay_minor
cathay_provincial_initiative_profile	wh3_cathay_minor
trespass_warning_accept_profile	wh3_cathay_minor
wh3_province_initiatives_profiles_cth	wh3_cathay_minor
wh3_ritual_cth_matters_of_state_profile	wh3_cathay_yuan_bo
allied_buildings_profile	wh3_cathay_zhao_ming
cathay_caravan_start_profile	wh3_cathay_zhao_ming
cathay_compass_profile	wh3_cathay_zhao_ming
cathay_provincial_initiative_profile	wh3_cathay_zhao_ming
rift_realm_profile	wh3_cathay_zhao_ming
rift_teleport_antichaos_profile	wh3_cathay_zhao_ming
trespass_warning_accept_profile	wh3_cathay_zhao_ming
wh3_province_initiatives_profiles_cth	wh3_cathay_zhao_ming
allied_buildings_profile	wh3_chaos_dwarf_astragoth
chaos_dwarf_convoy_start_profile	wh3_chaos_dwarf_astragoth
trespass_warning_accept_profile	wh3_chaos_dwarf_astragoth
wh3_faction_initiatives_chd_hellforge_profile	wh3_chaos_dwarf_astragoth
wh3_province_initiatives_profiles_chd	wh3_chaos_dwarf_astragoth
wh3_ritual_chd_tower_of_zharr_astragoth_profile	wh3_chaos_dwarf_astragoth
wh3_rituals_chd_unit_caps_profile	wh3_chaos_dwarf_astragoth
allied_buildings_profile	wh3_chaos_dwarf_drazhoath
chaos_dwarf_convoy_start_profile	wh3_chaos_dwarf_drazhoath
trespass_warning_accept_profile	wh3_chaos_dwarf_drazhoath
wh3_faction_initiatives_chd_hellforge_profile	wh3_chaos_dwarf_drazhoath
