key	is_hidden
#pooled_resource_factors_tables;5;db/pooled_resource_factors_tables/data__	
adjacent_provinces	false
allowed_expansion	false
ambushing_raiding	false
armies_attacked_and_defeated	false
army_upkeep	false
astromantic_boon	false
ataman	false
attacked_recently_returned_settlements	false
base_fealty	false
battles	false
battles_against_slaanesh	false
battles_won	false
beastmen_herdstone	false
bloodline_lords_awoken	false
building_construction	false
buildings	false
camp_buildings	false
camps	false
captives	false
captured_during_missions	false
captured_in_battle	false
changing_of_the_ways	false
channelling_stance	false
chaos_wasteland_conquered	false
character_upgrades	false
characters	false
characters_assassinated	false
collected_from_skull_piles	false
colonisation	false
combat_trials	false
commandments	false
commandments_negative	false
confederation	false
consumed_in_battle	false
convoys_completed	false
crackdown_hidden	true
cth_compass	false
cults	false
daemonic_glory	false
declared_war_on_bretonnia	false
declared_war_on_elector_counts	false
declared_war_on_kislev	false
declined_to_defend_settlement	false
defended_settlements	false
defenders_of_the_great_plan	false
demanded_settlements	false
diktats	false
diplomacy	false
diplomacy_with_slaanesh	false
disciple_armies	false
discovered_in_battle	false
dynasties	false
elector_counts_destroyed	false
elector_counts_reinstated	false
electoral_machinations	false
empire_settlements_returned	false
enemy_units_killed	false
establishing_temples	false
events	false
events_negative	false
eye_of_the_gods	false
faction	false
faction_leaders_killed_in_battle	false
factions_vassalised	false
fighting_chaos	false
fighting_kislev	false
forging_items	false
gift_of_slaanesh	false
gifts_of_chaos	false
gifts_of_chaos_upkeep	false
give_me_gut_magic	false
great_incantation_of_geheb	false
grudges	false
harmony	false
harvest_organs	false
hero_actions	false
hexes	false
high_relations	false
high_slaanesh_corruption	false
horde_buildings	false
hostility_level_reset	false
hunters_unlocked	false
imperial_province_capitals_razed	false
inactivity	false
incubated_captives	false
invocation_of_hoeth	false
invoking_the_motherland	false
kills	false
lileaths_blessing_stance	false
local_forces	false
local_populace	false
looting	false
looting_sacking_and_razing_settlements	false
lords_lost	false
lost_territory	false
low_corruption	false
low_relations	false
magical_forests	false
malediction_of_ruin	false
manipulating_the_winds_of_magic	false
missions	false
mortuary_cult	false
negative_imperial_authority	false
offered_to_the_great_maw	false
other	false
other_corruption	false
path_to_glory	false
pirate_coves	false
plague	false
plague_creation	false
plague_spread	false
pleasure_activities	false
ports_built_or_upgraded	false
positive_imperial_authority	false
post_battle_corruption_swing	false
power_of_nature	false
pre_battle	false
prevented_civil_war	false
provinces	false
raiding	false
raiding_sacking	false
razed_settlements	false
recycling_items	false
reinstated_elector_count	false
resistance_to_seduction_cultural	false
resistance_to_seduction_regions	false
returned_settlements	false
rifts	false
rites	false
rituals	false
ruins	false
sacrificed_to_sotek	false
schemes	false
seductive_influence	false
settlement_upkeep	false
settlements_captured	false
settlements_looted	false
settlements_not_returned	false
settlements_owned	false
settlements_sacked	false
sharing_loot	false
souls_gain	false
technology	false
technology_negative	false
teleport_stance	false
temple_rewards	false
the_dominating_scheme	false
the_menace_below	false
the_skull_throne	false
traits_bad	false
traits_good	false
treasure_hunting	false
under_empire	false
under_empire_negative	false
unholy_manifestations	false
wh2_dlc14_resource_factor_clan_rep_contract_against	false
wh2_dlc14_resource_factor_clan_rep_contract_completed	false
wh2_dlc14_resource_factor_dust_actions	false
wh2_dlc14_resource_factor_dust_contracts	false
wh2_dlc14_resource_factor_dust_per_turn	false
wh2_dlc14_resource_factor_food_action_negative	false
wh2_dlc14_resource_factor_food_action_positive	false
wh2_dlc14_resource_factor_sanity_battle_ability	false
wh2_dlc14_resource_factor_sanity_deterioration	false
wh2_dlc14_resource_factor_sanity_in_settlement	false
wh2_dlc14_resource_factor_sanity_medication	false
wh2_dlc14_resource_factor_sanity_tzarkans_whispers	false
