id	slot_template	slot_type	slot_set	building_level
#slot_set_items_tables;2;db/slot_set_items_tables/data__				
1117144643	wh2_main_foreign	foreign	wh3_main_slot_set_tze_cult	
11522959	wh2_main_foreign	foreign	wh3_main_slot_set_sla_cult	
115240314	wh2_dlc12_underempire	foreign	wh2_dlc12_slot_set_underempire	
1220556183	wh2_main_foreign	foreign	wh2_dlc11_slot_set_pirate_cove	
1292185739	wh2_main_foreign	foreign	wh3_main_slot_set_kho_cult	
1296701721	wh2_main_foreign	foreign	wh3_main_slot_set_nur_cult	
1342661464	wh3_dlc24_tze_cult_changeling	foreign	wh3_dlc24_slot_set_tze_changeling_startpos	wh3_dlc24_tze_the_changeling_horror_barracks_1
1544037641	wh2_dlc17_silent_sanctum	foreign	wh2_dlc17_slot_set_silent_sanctum	
1544494698	wh3_dlc24_tze_cult_changeling	foreign	wh3_dlc24_slot_set_tze_changeling_startpos	wh3_dlc24_tze_the_changeling_income_parasitic_1
1591760372	wh2_dlc12_underempire	foreign	wh2_dlc12_slot_set_underempire	
1724217744	wh2_dlc12_underempire	foreign	wh2_dlc12_slot_set_underempire	
1805285541	wh3_dlc24_tze_cult_changeling	foreign	wh3_dlc24_slot_set_tze_changeling_startpos	
1902009598	wh2_dlc12_underempire	foreign	wh2_dlc12_slot_set_underempire	
2025592835	wh3_dlc24_tze_cult_changeling	foreign	wh3_dlc24_slot_set_tze_changeling_startpos	
2034299476	wh2_dlc17_silent_sanctum	foreign	wh2_dlc17_slot_set_silent_sanctum	wh2_dlc17_silent_sanctum_core_0
2120010158	wh3_dlc24_tze_cult_changeling	foreign	wh3_dlc24_slot_set_tze_changeling	
2135143683	wh2_dlc12_underempire_laboratory	foreign	wh2_dlc12_slot_set_underempire_unique	wh2_dlc12_special_warlock_lab_1
243316860	wh2_dlc17_silent_sanctum	foreign	wh2_dlc17_slot_set_silent_sanctum	
585176699	wh2_dlc12_underempire_laboratory	foreign	wh2_dlc12_slot_set_underempire_unique	
664091737	wh3_dlc24_tze_cult_changeling	foreign	wh3_dlc24_slot_set_tze_changeling	
75394606	wh3_dlc24_tze_cult_changeling	foreign	wh3_dlc24_slot_set_tze_changeling	
841952776	wh3_dlc24_tze_cult_changeling	foreign	wh3_dlc24_slot_set_tze_changeling	
890611197	wh2_dlc12_underempire_laboratory	foreign	wh2_dlc12_slot_set_underempire_unique	
923772416	wh3_main_foreign_slot_allied	foreign	wh3_main_slot_set_allied_building	
978604632	wh2_dlc12_underempire_laboratory	foreign	wh2_dlc12_slot_set_underempire_unique	
