key	domain_type	parent_domain_left	parent_domain_right	join_type	algorithm	algorithm_variables	modifier_function	domain_variables
#cai_domains_tables;2;db/cai_domains_tables/data__								
abandoned_settlements	region			union	pick_all			
abandoned_settlements_in_chaos_corrupted_province	region	abandoned_settlements		union	pick_all			
abandoned_settlements_in_chaos_corrupted_province_in_regiongroup	region	abandoned_settlements_in_chaos_corrupted_province		union	pick_all			
abandoned_settlements_in_personality_region_group_identifier_1	region	abandoned_settlements	regions_in_personality_region_group_identifier_1	intersection	pick_all			
abandoned_settlements_in_personality_region_group_identifier_2	region	abandoned_settlements	regions_in_personality_region_group_identifier_2	intersection	pick_all			
abandoned_settlements_in_personality_region_group_identifier_3	region	abandoned_settlements	regions_in_personality_region_group_identifier_3	intersection	pick_all			
abandoned_settlements_in_region_group_chaos_dont_colonise	region	abandoned_settlements		union	pick_all			
abandoned_settlements_near_our_forces	region	abandoned_settlements	regions_near_our_forces	intersection	pick_all			
alive_factions	faction			union	pick_all			
allied_major_settlements	region	allied_settlements		union	pick_all			
allied_settlements	region	alive_factions		union	pick_all			
any_region_with_settlement	region			union	pick_all			
besieged_settlements	region	enemy_settlements		union	pick_all			
bordering_regions	region	our_regions		union	pick_all		grow_regions_from_seeds	
bordering_regions_owned_by_disliked_faction	region	regions_owned_by_disliked_faction		union	pick_all			
bordering_regions_owned_by_disliked_faction_scaled_by_po	region	bordering_regions_owned_by_disliked_faction		union	pick_all			
disliked_factions	faction	not_our_faction_or_rebels		union	pick_all			
disliked_third_party_known_by_target	faction	third_party_known_by_target		union	pick_all			
enemy_agents	resource_mobile	enemy_factions		union	pick_all			
enemy_agents_near_our_agents_positions	resource_mobile	enemy_regions_near_our_agents_positions	enemy_agents	intersection	pick_all			
enemy_armies_near_our_agents_positions	resource_mobile	enemy_regions_near_our_agents_positions	enemy_military_forces	intersection	pick_all			
enemy_factions	faction	alive_factions		union	pick_all			
enemy_factions_human	faction	enemy_factions		union	pick_all			
enemy_forces	resource_mobile	enemy_factions		union	pick_all			
enemy_forces_in_cathay_shouldnt_enter	resource_mobile	enemy_military_forces		union	pick_all			
enemy_forces_in_chaos_corrupted_province	resource_mobile	enemy_forces		union	pick_all			
enemy_forces_in_chaos_corrupted_province_in_regiongroup	resource_mobile	enemy_forces_in_chaos_corrupted_province		union	pick_all			
enemy_last_region	region	enemy_settlements		union	pick_all			
enemy_military_forces	resource_mobile	enemy_forces		union	pick_all			
enemy_military_forces_in_personality_region_group_identifier_1	resource_mobile	enemy_military_forces	regions_in_personality_region_group_identifier_1	intersection	pick_all			
enemy_military_forces_in_personality_region_group_identifier_2	resource_mobile	enemy_military_forces	regions_in_personality_region_group_identifier_2	intersection	pick_all			
enemy_military_forces_in_personality_region_group_identifier_3	resource_mobile	enemy_military_forces	regions_in_personality_region_group_identifier_3	intersection	pick_all			
enemy_military_forces_of_human_player	resource_mobile	enemy_military_forces		union	pick_all			
enemy_military_forces_of_human_player_scaled_by_diff	resource_mobile	enemy_military_forces_of_human_player		union	pick_all			
enemy_military_forces_our_regions	resource_mobile	enemy_military_forces		union	pick_all			
enemy_regions_near_our_agents_positions	region	regions_near_our_agents_positions	enemy_settlements	intersection	pick_all			
enemy_regions_near_our_agents_positions_exclude_rifts	region	enemy_regions_near_our_agents_positions	regions_with_rifts	difference	pick_all			
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_any	region	enemy_regions_near_our_agents_positions_exclude_rifts		union	pick_all			
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_khorne	region	enemy_regions_near_our_agents_positions_exclude_rifts		union	pick_all			
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_nurgle	region	enemy_regions_near_our_agents_positions_exclude_rifts		union	pick_all			
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_slaanesh	region	enemy_regions_near_our_agents_positions_exclude_rifts		union	pick_all			
enemy_regions_near_our_agents_positions_with_low_corruption_exclude_rifts_tzeentch	region	enemy_regions_near_our_agents_positions_exclude_rifts		union	pick_all			
enemy_regions_near_our_forces	region	regions_near_our_forces	enemy_settlements	intersection	pick_all			
enemy_rift_regions_in_province_at_least_x_units_far_from_home_territory_near_our_armies	region	rift_provinces_at_least_x_units_far_from_home_territory_near_our_armies		union	pick_all			
enemy_settlements	region	alive_factions		union	pick_all			
enemy_settlements_in_chaos_corrupted_province	region	enemy_settlements		union	pick_all			
enemy_settlements_in_chaos_corrupted_province_in_regiongroup	region	enemy_settlements_in_chaos_corrupted_province		union	pick_all			
