pool_name	pool_min_distance	pool_max_distance	pool_id
#audio_entity_focus_pools_tables;2;db/audio_entity_focus_pools_tables/data__			
animated_hulk_pool	5.0000	35.0000	355733082
bastiladon_pool	10.0000	100.0000	678423222
beast_pool	10.0000	100.0000	813352696
bloodthirster_pool	10.0000	100.0000	877907292
bone_giant_pool	10.0000	120.0000	1250447673
brood_horror_pool	10.0000	100.0000	1436423230
carnosaur_pool	10.0000	100.0000	211722165
cockatrice_pool	10.0000	100.0000	1806725533
cygor_pool	20.0000	120.0000	1246894956
dragon_pool	10.0000	100.0000	824927796
dread_saurian_pool	10.0000	150.0000	1152636830
eagle_pool	10.0000	100.0000	105505831
elemental_bear_pool	10.0000	150.0000	1695769092
fimir_pool	10.0000	45.0000	1611415430
ghorgon_pool	10.0000	120.0000	325666559
giants_pool	10.0000	100.0000	567330009
gorebeast_pool	10.0000	40.0000	689358863
hierotitan_pool	10.0000	150.0000	1966703202
hippogryph_pool	10.0000	50.0000	1698572907
horse_pegasus_pool	10.0000	50.0000	35418137
hydra_pool	10.0000	100.0000	1005504554
jabberslythe_pool	10.0000	120.0000	254125967
kdaai_destroyer_pool	10.0000	150.0000	2097626104
kdaai_fireborn_pool	10.0000	100.0000	1075471115
keeper_pool	10.0000	100.0000	1301855912
kharibdyss_pool	10.0000	150.0000	1672581852
kroxigor_pool	10.0000	35.0000	1019462669
lammasu_pool	10.0000	150.0000	1168538392
mammoth_pool	10.0000	100.0000	1533653036
medium_bird_pool	10.0000	50.0000	968615662
medusa_pool	10.0000	100.0000	2058505343
minotaur_pool	10.0000	45.0000	575171531
mutant_rat_ogre_pool	10.0000	50.0000	390717767
necrofex_pool	10.0000	100.0000	1597971604
necrosphinx_pool	10.0000	100.0000	1851423097
no_pool	0.0000	0.0000	2115244306
ogre_pool	10.0000	80.0000	1894325250
phoenix_pool	10.0000	100.0000	2061411983
rogue_idol_pool	10.0000	150.0000	44925407
rotting_leviathan_pool	10.0000	100.0000	1058601458
sabretusk_pool	10.0000	45.0000	904201595
scorpion_pool	10.0000	100.0000	293392472
simaergul_pool	10.0000	100.0000	2045115140
snow_leopard_pool	10.0000	100.0000	51253795
spawn_pool	10.0000	45.0000	110608102
spider_large_pool	10.0000	100.0000	1018889021
steggadon_pool	10.0000	100.0000	222870963
stonehorn_pool	10.0000	100.0000	627679241
terracotta_pool	10.0000	100.0000	2141054118
toad_dragon_pool	10.0000	150.0000	1353996241
treekin_pool	10.0000	35.0000	123111156
treeman_pool	10.0000	150.0000	864768676
troglodon_pool	10.0000	100.0000	436470142
troll_pool	10.0000	100.0000	363242580
unit_air_extra_large_pool	40.0000	200.0000	1626005059
unit_air_large_pool	20.0000	120.0000	1907804894
unit_air_medium_pool	10.0000	80.0000	2001154641
unit_air_very_large_pool	30.0000	150.0000	922225373
unit_land_extra_large_pool	40.0000	200.0000	1146881974
unit_land_large_pool	20.0000	120.0000	1881480460
unit_land_medium_pool	10.0000	80.0000	2052246237
unit_land_very_large_pool	30.0000	150.0000	1564855820
warsphinx_pool	10.0000	100.0000	1791051706
wh3_chd_wm	10.0000	100.0000	1051946746
wh3_dlc25_landship_pool	10.0000	150.0000	1220967697
wh3_dlc25_thunderbarge_pool	10.0000	150.0000	1231260976
wh3_rot_flies_pool	10.0000	130.0000	1128886366
wh3_sould_grinder_pool	10.0000	130.0000	386677849
wm_dlc15_pump_wagons	10.0000	45.0000	285935242
wm_gyrocopter_medium_pool	10.0000	100.0000	2087368810
wm_metal_chariot	10.0000	45.0000	834987930
wm_metal_large_pool	10.0000	150.0000	2116545015
wm_metal_medium_pool	10.0000	100.0000	320512704
wm_metal_small_pool	10.0000	45.0000	1831076898
wm_wood_chariot	10.0000	45.0000	1918691930
wm_wood_large_pool	10.0000	150.0000	1393283237
wm_wood_medium_pool	10.0000	100.0000	2114289637
wm_wood_small_pool	10.0000	45.0000	1505486205
wolves_pool	10.0000	45.0000	1020160999
yhetee_pool	10.0000	100.0000	1432761124
zoat_pool	10.0000	50.0000	1153801118
