member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/data__		
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_Negative	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen_&_Negative	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen_&_Positive	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia_&_Negative	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia_&_Positive	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos_&_Negative	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos_&_Positive	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves_&_Negative	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves_&_Positive	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf_&_Negative	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf_&_Positive	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire_&_Negative	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire_&_Positive	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin_&_Negative	ACTOR	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
