key	max_value	campaign_only	sort_order	localisation	icon	min_value	clamp_displayed_minimum	clamp_displayed_maximum
#ui_unit_stats_tables;10;db/ui_unit_stats_tables/data__								
scalar_bracing	10	false	-1	scalar_bracing	ui/skins/default/icon_stat_bracing.png	0	true	false
scalar_charge_speed	100	false	-1	scalar_charge_speed	ui/skins/default/icon_stat_speed.png	0	true	false
scalar_entity_acceleration_modifier	10	false	-1	scalar_entity_acceleration_modifier	ui/skins/default/icon_stat_speed.png	0	true	false
scalar_entity_deceleration_modifier	10	false	-1	scalar_entity_deceleration_modifier	ui/skins/default/icon_stat_speed.png	0	true	false
scalar_entity_turn_speed_modifier	140	false	-1	scalar_entity_turn_speed_modifier	ui/skins/default/icon_stat_speed.png	0	true	false
scalar_miscast_chance	100	false	-1	scalar_miscast_chance	ui/skins/default/icon_stat_miscast.png	0	true	false
scalar_missile_damage_ap	25	false	-1	scalar_missile_damage_ap	ui/skins/default/modifier_icon_armour_piercing_ranged.png	0	true	false
scalar_missile_damage_base	350	false	-1	scalar_missile_damage_base	ui/skins/default/icon_stat_ranged_damage_base.png	0	true	false
scalar_missile_explosion_damage_ap	400	false	-1	scalar_missile_explosion_damage_ap	ui/skins/default/icon_stat_explosive_armour_piercing_damage.png	0	true	false
scalar_missile_explosion_damage_base	400	false	-1	scalar_missile_explosion_damage_base	ui/skins/default/icon_explosive_damage.png	0	true	false
scalar_missile_range	200	false	-1	scalar_missile_range	ui/skins/default/icon_stat_range.png	0	true	false
scalar_speed	140	false	-1	scalar_speed	ui/skins/default/icon_stat_speed.png	0	true	false
scalar_spell_mastery	2	false	-1	scalar_spell_mastery	ui/Battle UI/ability_icons/spell_mastery.png	0	true	false
scalar_splash_attack_power	5	false	-1	scalar_splash_attack_power	ui/skins/default/icon_stat_damage.png	0	true	false
stat_accuracy	100	false	12	stat_accuracy	ui/skins/default/icon_stat_range.png	0	true	false
stat_ammo	100	false	14	stat_ammo	ui/skins/default/icon_stat_ammo.png	0	true	false
stat_armour	180	false	5	stat_armour	ui/skins/default/icon_stat_armour.png	0	true	false
stat_bonus_vs_cavalry	50	false	-1	stat_bonus_vs_cavalry	ui/skins/default/placeholder.png	0	true	false
stat_bonus_vs_infantry	50	false	6	stat_bonus_vs_infantry	ui/skins/default/modifier_icon_bonus_vs_infantry.png	0	true	false
stat_bonus_vs_large	50	false	6	stat_bonus_vs_large	ui/skins/default/modifier_icon_bonus_vs_large.png	0	true	false
stat_charge_bonus	100	false	4	stat_charge_bonus	ui/skins/default/icon_stat_charge_bonus.png	0	true	false
stat_damage_reflection	100	false	-1	stat_damage_reflection	ui/skins/default/icon_stat_damage_reflection.png	0	true	false
stat_healing_power	4	false	-1	stat_healing_power	ui/skins/default/stat_healing_received.png	0	true	false
stat_health	6000	false	8	stat_health	ui/skins/default/icon_stat_health.png	0	true	false
stat_mana	100	false	-1	stat_mana	ui/skins/default/placeholder.png	0	true	false
stat_mass	15000	false	-1	stat_mass	ui/skins/default/icon_stat_mass.png	0	true	false
stat_melee_attack	100	false	2	stat_melee_attack	ui/skins/default/icon_stat_attack.png	0	true	false
stat_melee_damage_ap	100	false	13	stat_melee_damage_ap	ui/skins/default/modifier_icon_armour_piercing.png	0	true	false
stat_melee_damage_base	100	false	-1	stat_melee_damage_base	ui/skins/default/icon_stat_damage_base.png	0	true	false
stat_melee_defence	100	false	3	stat_melee_defence	ui/skins/default/icon_stat_defence.png	0	true	false
stat_missile_block_chance	100	false	7	stat_missile_block_chance	ui/skins/default/icon_stat_missile_block_chance.png	0	true	false
stat_missile_damage	100	false	-1	stat_missile_strength	ui/skins/default/icon_stat_ranged_damage_base.png	0	true	false
stat_missile_damage_over_time	100	false	-1	stat_missile_strength	ui/skins/default/icon_stat_ranged_damage.png	0	true	false
stat_missile_minimum_range	50	false	-1	stat_missile_minimum_range	ui/skins/default/icon_stat_range.png	0	true	false
stat_morale	120	false	1	stat_morale	ui/skins/default/icon_stat_morale.png	-55	true	false
stat_num_uses_additional	100	false	-1	stat_num_uses_additional	ui/skins/default/placeholder.png	0	true	false
stat_reloading	15	false	18	stat_reloading	ui/skins/default/icon_stat_reload_time.png	0	true	false
stat_resistance_all	100	false	-1	stat_resistance_all	ui/Battle UI/ability_icons/resistance_ward_save.png	0	true	false
stat_resistance_flame	100	false	10	stat_resistance_flame	ui/Battle UI/ability_icons/resistance_fire.png	0	true	false
stat_resistance_magic	100	false	10	stat_resistance_magic	ui/Battle UI/ability_icons/resistance_magic.png	0	true	false
stat_resistance_missile	100	false	10	stat_resistance_missile	ui/Battle UI/ability_icons/resistance_missile.png	0	true	false
stat_resistance_physical	100	false	10	stat_resistance_physical	ui/Battle UI/ability_icons/resistance_physical.png	0	true	false
stat_shield_armour	200	false	-1	stat_shield_armour	ui/skins/default/icon_stat_defence.png	0	true	false
stat_shield_defence	100	false	-1	stat_shield_defence	ui/skins/default/icon_stat_armour.png	0	true	false
stat_ship_health	1500	false	-1	stat_ship_health	ui/skins/default/icon_stat_ship_health.png	0	true	false
stat_ship_move_speed	12	false	-1	stat_ship_move_speed	ui/skins/default/icon_stat_speed.png	0	true	false
stat_spotting_forest	100	false	-1	stat_spotting_forest	ui/skins/default/icon_stat_spotting.png	0	true	false
