video_name	video_type	audio_tracks	script_ref
#videos_tables;7;db/videos_tables/data__			
Front_end_selection_movies/alberic_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/archaon_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/astragoth_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/azazel_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/azhag_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/balthazar_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/belakor_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/belegar_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/boris_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/brt_repanse	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/bst_taurox	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/cst_arenessa_saltspite	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/cst_count_noctilus	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/cst_cylostra_direfin	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/cst_luthor_harkon	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/daemon_prince_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/def_crone	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/def_lokhir_fellheart	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/def_malekith	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/def_malus	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/def_morathi	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/def_rakarth	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/drazhoath_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/durthu_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/dwf_thorek	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/elspeth_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/emp_wulfhart	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/epidemius_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/fay_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/festus_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/franz_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/greasus_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/grimgor_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/grn_grom	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/grombrindal_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/hef_alarielle	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/hef_alith_anar	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/hef_eltharion	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/hef_imrik	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/hef_teclis	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/hef_tyrion	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/heinrich_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/helman_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/isabella_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/kairos_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/katarin_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/khazrak_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/kholek_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/kostaltyn_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/kugath_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/louen_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/lzd_gorrok	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/lzd_kroqgar	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/lzd_mazdamundi	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/lzd_nakai	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/lzd_oxyotl	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/lzd_tehenhauin	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/lzd_tiktaqto	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/malagor_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/malakai_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/mannfred_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/miao_ying_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/morghur_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/mother_ostankya_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/nkari_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/orion_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/sigvald_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/skarbrand_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/skarsnik_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/skrag_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/skv_ikit	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/skv_queek	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/skv_skrolk	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/skv_snikch	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/skv_throt	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/skv_tretch	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/tamurkhan_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/the_changeling_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/thorgrim_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/throgg_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/tmb_arkhan	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/tmb_khalida	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/tmb_khatep	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/tmb_settra	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/ungrim_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/valkia_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/vilitch_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/vlad_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/volkmar_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/wef_drycha	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/wef_sisters	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/wulfric_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/wurrzag_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/yuan_bo_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/zhao_ming_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/zhatan_front_end	FULLSCREEN_INTRO	1	0
MainMenu	FULLSCREEN_INTRO	1	0
TW_WH2_BASE_THEME	FULLSCREEN_INTRO	1	0
TW_WH2_DLC10_QUEEN_CRONE_THEME	FULLSCREEN_INTRO	1	0
