dilemma_key	tracked_faction_key	num_settlements_required
#pooled_resource_tracked_factions_to_dilemmas_junctions_tables;0;db/pooled_resource_tracked_factions_to_dilemmas_junctions_tables/data__		
wh3_dlc27_hef_asur_domination_imrik_1	wh2_dlc15_hef_imrik	2
wh3_dlc27_hef_asur_domination_imrik_2	wh2_dlc15_hef_imrik	6
wh3_dlc27_hef_asur_domination_imrik_3	wh2_dlc15_hef_imrik	10
wh3_dlc27_hef_asur_domination_avelorn_1	wh2_main_hef_avelorn	2
wh3_dlc27_hef_asur_domination_avelorn_2	wh2_main_hef_avelorn	6
wh3_dlc27_hef_asur_domination_avelorn_3	wh2_main_hef_avelorn	10
wh3_dlc27_hef_asur_domination_eataine_1	wh2_main_hef_eataine	2
wh3_dlc27_hef_asur_domination_eataine_2	wh2_main_hef_eataine	6
wh3_dlc27_hef_asur_domination_eataine_3	wh2_main_hef_eataine	10
wh3_dlc27_hef_asur_domination_nagarythe_1	wh2_main_hef_nagarythe	2
wh3_dlc27_hef_asur_domination_nagarythe_2	wh2_main_hef_nagarythe	6
wh3_dlc27_hef_asur_domination_nagarythe_3	wh2_main_hef_nagarythe	10
wh3_dlc27_hef_asur_domination_loremasters_1	wh2_main_hef_order_of_loremasters	2
wh3_dlc27_hef_asur_domination_loremasters_2	wh2_main_hef_order_of_loremasters	6
wh3_dlc27_hef_asur_domination_loremasters_3	wh2_main_hef_order_of_loremasters	10
wh3_dlc27_hef_asur_domination_yvresse_1	wh2_main_hef_yvresse	2
wh3_dlc27_hef_asur_domination_yvresse_2	wh2_main_hef_yvresse	6
wh3_dlc27_hef_asur_domination_yvresse_3	wh2_main_hef_yvresse	10
