name	plague_type	image_path	parameters	cost	sort_order
#plagues_tables;1;db/plagues_tables/data__					
wh2_dlc17_plague_beastmen	GENERIC		beastmen_parameters		0
wh2_main_plague_skaven	SKAVEN		skaven_parameters		0
wh3_dlc25_nur_base_hidden	GENERIC		nur_base_hidden		0
wh3_dlc25_nur_random_plague_1	GENERIC	UI/Campaign UI/plague_icons/wh3_main_nur_base_Ague.png	nur_random_plagues		0
wh3_dlc25_nur_random_plague_2	GENERIC	UI/Campaign UI/plague_icons/wh3_main_nur_base_Buboes.png	nur_random_plagues		0
wh3_dlc25_nur_random_plague_3	GENERIC	UI/Campaign UI/plague_icons/wh3_main_nur_base_Pox.png	nur_random_plagues		0
wh3_dlc25_nur_random_plague_4	GENERIC	UI/Campaign UI/plague_icons/wh3_main_nur_base_Rot.png	nur_random_plagues		0
wh3_dlc25_nur_random_plague_5	GENERIC	UI/Campaign UI/plague_icons/wh3_main_nur_base_Shakes.png	nur_random_plagues		0
wh3_main_crimson_plague_faction	GENERIC	ui/campaign ui/plague_icons/wh3_main_plague_nurgle_bowelsteep.png	wh3_main_crimson_plague_faction		1
wh3_main_crimson_plague_region	GENERIC	ui/campaign ui/plague_icons/wh3_main_plague_nurgle_bowelsteep.png	wh3_main_crimson_plague_region		0
wh3_main_crimson_plague_world	GENERIC	ui/campaign ui/plague_icons/wh3_main_plague_nurgle_bowelsteep.png	wh3_main_crimson_plague_world		2
wh3_main_nur_base_Ague	GENERIC	UI/Campaign UI/plague_icons/wh3_main_nur_base_Ague.png	ague_base_parameters		2
wh3_main_nur_base_Buboes	GENERIC	UI/Campaign UI/plague_icons/wh3_main_nur_base_Buboes.png	buboes_base_parameters		1
wh3_main_nur_base_Pox	GENERIC	UI/Campaign UI/plague_icons/wh3_main_nur_base_Pox.png	pox_base_parameters		0
wh3_main_nur_base_Rot	GENERIC	UI/Campaign UI/plague_icons/wh3_main_nur_base_Rot.png	rot_base_parameters		3
wh3_main_nur_base_Shakes	GENERIC	UI/Campaign UI/plague_icons/wh3_main_nur_base_Shakes.png	shakes_base_parameters		4
wh3_main_plague_daemon_prince_bowelsteep	GENERIC	ui/campaign ui/plague_icons/wh3_main_plague_nurgle_bowelsteep.png	daemon_prince_parameters		0
wh3_main_plague_daemon_prince_grey_fever	GENERIC	ui/campaign ui/plague_icons/wh3_main_plague_nurgle_grey_fever.png	daemon_prince_parameters		0
wh3_main_plague_daemon_prince_ochre_pox	GENERIC	ui/campaign ui/plague_icons/wh3_main_plague_nurgle_ochre_pox.png	daemon_prince_parameters		0
wh3_main_plague_daemon_prince_the_red_ague	GENERIC	ui/campaign ui/plague_icons/wh3_main_plague_nurgle_the_red_ague.png	daemon_prince_parameters		0
