key	token_type	number_of_uses	icon	rounds_cooldown_before_use	weight	bag_price	plan_type	tier	mod_negative_draw_pct	max_drawn_copies
#chaotic_plan_tokens_tables;6;db/chaotic_plan_tokens_tables/data__										
wh3_dlc29_action_any_remove_red_1	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_assassins.png	6	1	wh3_dlc29_skv_token_usage_warpstone_300		1	0	0
wh3_dlc29_action_any_remove_red_2	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_assassins.png	5	1	wh3_dlc29_skv_token_usage_warpstone_200		2	0	0
wh3_dlc29_action_any_remove_red_3	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_assassins.png	4	1	wh3_dlc29_skv_token_usage_warpstone_100		3	0	0
wh3_dlc29_action_economic_dangerous_treasury	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_treasury.png	-1	1		wh3_dlc29_economic_plan	1	0	0
wh3_dlc29_action_economic_dangerous_warpstone	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_warpstone.png	-1	1		wh3_dlc29_economic_plan	1	0	0
wh3_dlc29_action_economic_focus	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_adapt.png	-1	1	wh3_dlc29_skv_token_usage_1000	wh3_dlc29_economic_plan	1	0	0
wh3_dlc29_action_economic_vault_1_open	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_vaults.png	-1	1	wh3_dlc29_skv_token_usage_warpstone_100	wh3_dlc29_economic_plan	1	0	0
wh3_dlc29_action_military_lab_1_recruit	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_shiv_steal.png	-1	1	wh3_dlc29_skv_token_usage_warpstone_100	wh3_dlc29_military_plan	1	0	0
wh3_dlc29_action_military_mercenaries_1_recruit	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_blackmail.png	-1	1	wh3_dlc29_skv_token_usage_1000	wh3_dlc29_military_plan	1	0	0
wh3_dlc29_action_military_reinforcements	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_find_troops.png	-1	1	wh3_dlc29_skv_token_usage_1000	wh3_dlc29_military_plan	1	0	0
wh3_dlc29_action_military_vampire_pay_for_reward	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_race_vamp_counts_coast.png	-1	1		wh3_dlc29_economic_plan	1	0	0
wh3_dlc29_action_military_vampire_pay_to_reduce_alarm	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_race_vamp_counts_coast.png	-1	1		wh3_dlc29_military_plan	1	0	0
wh3_dlc29_action_military_vampire_pay_to_reduce_alarm_elite	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_race_vamp_counts_coast.png	-1	1		wh3_dlc29_military_plan	1	0	0
wh3_dlc29_any_action_assassin_sell_instant	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_battle_support_eshin.png	2	1	wh3_dlc29_skv_token_usage_warpstone_50		5	0	0
wh3_dlc29_any_action_basic_diversion	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_avoid_guards.png	-1	1	wh3_dlc29_skv_token_usage_1000		1	0	0
wh3_dlc29_any_action_basic_diversion_generated	wh3_dlc29_token_type_yellow	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_prophetic_visions.png	-1	1			1	-500	0
wh3_dlc29_any_action_experience	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_incantation_overcharge.png	1	1	wh3_dlc29_skv_token_usage_warpstone_100		1	0	0
wh3_dlc29_any_action_experience_generated	wh3_dlc29_token_type_yellow	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_incantation_overcharge.png	-1	1			1	1000	0
wh3_dlc29_any_action_plague_1	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_plagues.png	-1	1	wh3_dlc29_skv_thanquol_lose_food_10		1	0	1
wh3_dlc29_any_action_plague_1_elite	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_plagues.png	-1	1	wh3_dlc29_skv_thanquol_lose_food_10		1	0	1
wh3_dlc29_any_action_plague_2	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_plagues.png	-1	1	wh3_dlc29_skv_token_usage_2000		1	0	1
wh3_dlc29_any_action_plague_2_elite	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_plagues.png	-1	1	wh3_dlc29_skv_token_usage_4000		1	0	1
wh3_dlc29_any_action_plague_3	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_plagues.png	-1	1	wh3_dlc29_skv_token_usage_warpstone_300		1	0	1
wh3_dlc29_any_action_plague_3_elite	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_plagues.png	-1	1	wh3_dlc29_skv_token_usage_warpstone_500		1	0	1
wh3_dlc29_any_action_skill_copy_green_1_economy	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_improvise.png	2	1	wh3_dlc29_skv_token_usage_warpstone_50	wh3_dlc29_economic_plan	1	0	0
wh3_dlc29_any_action_skill_copy_green_1_military	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_improvise.png	2	1	wh3_dlc29_skv_token_usage_warpstone_50	wh3_dlc29_military_plan	1	0	0
wh3_dlc29_any_mod_pool_grey_seer_winds	wh3_dlc29_token_type_modify_pool	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_arcane_mastery.png	-1	1			1	0	0
wh3_dlc29_any_red_alarm_action_cost_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_brazen_thievery_red.png	-1	4			1	0	1
wh3_dlc29_any_red_alarm_action_cost_1_payoff	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_shiv_steal.png	-1	1	wh3_dlc29_any_red_alarm_action_cost_1_payoff		1	0	0
wh3_dlc29_any_red_alarm_action_cost_2	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_brazen_thievery_red.png	-1	4			2	0	1
wh3_dlc29_any_red_alarm_action_cost_2_payoff	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_shiv_steal.png	-1	1	wh3_dlc29_any_red_alarm_action_cost_2_payoff		1	0	0
wh3_dlc29_any_red_attention_generated	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_lone_guard.png	-1	1			1	1000	0
wh3_dlc29_any_red_basic_alarm_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_elite_patrol.png	-1	4			1	4000	1
