group	battle_type_override	battle_type_requested
#battle_catchment_override_groups_tables;2;db/battle_catchment_override_groups_tables/data__		
altar_of_ultimate_darkness		
arnheim		
caverns_of_the_great_bat		
fallen_gates		
gouger_gully		
isle_of_the_crimson_skull		
mortuary_of_tzulaqua		
mosquito_swamps		
tower_of_hoeth		
vauls_anvil		
warp_shard_caverns		
wh2_dlc10_alith_anar_shadow_realm		
wh2_dlc11_black_ark		
wh2_dlc11_coast_skjold		
wh2_dlc11_galleons_graveyard		
wh2_dlc11_galleons_graveyard_ambush		
wh2_dlc11_island_desert		
wh2_dlc11_island_grassy		
wh2_dlc11_island_rocky		
wh2_dlc11_island_snowy		
wh2_dlc11_island_tropical		
wh2_hef_tutorial_battle		
wh2_lustria_and_southlands_jungle		
wh2_lustria_and_southlands_jungle_ambush		
wh2_lustria_and_southlands_mountains		
wh2_lustria_and_southlands_mountains_ambush		
wh2_lustria_and_southlands_plains		
wh2_lustria_and_southlands_plains_ambush		
wh2_lustria_and_southlands_swamps		
wh2_lustria_and_southlands_swamps_ambush		
wh2_lustria_coast		
wh2_lustria_coast_ambush		
wh2_lustria_desert		
wh2_lustria_desert_ambush		
wh2_lzd_tutorial_battle		
wh2_main_badlands_mountain_chokepoint	land_bridge	land_normal
wh2_main_lzd_lustria_mountain_pass_chokepoint	land_bridge	land_normal
wh2_main_lzd_lustria_mountain_pass_climate_stl_chokepoint	land_bridge	land_normal
wh2_main_lzd_river_chokepoint	land_bridge	land_normal
wh2_main_skv_minor_settlements		
wh2_main_skv_subterranean_tiles		
wh2_main_skv_walled_settlements		
wh2_main_southland_chasm_chokepoint	land_bridge	land_normal
wh2_main_southland_mountain_pass_chokepoint	land_bridge	land_normal
wh2_main_southland_mountain_pass_climate_lzd_chokepoint	land_bridge	land_normal
wh2_main_southland_river_chokepoint	land_bridge	land_normal
wh2_main_subterranean_tiles		
wh2_naggarond_bleak_forest		
wh2_naggarond_bleak_forest_ambush		
wh2_naggarond_bleak_plains		
wh2_naggarond_bleak_plains_ambush		
wh2_naggarond_coast		
wh2_naggarond_coast_ambush		
wh2_naggarond_def_tutorial_battle		
wh2_naggarond_dense_forest		
wh2_naggarond_dense_forest_ambush		
wh2_naggarond_desert		
wh2_naggarond_desert_ambush		
wh2_naggarond_desert_coast		
wh2_naggarond_desert_coast_ambush		
wh2_naggarond_forest		
wh2_naggarond_forest_ambush		
wh2_naggarond_grassland		
wh2_naggarond_grassland_ambush		
wh2_naggarond_grassland_chokepoint	land_bridge	land_normal
wh2_naggarond_hills		
wh2_naggarond_hills_ambush		
wh2_naggarond_mountain_chokepoint	land_bridge	land_normal
wh2_naggarond_mountains		
wh2_naggarond_mountains_ambush		
wh2_naggarond_petrified_coast		
wh2_naggarond_petrified_coast_ambush		
wh2_naggarond_petrified_forest		
wh2_naggarond_petrified_forest_ambush		
wh2_naggarond_petrified_plains		
wh2_naggarond_petrified_plains_ambush		
wh2_naggarond_plains		
wh2_naggarond_plains_ambush		
wh2_norsca_coast		
wh2_norsca_coast_ambush		
wh2_norsca_forest		
wh2_norsca_forest_ambush		
wh2_norsca_grassland		
wh2_norsca_grassland_ambush		
wh2_norsca_hills		
wh2_norsca_hills_ambush		
wh2_norsca_mountain_chokepoint	land_bridge	land_normal
wh2_norsca_tundra		
wh2_norsca_tundra_ambush		
wh2_shrine_of_khaine		
wh2_shrine_of_khaine_ambush		
wh2_skv_tutorial_battle		
wh2_southlands_coast		
wh2_southlands_coast_ambush		
wh2_southlands_desert		
wh2_southlands_desert_ambush		
wh2_southlands_grassland		
wh2_southlands_grassland_ambush		
wh2_sylvania_river_chokepoint	land_bridge	land_normal
wh2_ulthuan_coast		
wh2_ulthuan_coast_ambush		
wh2_ulthuan_forest		
wh2_ulthuan_forest_ambush		
wh2_ulthuan_forest_chokepoint	land_bridge	land_normal
wh2_ulthuan_grassland		
wh2_ulthuan_grassland_ambush		
wh2_ulthuan_grassland_chokepoint	land_bridge	land_normal
wh2_ulthuan_mountain_chokepoint	land_bridge	land_normal
wh2_ulthuan_mountains		
wh2_ulthuan_mountains_ambush		
wh2_ulthuan_plains		
wh2_ulthuan_plains_ambush		
wh2_ulthuan_plains_chokepoint	land_bridge	land_normal
wh3_dlc20_brt_settlement_standard_1		
wh3_dlc20_brt_settlement_standard_2		
wh3_dlc20_brt_settlement_unfortified_1		
wh3_dlc20_brt_settlement_unfortified_2		
wh3_dlc20_macro_brt_hills		
wh3_dlc20_macro_brt_hills_ambush		
wh3_dlc20_macro_brt_hills_chokepoint	land_bridge	land_normal
wh3_dlc20_macro_brt_hills_ogr_camp		
wh3_dlc23_chd_settlement_standard_1		
wh3_dlc23_chd_settlement_standard_2		
wh3_dlc23_chd_settlement_unfortified_1		
wh3_dlc23_chd_settlement_unfortified_2		
