payload	region	vicinity_radius	teleport_same_faction_armies_only	teleport_only_to_sea	teleport_only_from_sea	include_vassal_armies
#ritual_payload_teleport_armies_tables;2;db/ritual_payload_teleport_armies_tables/data__						
wh2_dlc16_worldroots_teleport_athel_loren	wh3_main_combi_region_the_oak_of_ages	0	true	false	false	false
wh2_dlc16_worldroots_teleport_emerald_pools_main	wh3_main_combi_region_the_sacred_pools	0	true	false	false	false
wh2_dlc16_worldroots_teleport_forest_of_gloom	wh3_main_combi_region_forest_of_gloom	0	true	false	false	false
wh2_dlc16_worldroots_teleport_gaean_vale_main	wh3_main_combi_region_gaean_vale	0	true	false	false	false
wh2_dlc16_worldroots_teleport_gryphon_wood	wh3_main_combi_region_gryphon_wood	0	true	false	false	false
wh2_dlc16_worldroots_teleport_heart_of_the_jungle_main	wh3_main_combi_region_oreons_camp	0	true	false	false	false
wh2_dlc16_worldroots_teleport_jungles_of_chian	wh3_main_combi_region_jungles_of_chian	0	true	false	false	false
wh2_dlc16_worldroots_teleport_laurelorn	wh3_main_combi_region_laurelorn_forest	0	true	false	false	false
wh2_dlc16_worldroots_teleport_the_haunted_forest	wh3_main_combi_region_the_haunted_forest	0	true	false	false	false
wh2_dlc16_worldroots_teleport_witchwood_main	wh3_main_combi_region_the_witchwood	0	true	false	false	false
wh2_dlc17_oxyotl_payload_teleport		0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_dlc23_chaos_region_the_haunted_forest	wh3_dlc23_chaos_region_the_haunted_forest	0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_main_chaos_region_fort_dolganyeir	wh3_main_chaos_region_fort_dolganyeir	0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_main_chaos_region_laurelorn_forest	wh3_main_chaos_region_laurelorn_forest	0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_main_combi_region_forest_of_gloom	wh3_main_combi_region_forest_of_gloom	0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_main_combi_region_gaean_vale	wh3_main_combi_region_gaean_vale	0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_main_combi_region_gryphon_wood	wh3_main_combi_region_gryphon_wood	0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_main_combi_region_jungles_of_chian	wh3_main_combi_region_jungles_of_chian	0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_main_combi_region_laurelorn_forest	wh3_main_combi_region_laurelorn_forest	0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_main_combi_region_oreons_camp	wh3_main_combi_region_oreons_camp	0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_main_combi_region_the_haunted_forest	wh3_main_combi_region_the_haunted_forest	0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_main_combi_region_the_oak_of_ages	wh3_main_combi_region_the_oak_of_ages	0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_main_combi_region_the_sacred_pools	wh3_main_combi_region_the_sacred_pools	0	true	false	false	false
wh3_dlc24_ostankya_teleport_wh3_main_combi_region_the_witchwood	wh3_main_combi_region_the_witchwood	0	true	false	false	false
wh3_dlc25_elspeth_payload_teleport		0	true	false	false	false
wh3_dlc25_underway_teleport_karak_azgal_ie	wh3_main_combi_region_karak_azgal	0	true	false	false	false
wh3_dlc25_underway_teleport_karak_azorn_ie	wh3_main_combi_region_karak_azorn	0	true	false	false	false
wh3_dlc25_underway_teleport_karak_azorn_roc	wh3_main_chaos_region_karak_azorn	0	true	false	false	false
wh3_dlc25_underway_teleport_karak_eight_peaks_ie	wh3_main_combi_region_karak_eight_peaks	0	true	false	false	false
wh3_dlc25_underway_teleport_karak_izor_ie	wh3_main_combi_region_karak_izor	0	true	false	false	false
wh3_dlc25_underway_teleport_karak_kadrin_ie	wh3_main_combi_region_karak_kadrin	0	true	false	false	false
wh3_dlc25_underway_teleport_karak_kadrin_roc	wh3_main_chaos_region_karak_kadrin	0	true	false	false	false
wh3_dlc25_underway_teleport_karak_norn_ie	wh3_main_combi_region_karak_norn	0	true	false	false	false
wh3_dlc25_underway_teleport_karak_vlag_ie	wh3_main_combi_region_karak_vlag	0	true	false	false	false
wh3_dlc25_underway_teleport_karak_vlag_roc	wh3_main_chaos_region_karak_vlag	0	true	false	false	false
wh3_dlc25_underway_teleport_karak_ziflin_ie	wh3_main_combi_region_karak_ziflin	0	true	false	false	false
wh3_dlc25_underway_teleport_karak_ziflin_roc	wh3_main_chaos_region_karak_ziflin	0	true	false	false	false
wh3_dlc25_underway_teleport_karaz_a_karak_ie	wh3_main_combi_region_karaz_a_karak	0	true	false	false	false
wh3_dlc25_underway_teleport_kraka_drak_roc	wh3_main_chaos_region_kraka_drak	0	true	false	false	false
wh3_dlc25_underway_teleport_pillars_of_grungni_roc	wh3_dlc23_chaos_region_pillars_of_grungni	0	true	false	false	false
wh3_dlc25_underway_teleport_uzkulak_ie	wh3_main_combi_region_uzkulak	0	true	false	false	false
wh3_dlc25_underway_teleport_uzkulak_roc	wh3_main_chaos_region_uzkulak	0	true	false	false	false
wh3_dlc25_underway_teleport_zhufbar_roc	wh3_main_chaos_region_zhufbar	0	true	false	false	false
wh3_dlc26_arbaal_payload_teleport		0	true	false	false	false
wh3_dlc26_golgfag_payload_teleport		0	true	false	false	false
wh3_dlc26_skulltaker_payload_teleport		0	true	false	false	false
wh3_dlc27_black_ark_payload_teleport		0	true	false	false	false
wh3_dlc27_sla_ritual_masque_payload_teleport		0	true	false	false	false
wh3_dlc27_wulfrik_payload_teleport		10	true	true	true	true
