type	movement_cost	is_sea	icon	audio_type	standard_cursor	selection_cursor	audio_reverb
#campaign_ground_types_tables;10;db/campaign_ground_types_tables/data__							
chaotic_wasteland	96	false	terrain_tundra.png	earth			field
dense_forest	240	false	terrain_dense_forest.png	earth	terrain_forest_noselect	terrain_forest	forest
desert	112	false	terrain_desert.png	sand	terrain_desert_noselect	terrain_desert	field
grassland	80	false	terrain_grassland_plains.png	earth	terrain_scrub_noselect	terrain_scrub	field
hills	144	false	terrain_hills.png	earth			field
hilly_light_forest	176	false	terrain_hilly_light_forest.png	earth			forest
jungle	192	false	terrain_dense_forest.png	earth	terrain_forest_noselect	terrain_forest	forest
light_forest	112	false	terrain_light_forest.png	earth	terrain_forest_noselect	terrain_forest	forest
marsh	192	false	terrain_marsh.png	water	terrain_marsh_noselect	terrain_marsh	field
mountain	240	false	terrain_mountains.png	rock	terrain_mountain_noselect	terrain_mountain	mountain
plains	80	false	terrain_grassland_plains.png	earth	terrain_plains_noselect	terrain_plains	field
river	2160	false	terrain_shallow_water_lake_coast.png	water	terrain_softground_noselect	terrain_softground	field
sea_coast	75	true	terrain_shallow_water_lake_coast.png	water	terrain_softground_noselect	terrain_softground	field
sea_lake	75	true	terrain_shallow_water_lake_coast.png	water	terrain_softground_noselect	terrain_softground	field
sea_maelstrom	64	true	terrain_ocean.png	water	terrain_ocean_noselect	terrain_ocean	field
sea_ocean	64	true	terrain_ocean.png	water	terrain_ocean_noselect	terrain_ocean	field
sea_reef	192	true	terrain_ocean.png	water	terrain_ocean_noselect	terrain_ocean	field
sea_river	90	true	terrain_shallow_water_lake_coast.png	water	terrain_softground_noselect	terrain_softground	field
swamp	240	false	terrain_marsh.png	water	terrain_marsh_noselect	terrain_marsh	field
tundra	112	false	terrain_tundra.png	sand			field
wasteland	112	false	terrain_desert.png	earth	terrain_desert_noselect	terrain_desert	field
