stance	subculture_record	faction_record	ui_sound_event	enter_event	leave_event	overriding_vo_stance	reverb	obstruction
#audio_campaign_stances_tables;5;db/audio_campaign_stances_tables/data__								
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH			UI_CAM_HUD_Stance_Ambush	Campaign_Structure_Stance_Ambush_Rise	Campaign_Structure_Stance_Ambush_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET			UI_CAM_HUD_Stance_Assemble_Fleet	Campaign_Structure_Stance_Assemble_Fleet_Rise	Campaign_Structure_Stance_Assemble_Fleet_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASTROMANCY			UI_CAM_HUD_Stance_Settle	Campaign_Structure_Stance_Settle_Rise	Campaign_Structure_Stance_Settle_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING			UI_CAM_HUD_Stance_Channeling	Campaign_Structure_Stance_Treasure_Hunt_Rise	Campaign_Structure_Stance_Treasure_Hunt_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT			UI_CAM_HUD_Stance_Default	Campaign_Structure_Stance_Default_Rise	Campaign_Structure_Stance_Deafult_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT	wh2_main_sc_skv_skaven		UI_CAM_HUD_Stance_Settle	Campaign_Structure_Stance_Settle_Rise	Campaign_Structure_Stance_Settle_Fall	MILITARY_FORCE_ACTIVE_STANCE_TYPE_STALKING	false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DISEMBARK			UI_CAM_HUD_Stance_Patrol	Campaign_Structure_Stance_Patrol_Rise	Campaign_Structure_Stance_Patrol_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME			UI_CAM_HUD_Stance_Double_Time	Campaign_Structure_Stance_Double_Time_Rise	Campaign_Structure_Stance_Double_Time_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID			UI_CAM_HUD_Stance_Land_Raid	Campaign_Structure_Stance_Land_Raid_Rise	Campaign_Structure_Stance_Land_Raid_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH			UI_CAM_HUD_Stance_March	Campaign_Structure_Stance_March_Rise	Campaign_Structure_Stance_March_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER			UI_CAM_HUD_Stance_Muster	Campaign_Structure_Stance_Muster_Rise	Campaign_Structure_Stance_Muster_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL			UI_CAM_HUD_Stance_Patrol	Campaign_Structure_Stance_Patrol_Rise	Campaign_Structure_Stance_Patrol_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_RAISE_DEAD			UI_CAM_HUD_Stance_Raise_Dead	Campaign_Structure_Stance_Raise_Dead_Rise	Campaign_Structure_Stance_Raise_Dead_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID			UI_CAM_HUD_Stance_Sea_Raid	Campaign_Structure_Stance_Sea_Raid_Rise	Campaign_Structure_Stance_Sea_Raid_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE			UI_CAM_HUD_Stance_Settle	Campaign_Structure_Stance_Settle_Rise	Campaign_Structure_Stance_Settle_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP			UI_CAM_HUD_Stance_Set_Camp	Campaign_Structure_Stance_Set_Camp_Rise	Campaign_Structure_Stance_Set_Camp_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING			UI_CAM_HUD_Stance_Set_Camp_Raiding	Campaign_Structure_Stance_Set_Camp_Raiding_Rise	Campaign_Structure_Stance_Set_Camp_Raiding_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_STALKING			UI_CAM_HUD_Stance_Settle	Campaign_Structure_Stance_Settle_Rise	Campaign_Structure_Stance_Settle_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING			UI_CAM_HUD_Stance_Tunneling	Campaign_Structure_Stance_Tunneling_Rise	Campaign_Structure_Stance_Tunneling_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh3_main_sc_tze_tzeentch		UI_CAM_HUD_Stance_Channeling	Campaign_Structure_Stance_Treasure_Hunt_Rise	Campaign_Structure_Stance_Treasure_Hunt_Fall		false	false
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh_dlc08_sc_nor_norsca		UI_CAM_HUD_Stance_Channeling	Campaign_Structure_Stance_Treasure_Hunt_Rise	Campaign_Structure_Stance_Treasure_Hunt_Fall		false	false
