operation_set	operation_group
#operation_set_to_operation_group_junctions_tables;0;db/operation_set_to_operation_group_junctions_tables/data__	
wh3_dlc20_operation_set_champions_progress_1	wh3_dlc20_operation_set_champions_progress_1
wh3_dlc20_operation_set_champions_progress_2	wh3_dlc20_operation_set_champions_progress_2
wh3_dlc20_operation_set_champions_progress_3	wh3_dlc20_operation_set_champions_progress_3
wh3_dlc26_operation_set_kho_skull_throne_progress_1	wh3_dlc26_operation_set_kho_skull_throne_progress_1
wh3_dlc26_operation_set_kho_skull_throne_progress_2	wh3_dlc26_operation_set_kho_skull_throne_progress_2
wh3_dlc26_operation_set_kho_skull_throne_progress_3	wh3_dlc26_operation_set_kho_skull_throne_progress_3
wh3_main_operation_set_dae_khorne_1120	wh3_main_operation_set_dae_khorne_1120
wh3_main_operation_set_dae_khorne_1260	wh3_main_operation_set_dae_khorne_1260
wh3_main_operation_set_dae_khorne_1400	wh3_main_operation_set_dae_khorne_1400
wh3_main_operation_set_dae_khorne_140	wh3_main_operation_set_dae_khorne_140
wh3_main_operation_set_dae_khorne_1540	wh3_main_operation_set_dae_khorne_1540
wh3_main_operation_set_dae_khorne_1680	wh3_main_operation_set_dae_khorne_1680
wh3_main_operation_set_dae_khorne_1820	wh3_main_operation_set_dae_khorne_1820
wh3_main_operation_set_dae_khorne_1960	wh3_main_operation_set_dae_khorne_1960
wh3_main_operation_set_dae_khorne_2100	wh3_main_operation_set_dae_khorne_2100
wh3_main_operation_set_dae_khorne_2240	wh3_main_operation_set_dae_khorne_2240
wh3_main_operation_set_dae_khorne_2380	wh3_main_operation_set_dae_khorne_2380
wh3_main_operation_set_dae_khorne_2520	wh3_main_operation_set_dae_khorne_2520
wh3_main_operation_set_dae_khorne_2660	wh3_main_operation_set_dae_khorne_2660
wh3_main_operation_set_dae_khorne_2800	wh3_main_operation_set_dae_khorne_2800
wh3_main_operation_set_dae_khorne_280	wh3_main_operation_set_dae_khorne_280
wh3_main_operation_set_dae_khorne_2940	wh3_main_operation_set_dae_khorne_2940
wh3_main_operation_set_dae_khorne_3080	wh3_main_operation_set_dae_khorne_3080
