key	human_only	payload_base
#ritual_payloads_tables;0;db/ritual_payloads_tables/data__		
empty	false	
wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	false	
wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	false	
wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	false	
wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	false	
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	false	
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	false	
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	false	
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	false	
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	false	
wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	false	
wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	false	
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	false	
wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra	false	
wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	false	
wh2_dlc09_ritual_crafting_tmb_army_capacity	false	
wh2_dlc09_ritual_crafting_tmb_carrion	false	
wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	false	
wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	false	
wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might	false	
wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar	false	
wh2_dlc09_ritual_crafting_tmb_enchanted_item_icon_of_rulership	false	
wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	false	
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_foolhardiness	false	
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed	false	
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	false	
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness	false	
wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth	false	
wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	false	
wh2_dlc09_ritual_crafting_tmb_necropolis_knights	false	
wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen	false	
wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors	false	
wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	false	
wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	false	
wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone	false	
wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra	false	
wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt	false	
wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone	false	
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak	false	
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	false	
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep	false	
wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	false	
wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities	false	
wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	false	
wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace	false	
wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph	false	
wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger	false	
wh2_dlc09_ritual_crafting_tmb_weapon_inscribed_khopesh	false	
wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth	false	
wh2_dlc09_ritual_skv_thirteen_rictus	false	
wh2_dlc09_ritual_tmb_geheb	false	
wh2_dlc09_ritual_tmb_khsar	false	
wh2_dlc09_ritual_tmb_ptra	false	
wh2_dlc09_ritual_tmb_tahoth	false	
wh2_dlc10_dwf_ritual_armour_alriks_armour	false	
wh2_dlc10_dwf_ritual_armour_chainmail_of_speed	false	
wh2_dlc10_dwf_ritual_armour_forgeproven_gromril_armour	false	
wh2_dlc10_dwf_ritual_armour_guardians_plate	false	
wh2_dlc10_dwf_ritual_armour_heavy_gromril_armour	false	
wh2_dlc10_dwf_ritual_armour_helm_of_courage	false	
wh2_dlc10_dwf_ritual_armour_helm_of_resistance	false	
wh2_dlc10_dwf_ritual_armour_helm_of_sanctuary	false	
wh2_dlc10_dwf_ritual_armour_mail_of_concealment	false	
wh2_dlc10_dwf_ritual_armour_shield_of_preservation	false	
wh2_dlc10_dwf_ritual_armour_shield_of_warding	false	
wh2_dlc10_dwf_ritual_armour_starmetal_plate	false	
wh2_dlc10_dwf_ritual_armour_wailing_mail	false	
wh2_dlc10_dwf_ritual_banner_fdb	false	
wh2_dlc10_dwf_ritual_banner_legendary_1	false	
wh2_dlc10_dwf_ritual_enchanted_item_belt_of_fortitude	false	
wh2_dlc10_dwf_ritual_enchanted_item_belt_of_survival	false	
wh2_dlc10_dwf_ritual_enchanted_item_boots_of_swiftness	false	
wh2_dlc10_dwf_ritual_enchanted_item_bracers_of_evasion	false	
wh2_dlc10_dwf_ritual_enchanted_item_bracers_of_preservation	false	
wh2_dlc10_dwf_ritual_enchanted_item_crown_of_courage	false	
wh2_dlc10_dwf_ritual_enchanted_item_drinking_horn	false	
wh2_dlc10_dwf_ritual_enchanted_item_everlasting_pint	false	
wh2_dlc10_dwf_ritual_enchanted_item_gauntlets_of_urgency	false	
wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors	false	
wh2_dlc10_dwf_ritual_enchanted_item_rangers_brooch	false	
wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone	false	
wh2_dlc10_dwf_ritual_enchanted_item_spotters_spyglass	false	
wh2_dlc10_dwf_ritual_talisman_amulet_of_stone	false	
wh2_dlc10_dwf_ritual_talisman_amulet_of_wrath	false	
wh2_dlc10_dwf_ritual_talisman_cloak_of_spellbreaking	false	
wh2_dlc10_dwf_ritual_talisman_forgemasters_ring	false	
wh2_dlc10_dwf_ritual_talisman_miners_charm	false	
wh2_dlc10_dwf_ritual_talisman_ratcleaver_amulet	false	
wh2_dlc10_dwf_ritual_talisman_ring_of_ancestral_wisdom	false	
wh2_dlc10_dwf_ritual_talisman_ring_of_grimnir	false	
wh2_dlc10_dwf_ritual_talisman_ring_of_protection	false	
wh2_dlc10_dwf_ritual_talisman_ring_of_spite	false	
wh2_dlc10_dwf_ritual_talisman_talisman_of_luck	false	
wh2_dlc10_dwf_ritual_talisman_the_ankor_chain	false	
wh2_dlc10_dwf_ritual_talisman_wardstone	false	
wh2_dlc10_dwf_ritual_weapon_axe_of_frostfall	false	
wh2_dlc10_dwf_ritual_weapon_axe_of_fury	false	
wh2_dlc10_dwf_ritual_weapon_black_axe_of_cleaving	false	
wh2_dlc10_dwf_ritual_weapon_elfbane	false	
wh2_dlc10_dwf_ritual_weapon_grim_resolve	false	
wh2_dlc10_dwf_ritual_weapon_hammer_of_eight_peaks	false	
wh2_dlc10_dwf_ritual_weapon_hammer_of_might	false	
wh2_dlc10_dwf_ritual_weapon_hammer_of_parrying	false	
wh2_dlc10_dwf_ritual_weapon_oathhammer	false	
wh2_dlc10_dwf_ritual_weapon_pickaxe_of_breaking	false	
wh2_dlc10_dwf_ritual_weapon_slayers_axe	false	
wh2_dlc10_dwf_ritual_weapon_starbreaker	false	
wh2_dlc10_dwf_ritual_weapon_trollslayer_axe	false	
wh2_dlc10_ritual_def_drakira	false	
wh2_dlc10_ritual_hef_lileath	false	
wh2_dlc10_ritual_hef_morai_heg	false	
wh2_dlc11_ritual_cst_bountiful_treasure	false	
wh2_dlc11_ritual_cst_eternal_service	false	
wh2_dlc11_ritual_cst_queens_cannon	false	
wh2_dlc11_ritual_cst_sea_mist	false	
wh2_dlc11_ritual_def_anath_raema	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_01	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_02	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_03	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_01	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_02	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_03	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_01	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_02	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_03	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_01	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_02	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_03	false	
wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_01	false	
