region	campaign	id	owning_faction	faction_capital	base_population	base_max_population	population	base_gdp	town_wealth	rebel_faction	cultural_originator	rebel_faction_name	settler_rebellions_enabled	capture_prestige	long_description	development_points	base_fertility	slot_cap
#start_pos_regions_tables;10;db/start_pos_regions_tables/data__																		
wh3_dlc20_chaos_region_black_pit	wh3_main_chaos	1680757572	1275399487	true	10000	50000	10000	0	0	wh_dlc03_grn_black_pit	wh_main_sc_grn_greenskins		false	0		0	0	8
wh3_dlc20_chaos_region_chantillon	wh3_main_chaos	2069698352	2240823	false	10000	50000	10000	0	0	wh3_dlc20_brt_march_of_couronne	wh_main_sc_brt_bretonnia		false	0		1	0	4
wh3_dlc20_chaos_region_citadel_of_lead	wh3_main_chaos	1222235242	1894664247	false	10000	50000	10000	0	0	wh3_dlc20_chs_festus	wh_dlc08_sc_nor_norsca		false	0		0	0	8
wh3_dlc20_chaos_region_fort_sollace	wh3_main_chaos	1202004829	1732203237	false	10000	50000	10000	0	0	wh_main_emp_marienburg	wh_main_sc_emp_empire		false	0		0	0	4
wh3_dlc20_chaos_region_grung_zint	wh3_main_chaos	1769149686	1067484327	true	10000	50000	10000	0	0	wh_main_grn_skullsmasherz	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_dlc20_chaos_region_losteriksons_landing	wh3_main_chaos	817789272	1894664247	true	10000	50000	10000	0	0	wh_dlc08_nor_vanaheimlings	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_dlc20_chaos_region_neuland	wh3_main_chaos	1571134189	1443494585	false	10000	50000	10000	0	0	wh_dlc08_nor_vanaheimlings	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_dlc20_chaos_region_tancred_castle	wh3_main_chaos	984838556	2240823	true	10000	50000	10000	0	0	wh3_dlc20_brt_march_of_couronne	wh_main_sc_brt_bretonnia		false	0		1	0	10
wh3_dlc20_chaos_region_wreckers_point	wh3_main_chaos	950494478	1275399487	false	10000	50000	10000	0	0	wh_dlc03_grn_black_pit	wh_main_sc_grn_greenskins		false	0		0	0	4
wh3_dlc20_combi_region_dragons_death	wh3_main_combi	1883949420	1731586231	true	10000	50000	10000	0	0	wh3_dlc20_chs_kholek	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_dlc20_combi_region_glacial_gardens	wh3_main_combi	153312928		false	10000	50000	10000	0	0	wh2_main_nor_mung	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_dlc20_combi_region_glacier_encampment	wh3_main_combi	2009841726	2122407046	false	10000	50000	10000	0	0	wh2_main_nor_mung	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_dlc20_combi_region_krudenwald	wh3_main_combi	1653738413	815669351	false	10000	50000	10000	0	0	wh_main_emp_hochland	wh_main_sc_emp_empire		false	0		0	0	4
wh3_dlc23_chaos_region_anurells_tomb	wh3_main_chaos	221630118	458989752	false	10000	50000	10000	0	0	wh2_dlc15_hef_imrik	wh2_main_sc_hef_high_elves		false	0		0	0	4
wh3_dlc23_chaos_region_deadrock_gap	wh3_main_chaos	1343965363	795173571	false	10000	50000	10000	0	0	wh_main_dwf_karak_azul	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_dlc23_chaos_region_desolation_of_drakenmoor	wh3_main_chaos	996881966	2016479166	false	10000	50000	10000	0	0	wh3_main_grn_drippin_fangs	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_dlc23_chaos_region_flayed_rock	wh3_main_chaos	300026144	1906341843	false	10000	50000	10000	0	0	wh3_dlc23_chd_legion_of_azgorh	wh3_dlc23_sc_chd_chaos_dwarfs		false	0		0	0	4
wh3_dlc23_chaos_region_gash_kadrak	wh3_main_chaos	985611912	1179515434	false	10000	50000	10000	0	0	wh3_dlc23_chd_conclave	wh3_dlc23_sc_chd_chaos_dwarfs		false	0		0	0	4
wh3_dlc23_chaos_region_pillars_of_grungni	wh3_main_chaos	1814342214	795173571	true	10000	50000	10000	0	0	wh_main_dwf_karak_azul	wh_main_sc_dwf_dwarfs		false	0		0	0	8
wh3_dlc23_chaos_region_the_haunted_forest	wh3_main_chaos	2080176135	366320064	true	10000	50000	10000	0	0	wh3_main_vmp_caravan_of_blue_roses	wh_dlc05_sc_wef_wood_elves		false	0		0	0	8
wh3_dlc23_combi_region_blasted_expanse	wh3_main_combi	1511723583	1436269821	false	100000	50000	10000	0	0	wh3_main_grn_drippin_fangs	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_dlc23_combi_region_fort_dorznye_vort	wh3_main_combi	780953225	1595842783	true	100000	50000	10000	0	0	wh3_main_grn_slaves_of_zharr	wh3_dlc23_sc_chd_chaos_dwarfs		false	0		0	0	4
wh3_dlc23_combi_region_gash_kadrak	wh3_main_combi	1644864848	835127146	false	100000	50000	10000	0	0	wh3_dlc23_chd_conclave	wh3_dlc23_sc_chd_chaos_dwarfs		false	0		0	0	4
wh3_dlc23_combi_region_uzkulak_port	wh3_main_combi	219774495	827911745	false	10000	50000	10000	0	0	wh3_dlc23_chd_astragoth	wh3_dlc23_sc_chd_chaos_dwarfs		false	0		0	0	4
wh3_main_chaos_region_altar_of_spawns	wh3_main_chaos	1086213335	750002534	true	10000	50000	10000	0	0	wh_main_grn_black_venom	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_main_chaos_region_altar_of_the_crimson_harvest	wh3_main_chaos	635317353	1043860424	false	10000	50000	10000	0	0	wh3_dlc20_chs_vilitch	wh_dlc08_sc_nor_norsca		false	0		0	0	8
wh3_main_chaos_region_altdorf	wh3_main_chaos	723251235	1163265541	true	10000	50000	10000	0	0	wh_main_emp_empire	wh_main_sc_emp_empire		false	0		0	0	10
wh3_main_chaos_region_amblepeak	wh3_main_chaos	1178862340	40719351	false	10000	50000	10000	0	0	wh3_main_ogr_crossed_clubs	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_bay_of_blades	wh3_main_chaos	1316332826	1443494585	false	10000	50000	10000	0	0	wh_main_nor_skaeling	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_main_chaos_region_bechafen	wh3_main_chaos	449943561	784436951	true	10000	50000	10000	0	0	wh_main_emp_ostermark	wh_main_sc_emp_empire		false	0		0	0	8
wh3_main_chaos_region_black_fang	wh3_main_chaos	1423965002	1741011521	false	10000	50000	10000	0	0	wh3_main_ogr_fulg	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_black_fortress	wh3_main_chaos	895818041	1906341843	true	10000	50000	10000	0	0	wh3_dlc23_chd_legion_of_azgorh	wh3_dlc23_sc_chd_chaos_dwarfs		false	0		0	0	8
wh3_main_chaos_region_black_gulch	wh3_main_chaos	348773056	1830215129	true	10000	50000	10000	0	0	wh2_dlc12_skv_clan_mange	wh2_main_sc_skv_skaven		false	0		0	0	4
wh3_main_chaos_region_black_rock	wh3_main_chaos	2003124728	677383490	true	10000	50000	10000	0	0	wh3_main_kho_crimson_skull	wh_main_sc_chs_chaos		false	0		0	0	8
wh3_main_chaos_region_blackstone_tower	wh3_main_chaos	1390713214	612879378	false	10000	50000	10000	0	0	wh_main_dwf_karak_ziflin	wh_main_sc_dwf_dwarfs		false	0		0	0	4
