key	group	is_reversed	max_camera_distance	max_influence	max_influence_distance	max_visual_attenuation	min_camera_distance	min_influence_distance	priority
#audio_sphere_of_influences_tables;0;db/audio_sphere_of_influences_tables/data__									
Rogue_Idol_attack	combat	false	60.0000	0.2500	50.0000	0.9000	12.0000	12.0000	0.9000
dread_saurian_attack	combat	false	60.0000	0.4500	50.0000	0.9000	12.0000	12.0000	0.9000
dread_saurian_scream	combat	false	50.0000	0.3500	40.0000	0.9000	10.0000	10.0000	0.9000
hero_combat	hero	false	25.0000	0.1000	40.0000	1.0000	10.0000	20.0000	0.1000
hero_default	hero	false	15.0000	0.0500	40.0000	1.0000	8.0000	20.0000	0.2500
huge_creature_combat	combat	false	22.5000	0.3000	45.0000	1.0000	12.0000	15.0000	0.5000
kharibdyss_scream	combat	false	50.0000	0.7000	40.0000	0.6000	10.0000	10.0000	0.9000
large_creature_combat	combat	false	15.0000	0.1500	30.0000	1.0000	8.0000	10.0000	0.2500
large_explosion	explosion	false	50.0000	0.1500	20.0000	0.6000	30.0000	10.0000	0.7000
magic_global_mute	magic	false	250.0000	1.0000	550.0000	1.0000	50.0000	150.0000	1.0000
magic_total_mute	magic	false	500.0000	1.0000	1100.0000	1.0000	100.0000	1000.0000	1.0000
magic_vortex_outside_ducked	magic	false	500.0000	0.5000	500.0000	1.0000	50.0000	50.0000	1.0000
magic_vortex_outside_ducked_wider	magic	false	600.0000	0.6000	600.0000	1.0000	50.0000	25.0000	1.0000
magic_vortex_outside_mute	magic	true	20.0000	1.0000	16.0000	1.0000	14.0000	15.0000	1.0000
matched_combat	combat	false	25.0000	0.2000	40.0000	1.0000	10.0000	20.0000	0.3500
sphere_troglodon_primeval_roar_ability	combat	false	50.0000	0.2500	40.0000	0.9000	10.0000	10.0000	0.9000
