key	table_name	patch_key
#twad_key_patches_tables;0;db/twad_key_patches_tables/data__		
wh2_dlc12_anc_arcane_item_brt_morgianas_mirror	ancillaries	wh2_dlc12_anc_enchanted_item_brt_morgianas_mirror
wh3_dlc20_anc_weapon_axe_of_khorne	ancillaries	wh3_main_anc_weapon_axe_of_khorne
wh3_main_anc_caravan_Bejewelled_Dagger	ancillaries	wh3_main_anc_caravan_bejewelled_dagger
wh3_main_anc_caravan_Frost_Wyrm_Skull	ancillaries	wh3_main_anc_caravan_frost_wyrm_skull
wh3_main_anc_caravan_Frozen_Pendant	ancillaries	wh3_main_anc_caravan_frozen_pendant
wh3_main_anc_caravan_Grant_of_Land	ancillaries	wh3_main_anc_caravan_grant_of_land
wh3_main_anc_caravan_Gryphon_Legion_Lance	ancillaries	wh3_main_anc_caravan_gryphon_legion_lance
wh3_main_anc_caravan_Luminark_Lens	ancillaries	wh3_main_anc_caravan_luminark_lens
wh3_main_anc_caravan_Sky_Titan_Relic	ancillaries	wh3_main_anc_caravan_sky_titan_relic
wh3_main_anc_caravan_Spy_in_Court	ancillaries	wh3_main_anc_caravan_spy_in_court
wh3_main_anc_caravan_Statue_of_Zharr	ancillaries	wh3_main_anc_caravan_statue_of_zharr
wh3_main_anc_caravan_Von_Carstein_Blade	ancillaries	wh3_main_anc_caravan_von_carstein_blade
wh3_main_anc_caravan_Warrant_of_Trade	ancillaries	wh3_main_anc_caravan_warrant_of_trade
wh2_dlc12_anc_arcane_item_brt_morgianas_mirror	ancillary_info	wh2_dlc12_anc_enchanted_item_brt_morgianas_mirror
wh3_dlc20_anc_weapon_axe_of_khorne	ancillary_info	wh3_main_anc_weapon_axe_of_khorne
wh3_main_anc_caravan_Bejewelled_Dagger	ancillary_info	wh3_main_anc_caravan_bejewelled_dagger
wh3_main_anc_caravan_Frost_Wyrm_Skull	ancillary_info	wh3_main_anc_caravan_frost_wyrm_skull
wh3_main_anc_caravan_Frozen_Pendant	ancillary_info	wh3_main_anc_caravan_frozen_pendant
