pooled_resource	faction	pooled_resource_distributed	entities_disabled_by_default
#pooled_resource_distributions_tables;0;db/pooled_resource_distributions_tables/data__			
wh3_dlc23_chd_labour_global_temp	wh3_dlc23_chd_astragoth	wh3_dlc23_chd_labour	true
wh3_dlc23_chd_labour_global_temp	wh3_dlc23_chd_chaos_dwarfs_qb1	wh3_dlc23_chd_labour	true
wh3_dlc23_chd_labour_global_temp	wh3_dlc23_chd_chaos_dwarfs_qb2	wh3_dlc23_chd_labour	true
wh3_dlc23_chd_labour_global_temp	wh3_dlc23_chd_chaos_dwarfs_qb3	wh3_dlc23_chd_labour	true
wh3_dlc23_chd_labour_global_temp	wh3_dlc23_chd_chaos_dwarfs_rebels	wh3_dlc23_chd_labour	true
wh3_dlc23_chd_labour_global_temp	wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_labour	true
wh3_dlc23_chd_labour_global_temp	wh3_dlc23_chd_conclave	wh3_dlc23_chd_labour	true
wh3_dlc23_chd_labour_global_temp	wh3_dlc23_chd_legion_of_azgorh	wh3_dlc23_chd_labour	true
wh3_dlc23_chd_labour_global_temp	wh3_dlc23_chd_minor_faction	wh3_dlc23_chd_labour	true
wh3_dlc23_chd_labour_global_temp	wh3_dlc23_chd_zhatan	wh3_dlc23_chd_labour	true
wh3_dlc23_chd_labour_global_temp	wh3_dlc25_chd_chaos_dwarfs_invasion	wh3_dlc23_chd_labour	true
