feature	slot_set_type
#slot_set_type_feature_junctions_tables;0;db/slot_set_type_feature_junctions_tables/data__	
convert_on_confederate	ALLIED
allow_allied_outpost_construction	BLACK_TOWER
can_use_on_own_settlements	BLACK_TOWER
convert_on_confederate	BLACK_TOWER
grant_allied_region_owner_armed_citizenry	BLACK_TOWER
grant_neutral_region_owner_armed_citizenry	BLACK_TOWER
keep_on_occupy_own	BLACK_TOWER
remove_when_at_war	BLACK_TOWER
remove_when_different_culture	BLACK_TOWER
convert_on_confederate	CULT
use_discoverability_feature	CULT
keep_on_raze	HIDDEN_CULT
prevent_faction_death	HIDDEN_CULT
use_discoverability_feature	HIDDEN_CULT
grant_neutral_region_owner_armed_citizenry	MINOR_CULT_CANNOT_REMOVE
region_owner_cannot_remove	MINOR_CULT_CANNOT_REMOVE
use_discoverability_feature	MINOR_CULT_CANNOT_REMOVE
grant_neutral_region_owner_armed_citizenry	MINOR_CULT
use_discoverability_feature	MINOR_CULT
keep_on_occupy_own	NOR_TRAP
convert_on_confederate	PIRATE_COVE
allow_allied_outpost_construction	SEA_PATROL_OUTPOST
convert_on_confederate	SEA_PATROL_OUTPOST
grant_allied_region_owner_armed_citizenry	SEA_PATROL_OUTPOST
grant_neutral_region_owner_armed_citizenry	SEA_PATROL_OUTPOST
remove_when_at_war	SEA_PATROL_OUTPOST
remove_when_different_culture	SEA_PATROL_OUTPOST
can_use_on_own_settlements	SILENT_SANCTUM
keep_on_occupy_own	SILENT_SANCTUM
keep_on_raze	SILENT_SANCTUM
allow_allied_outpost_construction	TYRANTS_DEMANDS
can_use_on_own_settlements	UNDERDEEP
convert_on_confederate	UNDERDEEP
grant_allied_region_owner_armed_citizenry	UNDERDEEP
keep_on_occupy_own	UNDERDEEP
can_use_on_own_settlements	UNDEREMPIRE_ENDGAME
keep_on_occupy_own	UNDEREMPIRE_ENDGAME
region_owner_cannot_remove	UNDEREMPIRE_ENDGAME
use_discoverability_feature	UNDEREMPIRE_ENDGAME
convert_on_confederate	UNDEREMPIRE
use_discoverability_feature	UNDEREMPIRE
allow_allied_outpost_construction	VAMPIRE_COVEN
region_owner_cannot_remove	VAMPIRE_COVEN
use_discoverability_feature	VAMPIRE_COVEN
exclude_from_building_browser	VAMPIRE_LAIR_COMPLETE
region_owner_cannot_remove	VAMPIRE_LAIR_COMPLETE
suppress_construct_action_instruction	VAMPIRE_LAIR_COMPLETE
use_discoverability_feature	VAMPIRE_LAIR_COMPLETE
exclude_from_building_browser	VAMPIRE_LAIR_FOREIGN
keep_on_occupy_own	VAMPIRE_LAIR_FOREIGN
keep_on_raze	VAMPIRE_LAIR_FOREIGN
region_owner_cannot_remove	VAMPIRE_LAIR_FOREIGN
suppress_construct_action_instruction	VAMPIRE_LAIR_FOREIGN
use_discoverability_feature	VAMPIRE_LAIR_FOREIGN
allow_allied_outpost_construction	VAMPIRE_LAIR_OWN_COMPLETE
can_use_on_own_settlements	VAMPIRE_LAIR_OWN_COMPLETE
exclude_from_building_browser	VAMPIRE_LAIR_OWN_COMPLETE
keep_on_occupy_own	VAMPIRE_LAIR_OWN_COMPLETE
region_owner_cannot_remove	VAMPIRE_LAIR_OWN_COMPLETE
suppress_construct_action_instruction	VAMPIRE_LAIR_OWN_COMPLETE
allow_allied_outpost_construction	VAMPIRE_LAIR_OWN
can_use_on_own_settlements	VAMPIRE_LAIR_OWN
exclude_from_building_browser	VAMPIRE_LAIR_OWN
keep_on_occupy_own	VAMPIRE_LAIR_OWN
region_owner_cannot_remove	VAMPIRE_LAIR_OWN
suppress_construct_action_instruction	VAMPIRE_LAIR_OWN
