key	state	sort_order
#ui_unit_bullet_point_enums_tables;3;db/ui_unit_bullet_point_enums_tables/data__		
always_flying	negative	201
anti_infantry	positive	4
anti_large	positive	5
anti_magic	positive	65
aquatic	positive	65
armed_to_da_teef	positive	5
armour_piercing	positive	3
armour_piercing_melee	positive	3
armour_piercing_ranged	positive	3
armour_sundering	positive	20
armoured	positive	1
armoured_and_shielded	positive	1
att_average_negative	positive	2
att_average_positive	positive	2
att_charge_strong	very_positive	0
att_excellent	very_positive	0
att_good	positive	1
att_high	positive	1
att_low	negative	3
att_poor	negative	3
att_very_poor	very_negative	4
attuned_to_magic	positive	79
aura_of_transmutation	positive	0
ballistics_expert	positive	0
barrier	positive	2
battle_prayers	positive	0
beam_of_chotec	positive	32
bigger_harder	positive	41
bonus_vs_close_to_death	positive	3
bound_fire_daemon	positive	0
bows_of_avelorn	positive	50
can_attack_buildings	positive	15
can_attack_gates	positive	16
can_attack_walls	positive	14
can_fly	positive	82
cant_attack_air	negative	153
chameleon	positive	20
chaos_warshrine	positive	1
charge_reflector	positive	42
charge_reflector_vs_large	positive	42
charmed_attacks	positive	48
chilling_aura	positive	43
collision_attacks	positive	4
concealment_bombs	positive	54
contempt	positive	63
cumbersome	negative	20
cursed_ammunition	positive	0
da_great_green_wallop	positive	20
daemon_of_khorne	positive	1
daemon_of_nurgle	positive	1
daemon_of_slaanesh	positive	1
daemon_of_tzeentch	positive	1
daemon_prince	positive	0
damage_dealer	positive	6
death_from_above	positive	80
death_globe	positive	0
deathblow	positive	62
decent_melee	positive	11
defender	positive	60
deflect_shots	positive	63
dlc17_blazing_sun_extra_cost	negative	200
dodge	positive	81
doomfire	positive	43
dragon_armour	positive	1
dragon_breath_chaos	positive	0
dragon_breath_hydra	positive	0
dragon_breath_moon	positive	0
dragon_breath_noxious	positive	0
dragon_breath_star	positive	0
dragon_breath_sun	positive	0
duellist	positive	46
dying_corruption	positive	0
elite_unit	positive	0
ethereal	positive	7
evocation_of_death	positive	0
expendable	positive	50
exploding_spores	positive	0
explosive	positive	0
fast_dwarf	positive	40
fire_whilst_moving	positive	70
flaming_attacks	positive	65
forest_spirit	positive	1
forest_stalker	positive	1
forest_strider	positive	77
frenzy	positive	21
frost_breath_hydra	positive	0
frostbite	positive	15
gnoblar_traps	positive	40
goblin_mangonel	positive	19
good_against_gates	positive	45
good_against_gates_assassin	positive	45
good_range	positive	10
guided_projectile	positive	19
harmony_amplifier_125	positive	1
harmony_amplifier_150	positive	1
harmony_amplifier_175	positive	1
harmony_amplifier_200	positive	1
hellforged	positive	1
hybrid	positive	0
improved_bombing	positive	21
inspiring_attack	positive	0
large_bst	positive	72
light_of_death	positive	43
lion_cloak	positive	67
lion_pelt	positive	67
living_saints	positive	2
low_rate_of_fire	negative	171
lucky_gorduz	positive	0
madness_of_khaine	positive	20
magic_armour	positive	0
magic_disruption	positive	0
magic_harvester	positive	0
magical_aura	positive	47
mark_of_asuryan	positive	62
martial_mastery	positive	68
mass_regeneration	positive	0
master_ambusher	positive	49
master_of_sacred_places	positive	0
meat_shield	positive	52
melee_expert	positive	6
multishot	positive	69
murderous_mastery	positive	68
mutually_exclusive_abilities	positive	48
no_friendly_fire	positive	78
ogr_ironfist	positive	1
ogre_charge	positive	10
old_grumblers	positive	61
perfect_vigour	positive	31
piercing_projectiles	positive	1
placeholder	positive	0
plague_censer	positive	0
plagueclaw_contagion	positive	0
poison	positive	48
poison_wind_globes	positive	0
poor_accuracy	negative	132
poor_morale	negative	152
precursor_missile	positive	0
predatory_senses	positive	71
primal_fury	positive	0
primal_instincts	positive	76
rampage	negative	66
ranged_attack	positive	13
reaver_bows	positive	3
rebirth	positive	78
regeneration	positive	34
regeneration_ability	positive	0
revivification_crystal	positive	0
river_troll	positive	0
runic_magic	positive	0
scaling_damage	positive	0
scaly_skin	positive	22
sea_dragon_cloak	positive	1
shieldbreaker	positive	0
shielded	positive	1
snare_net	positive	53
sniping	positive	74
solheims_bolt	positive	43
soporific_musk	positive	49
spellcaster	positive	0
stalk	positive	20
stockpiles	positive	0
swiftshiver_shards	positive	75
terror	positive	18
too_horrible_to_die	positive	0
torch_of_bogenhafen	positive	0
transform	very_positive	0
unbreakable	positive	51
undying_will	positive	74
unstoppable	positive	0
vanguard_deployment	positive	14
very_fast	positive	12
ward_physical	positive	17
wardance	positive	73
warpaint	positive	44
warpfire	positive	0
warpflame	positive	3
weak_anti_armour	negative	130
weeping_blade	positive	0
whirling_axes	positive	63
yang	positive	1
yin	positive	1
zzzzap	positive	0
