key	default_budget_allocation_key	short_description	long_description
#cai_personalities_budget_policies_tables;1;db/cai_personalities_budget_policies_tables/data__			
wh3_budget_policy_armaments	wh3_budget_allocation_pooled_resource_armaments		
wh3_budget_policy_beastmen	wh3_budget_allocation_beastmen		
wh3_budget_policy_builder	wh3_budget_allocation_builder		
wh3_budget_policy_chaos	wh3_budget_allocation_chaos		
wh3_budget_policy_chaos_dwarfs	wh3_budget_allocation_chaos_dwarfs		
wh3_budget_policy_dechala	wh3_budget_allocation_dechala		
wh3_budget_policy_default	wh3_budget_allocation_default		
wh3_budget_policy_militaristic	wh3_budget_allocation_militaristic		
wh3_budget_policy_militaristic_naval	wh3_budget_allocation_militaristic_naval		
wh3_budget_policy_nurgle_infections	wh3_budget_allocation_pooled_resource_infections		
wh3_budget_policy_ogre_meat_construction	wh3_budget_allocation_pooled_resource_meat_CAI		
wh3_budget_policy_only_agent	wh3_only_agent		
wh3_budget_policy_pooled_resource_decadence	wh3_budget_allocation_pooled_resource_construction_only		
wh3_budget_policy_pooled_resource_elven_trade	wh3_budget_allocation_pooled_resource_elven_trade		
wh3_budget_policy_pooled_resource_kinfolk	wh3_budget_allocation_pooled_resource_construction_only		
wh3_budget_policy_pooled_resource_naval_supplies	wh3_budget_allocation_pooled_resource_construction_only		
wh3_budget_policy_pooled_resource_spoils	wh3_budget_allocation_pooled_resource_spoils		
wh3_budget_policy_pooled_resource_thralls	wh3_budget_allocation_pooled_resource_thralls		
wh3_budget_policy_raw_materials	wh3_budget_allocation_pooled_resource_raw_materials		
wh3_budget_policy_rogue	wh3_budget_allocation_rogue		
wh3_budget_policy_sacred_spawnings	wh3_budget_allocation_pooled_resource_sacred_spawnings		
wh3_budget_policy_tombking	wh3_budget_allocation_tombking		
wh3_prologue_active	wh3_prologue_active		
wh3_prologue_passive	wh3_prologue_passive		
