key	agents_funding_cap	agents_funds_allocation_percentage	agents_percentage_of_pool_to_save_on_fail	agents_turns_of_inactivity_until_cap	army_funding_cap	army_funds_allocation_percentage	army_percentage_of_pool_to_save_on_fail	army_turns_of_inactivity_until_cap	construction_funding_cap	construction_funds_allocation_percentage	construction_percentage_of_pool_to_save_on_fail	construction_turns_of_inactivity_until_cap	diplomacy_funding_cap	diplomacy_funds_allocation_percentage	diplomacy_percentage_of_pool_to_save_on_fail	diplomacy_turns_of_inactivity_until_cap	navy_funding_cap	navy_funds_allocation_percentage	navy_percentage_of_pool_to_save_on_fail	navy_turns_of_inactivity_until_cap	minimum_settable_tax_level	maximum_settable_tax_level	technology_funds_allocation_percentage	technology_turns_of_inactivity_until_cap	technology_funding_cap	technology_percentage_of_pool_to_save_on_fail	army_upkeep_allocation_percentage	navy_upkeep_allocation_percentage	agents_upkeep_allocation_percentage	construction_upkeep_allocation_percentage	diplomacy_upkeep_allocation_percentage	technology_upkeep_allocation_percentage	character_funds_allocation_percentage	character_turns_of_inactivity_until_cap	character_funding_cap	character_percentage_of_pool_to_save_on_fail	character_upkeep_allocation_percentage
#cai_personalities_budget_allocations_tables;3;db/cai_personalities_budget_allocations_tables/data__																																					
wh3_budget_allocation_beastmen	1000	3	0	4	2000	40	50	4	2000	55	100	4	1000	2	100	4	0	0	50	6	tax_normal	tax_normal	0	-1	0	0	100	0	0	0	0	0	0	-1	0	0	0
wh3_budget_allocation_builder	1000	3	0	4	6000	50	50	4	3000	45	100	4	1000	2	100	4	0	0	50	6	tax_normal	tax_normal	0	-1	0	0	100	0	0	0	0	0	0	-1	0	0	0
wh3_budget_allocation_chaos	1000	3	0	4	6000	65	50	4	3000	30	100	4	1000	2	100	4	0	0	50	6	tax_normal	tax_normal	0	-1	0	0	100	0	0	0	0	0	0	-1	0	0	0
wh3_budget_allocation_chaos_dwarfs	1000	3	0	4	6000	65	50	4	3000	30	100	4	1000	2	100	4	0	0	50	6	tax_normal	tax_normal	0	-1	0	0	100	0	0	0	0	0	0	-1	0	0	0
wh3_budget_allocation_default	1000	3	0	4	6000	55	50	4	3000	40	100	4	1000	2	100	4	0	0	50	6	tax_normal	tax_normal	0	-1	0	0	100	0	0	0	0	0	0	-1	0	0	0
wh3_budget_allocation_militaristic	1000	3	0	4	6000	60	50	4	3000	35	100	4	1000	2	100	4	0	0	50	6	tax_normal	tax_normal	0	-1	0	0	100	0	0	0	0	0	0	-1	0	0	0
wh3_budget_allocation_militaristic_naval	1000	3	0	4	6000	50	50	4	3000	35	100	4	1000	2	100	4	2000	10	100	4	tax_normal	tax_normal	0	-1	0	0	85	15	0	0	0	0	0	-1	0	0	0
wh3_budget_allocation_pooled_resource_armaments	0	0	0	-1	0	0	0	-1	500	50	100	20	0	0	0	-1	0	0	0	-1	tax_normal	tax_normal	0	-1	0	0	0	0	0	0	0	0	50	-1	0	0	0
wh3_budget_allocation_pooled_resource_raw_materials	0	0	0	-1	0	0	0	-1	0	100	100	99	0	0	0	-1	0	0	0	-1	tax_normal	tax_normal	0	-1	0	0	0	0	0	100	0	0	0	-1	0	0	0
wh3_budget_allocation_rogue	1000	3	0	4	6000	80	50	4	3000	15	100	4	1000	2	100	4	0	0	50	6	tax_normal	tax_normal	0	-1	0	0	100	0	0	0	0	0	0	-1	0	0	0
wh3_budget_allocation_tombking	1000	3	0	4	1000	1	50	4	3000	95	100	4	1000	2	100	4	0	0	50	6	tax_normal	tax_normal	0	-1	0	0	100	0	0	0	0	0	0	-1	0	0	0
wh3_only_agent	1000	100	0	4	0	0	0	4	0	0	0	-1	0	0	0	-1	0	0	0	-1	tax_normal	tax_normal	0	-1	0	0	100	0	0	0	0	0	0	-1	0	0	0
wh3_prologue_active	1000	5	0	4	1000	50	50	4	0	45	100	-1	0	0	0	-1	0	0	0	-1	tax_normal	tax_normal	0	-1	0	0	100	0	0	0	0	0	0	-1	0	0	0
wh3_prologue_passive	0	0	0	-1	1000	25	50	-1	0	25	100	-1	0	0	0	-1	0	0	0	-1	tax_normal	tax_normal	0	-1	0	0	100	0	0	0	0	0	0	-1	0	0	0
