payload	transaction	is_transfer
#ritual_payload_resource_transactions_tables;1;db/ritual_payload_resource_transactions_tables/data__		
wh2_dlc12_tehenhauin_sacrifice_blessed_carnosaur_0	wh2_dlc12_tehenhauin_sacrifice_blessed_carnosaur_0	false
wh2_dlc12_tehenhauin_sacrifice_blessed_chameleon_0	wh2_dlc12_tehenhauin_sacrifice_blessed_chameleon_0	false
wh2_dlc12_tehenhauin_sacrifice_blessed_cold_one_cav_0	wh2_dlc12_tehenhauin_sacrifice_blessed_cold_one_cav_0	false
wh2_dlc12_tehenhauin_sacrifice_blessed_kroxigors	wh2_dlc12_tehenhauin_sacrifice_blessed_kroxigors	false
wh2_dlc12_tehenhauin_sacrifice_blessed_saurus_spears_1	wh2_dlc12_tehenhauin_sacrifice_blessed_saurus_spears_1	false
wh2_dlc12_tehenhauin_sacrifice_blessed_stegadon_1	wh2_dlc12_tehenhauin_sacrifice_blessed_stegadon_1	false
wh2_dlc12_tehenhauin_sacrifice_blessed_temple_guards	wh2_dlc12_tehenhauin_sacrifice_blessed_temple_guards	false
wh2_dlc12_tehenhauin_sacrifice_blessed_terradon_riders_1	wh2_dlc12_tehenhauin_sacrifice_blessed_terradon_riders_1	false
wh2_dlc13_ritual_temple_itzl_2_saurus_warriors	wh2_dlc13_ritual_temple_itzl_2_saurus_warriors	false
wh2_dlc13_ritual_temple_itzl_3_horned_ones	wh2_dlc13_ritual_temple_itzl_3_horned_ones	false
wh2_dlc13_ritual_temple_itzl_4_kroxigors	wh2_dlc13_ritual_temple_itzl_4_kroxigors	false
wh2_dlc13_ritual_temple_itzl_5_carnosaur	wh2_dlc13_ritual_temple_itzl_5_carnosaur	false
wh2_dlc13_ritual_temple_quetzl_1_skink_skirmishers	wh2_dlc13_ritual_temple_quetzl_1_skink_skirmishers	false
wh2_dlc13_ritual_temple_quetzl_2_saurus_spears	wh2_dlc13_ritual_temple_quetzl_2_saurus_spears	false
wh2_dlc13_ritual_temple_quetzl_4_cold_one_spears	wh2_dlc13_ritual_temple_quetzl_4_cold_one_spears	false
wh2_dlc13_ritual_temple_quetzl_5_stegadon	wh2_dlc13_ritual_temple_quetzl_5_stegadon	false
wh2_dlc13_ritual_temple_xholankha_2_blessed_terradon	wh2_dlc13_ritual_temple_xholankha_2_blessed_terradon	false
wh2_dlc13_ritual_temple_xholankha_4_blessed_temple_guard	wh2_dlc13_ritual_temple_xholankha_4_blessed_temple_guard	false
wh2_dlc13_ritual_temple_xholankha_5_blessed_stegadon_solar	wh2_dlc13_ritual_temple_xholankha_5_blessed_stegadon_solar	false
wh2_dlc14_eshin_actions_payload_big_robbery	wh2_dlc14_eshin_actions_big_robbery	true
wh2_dlc14_eshin_actions_payload_extra_rations	wh2_dlc14_eshin_actions_payload_extra_rations	false
wh2_dlc14_eshin_actions_payload_steal_food	wh2_dlc14_eshin_actions_steal_food	false
wh2_dlc14_eshin_actions_payload_steal_money	wh2_dlc14_eshin_actions_steal_money	true
wh2_dlc14_eshin_actions_payload_target_big_robbery	wh2_dlc14_eshin_actions_target_big_robbery	false
wh2_dlc14_eshin_actions_payload_target_steal_food	wh2_dlc14_eshin_actions_target_steal_food	false
wh2_dlc14_eshin_actions_payload_target_steal_money	wh2_dlc14_eshin_actions_target_steal_money	false
wh2_dlc14_eshin_contracts_mors_moulder_1	wh2_dlc14_eshin_contract_payload_mors_moulder_1	false
wh2_dlc14_eshin_contracts_mors_moulder_2	wh2_dlc14_eshin_contract_payload_mors_moulder_2	false
wh2_dlc14_eshin_contracts_mors_moulder_3	wh2_dlc14_eshin_contract_payload_mors_moulder_3	false
