parent_task_generator_group	task_generator_group	precedence	inheritance_is_additive
#cai_task_management_system_task_generator_group_overrides_tables;1;db/cai_task_management_system_task_generator_group_overrides_tables/data__			
wh3_combi_tms_generator_group_beastmen	wh3_combi_tms_generator_group_beastmen_khazrak	0	false
wh3_combi_tms_generator_group_beastmen	wh3_combi_tms_generator_group_beastmen_malagor	0	false
wh3_combi_tms_generator_group_beastmen	wh3_combi_tms_generator_group_beastmen_minor	0	false
wh3_combi_tms_generator_group_minor_additive	wh3_combi_tms_generator_group_beastmen_minor	0	true
wh3_combi_tms_generator_group_beastmen	wh3_combi_tms_generator_group_beastmen_morghur	0	false
wh3_combi_tms_generator_group_beastmen	wh3_combi_tms_generator_group_beastmen_taurox	0	false
wh3_combi_tms_generator_group_brutal_override	wh3_combi_tms_generator_group_beastmen_taurox	1	false
wh3_combi_tms_generator_group_aggressive_additive	wh3_combi_tms_generator_group_beastmen	0	true
wh3_combi_tms_generator_group_beastmen_specific_additive	wh3_combi_tms_generator_group_beastmen	0	true
wh3_combi_tms_generator_group_horde	wh3_combi_tms_generator_group_beastmen	0	false
wh3_combi_tms_generator_group_raider_additive	wh3_combi_tms_generator_group_beastmen	0	true
wh3_combi_tms_generator_group_bretonnia	wh3_combi_tms_generator_group_bretonnia_alberic	0	false
wh3_combi_tms_generator_group_bretonnia	wh3_combi_tms_generator_group_bretonnia_fayenchantress	0	false
wh3_combi_tms_generator_group_bretonnia	wh3_combi_tms_generator_group_bretonnia_louen	0	false
wh3_combi_tms_generator_group_bretonnia	wh3_combi_tms_generator_group_bretonnia_minor	0	false
wh3_combi_tms_generator_group_minor_additive	wh3_combi_tms_generator_group_bretonnia_minor	0	true
wh3_combi_tms_generator_group_protective_additive	wh3_combi_tms_generator_group_bretonnia_minor	0	true
wh3_combi_tms_generator_group_bretonnia	wh3_combi_tms_generator_group_bretonnia_repanse	0	false
wh3_combi_tms_generator_group_purifier_additive	wh3_combi_tms_generator_group_bretonnia_repanse	0	true
wh3_combi_tms_generator_group_bretonnia_specific_additive	wh3_combi_tms_generator_group_bretonnia	0	true
wh3_combi_tms_generator_group_default	wh3_combi_tms_generator_group_bretonnia	0	false
wh3_combi_tms_generator_group_cathay	wh3_combi_tms_generator_group_cathay_gatecapture	0	false
wh3_combi_tms_generator_group_cathay_gatecapture_additive	wh3_combi_tms_generator_group_cathay_gatecapture	0	true
wh3_combi_tms_generator_group_cathay_gatecapture_additive	wh3_combi_tms_generator_group_cathay_miao_ying_gatecapture	0	true
wh3_combi_tms_generator_group_cathay_miao_ying	wh3_combi_tms_generator_group_cathay_miao_ying_gatecapture	0	false
wh3_combi_tms_generator_group_cathay	wh3_combi_tms_generator_group_cathay_miao_ying	0	false
wh3_combi_tms_generator_group_protective_additive	wh3_combi_tms_generator_group_cathay_miao_ying	0	true
wh3_combi_tms_generator_group_cathay_minor	wh3_combi_tms_generator_group_cathay_minor_gatecapture	0	false
wh3_combi_tms_generator_group_cathay	wh3_combi_tms_generator_group_cathay_minor	0	false
wh3_combi_tms_generator_group_minor_additive	wh3_combi_tms_generator_group_cathay_minor	0	true
wh3_combi_tms_generator_group_cathay	wh3_combi_tms_generator_group_cathay_yuan_bo	0	false
wh3_combi_tms_generator_group_cathay_gatecapture_additive	wh3_combi_tms_generator_group_cathay_zhao_ming_gatecapture	0	true
wh3_combi_tms_generator_group_cathay_zhao_ming	wh3_combi_tms_generator_group_cathay_zhao_ming_gatecapture	0	false
wh3_combi_tms_generator_group_aggressive_additive	wh3_combi_tms_generator_group_cathay_zhao_ming	0	true
wh3_combi_tms_generator_group_cathay	wh3_combi_tms_generator_group_cathay_zhao_ming	0	false
wh3_combi_tms_generator_group_cathay_specific_additive	wh3_combi_tms_generator_group_cathay	0	true
wh3_combi_tms_generator_group_default	wh3_combi_tms_generator_group_cathay	0	false
wh3_combi_tms_generator_group_chaos_dwarf	wh3_combi_tms_generator_group_chaos_dwarf_astragoth	0	false
wh3_combi_tms_generator_group_protective_additive	wh3_combi_tms_generator_group_chaos_dwarf_astragoth	0	true
wh3_combi_tms_generator_group_chaos_dwarf	wh3_combi_tms_generator_group_chaos_dwarf_drazhoath	0	false
wh3_combi_tms_generator_group_protective_additive	wh3_combi_tms_generator_group_chaos_dwarf_drazhoath	0	true
wh3_combi_tms_generator_group_chaos_dwarf	wh3_combi_tms_generator_group_chaos_dwarf_minor	0	false
wh3_combi_tms_generator_group_minor_additive	wh3_combi_tms_generator_group_chaos_dwarf_minor	0	true
wh3_combi_tms_generator_group_aggressive_additive	wh3_combi_tms_generator_group_chaos_dwarf_zhatan	0	true
wh3_combi_tms_generator_group_chaos_dwarf	wh3_combi_tms_generator_group_chaos_dwarf_zhatan	0	false
wh3_combi_tms_generator_group_chaos_dwarf_specific_additive	wh3_combi_tms_generator_group_chaos_dwarf	0	true
wh3_combi_tms_generator_group_chaos_dwarf_zharr_naggrund_capture_additive	wh3_combi_tms_generator_group_chaos_dwarf	0	true
wh3_combi_tms_generator_group_default	wh3_combi_tms_generator_group_chaos_dwarf	0	false
wh3_combi_tms_generator_group_chaos	wh3_combi_tms_generator_group_chaos_minor	0	false
wh3_combi_tms_generator_group_minor_additive	wh3_combi_tms_generator_group_chaos_minor	0	true
wh3_combi_tms_generator_group_chaos_settled	wh3_combi_tms_generator_group_chaos_settled_archaon	0	false
wh3_combi_tms_generator_group_chaos_settled	wh3_combi_tms_generator_group_chaos_settled_azazel	0	false
wh3_combi_tms_generator_group_chaos_settled	wh3_combi_tms_generator_group_chaos_settled_belakor	0	true
wh3_combi_tms_generator_group_chaos_settled	wh3_combi_tms_generator_group_chaos_settled_festus	0	false
wh3_combi_tms_generator_group_chaos_settled	wh3_combi_tms_generator_group_chaos_settled_kholek	0	false
wh3_combi_tms_generator_group_chaos_settled	wh3_combi_tms_generator_group_chaos_settled_minor	0	false
wh3_combi_tms_generator_group_minor_additive	wh3_combi_tms_generator_group_chaos_settled_minor	0	true
wh3_combi_tms_generator_group_chaos_settled	wh3_combi_tms_generator_group_chaos_settled_sigvald	0	false
wh3_combi_tms_generator_group_chaos_settled	wh3_combi_tms_generator_group_chaos_settled_valkia	0	false
wh3_combi_tms_generator_group_chaos_settled	wh3_combi_tms_generator_group_chaos_settled_vilitch	0	false
wh3_combi_tms_generator_group_chaos_settled_specific_additive	wh3_combi_tms_generator_group_chaos_settled	0	true
wh3_combi_tms_generator_group_default	wh3_combi_tms_generator_group_chaos_settled	0	false
wh3_combi_tms_generator_group_chaos_specific_additive	wh3_combi_tms_generator_group_chaos	0	true
wh3_combi_tms_generator_group_horde	wh3_combi_tms_generator_group_chaos	0	false
wh3_combi_tms_generator_group_daemonprince	wh3_combi_tms_generator_group_daemonprince_minor	0	false
wh3_combi_tms_generator_group_minor_additive	wh3_combi_tms_generator_group_daemonprince_minor	0	true
wh3_combi_tms_generator_group_daemonprince_specific_additive	wh3_combi_tms_generator_group_daemonprince	0	true
wh3_combi_tms_generator_group_default	wh3_combi_tms_generator_group_daemonprince	0	false
wh3_combi_tms_generator_group_darkelf	wh3_combi_tms_generator_group_darkelf_hellebron	0	false
wh3_combi_tms_generator_group_darkelf	wh3_combi_tms_generator_group_darkelf_lokhir	0	false
wh3_combi_tms_generator_group_darkelf	wh3_combi_tms_generator_group_darkelf_malekith	0	false
wh3_combi_tms_generator_group_darkelf	wh3_combi_tms_generator_group_darkelf_malus	0	false
wh3_combi_tms_generator_group_darkelf	wh3_combi_tms_generator_group_darkelf_minor	0	false
wh3_combi_tms_generator_group_minor_additive	wh3_combi_tms_generator_group_darkelf_minor	0	true
wh3_combi_tms_generator_group_darkelf	wh3_combi_tms_generator_group_darkelf_morathi	0	false
wh3_combi_tms_generator_group_darkelf	wh3_combi_tms_generator_group_darkelf_rakarth	0	false
wh3_combi_tms_generator_group_darkelf_specific_additive	wh3_combi_tms_generator_group_darkelf	0	true
wh3_combi_tms_generator_group_default	wh3_combi_tms_generator_group_darkelf	0	false
wh3_combi_tms_generator_group_naval_aggressor_additive	wh3_combi_tms_generator_group_darkelf	0	true
wh3_combi_tms_generator_group_raider_additive	wh3_combi_tms_generator_group_darkelf	0	true
wh3_combi_tms_generator_group_dwarf	wh3_combi_tms_generator_group_dwarf_belegar	0	false
wh3_combi_tms_generator_group_dwarf	wh3_combi_tms_generator_group_dwarf_grombrindal	0	false
wh3_combi_tms_generator_group_defensive_additive	wh3_combi_tms_generator_group_dwarf_minor	0	true
wh3_combi_tms_generator_group_dwarf	wh3_combi_tms_generator_group_dwarf_minor	0	false
wh3_combi_tms_generator_group_minor_additive	wh3_combi_tms_generator_group_dwarf_minor	0	true
wh3_combi_tms_generator_group_dwarf	wh3_combi_tms_generator_group_dwarf_thorek	0	false
wh3_combi_tms_generator_group_dwarf	wh3_combi_tms_generator_group_dwarf_thorgrim	0	false
wh3_combi_tms_generator_group_dwarf	wh3_combi_tms_generator_group_dwarf_ungrim	0	false
wh3_combi_tms_generator_group_purifier_additive	wh3_combi_tms_generator_group_dwarf_ungrim	0	true
wh3_combi_tms_generator_group_dwarf	wh3_combi_tms_generator_group_dwarfs_malakai	0	false
wh3_combi_tms_generator_group_default	wh3_combi_tms_generator_group_dwarf	0	false
wh3_combi_tms_generator_group_dwarf_specific_additive	wh3_combi_tms_generator_group_dwarf	0	true
wh3_combi_tms_generator_group_protective_additive	wh3_combi_tms_generator_group_dwarf	0	true
wh3_combi_tms_generator_group_empire	wh3_combi_tms_generator_group_empire_elspeth	0	false
wh3_combi_tms_generator_group_empire	wh3_combi_tms_generator_group_empire_franz	0	false
wh3_combi_tms_generator_group_empire	wh3_combi_tms_generator_group_empire_gelt	0	false
wh3_combi_tms_generator_group_empire	wh3_combi_tms_generator_group_empire_minor	0	false
wh3_combi_tms_generator_group_minor_additive	wh3_combi_tms_generator_group_empire_minor	0	true
wh3_combi_tms_generator_group_protective_additive	wh3_combi_tms_generator_group_empire_minor	0	true
wh3_combi_tms_generator_group_empire	wh3_combi_tms_generator_group_empire_volkmar	0	false
wh3_combi_tms_generator_group_purifier_additive	wh3_combi_tms_generator_group_empire_volkmar	0	true
wh3_combi_tms_generator_group_empire	wh3_combi_tms_generator_group_empire_wulfhart	0	false
wh3_combi_tms_generator_group_default	wh3_combi_tms_generator_group_empire	0	false
wh3_combi_tms_generator_group_empire_specific_additive	wh3_combi_tms_generator_group_empire	0	true
wh3_combi_tms_generator_group_aggressive_additive	wh3_combi_tms_generator_group_endgame	0	true
wh3_combi_tms_generator_group_default	wh3_combi_tms_generator_group_endgame	0	false
wh3_combi_tms_generator_group_forest_dweller_specific_additive	wh3_combi_tms_generator_group_forest_dweller	0	true
wh3_combi_tms_generator_group_woodelf_minor	wh3_combi_tms_generator_group_forest_dweller	0	false
wh3_combi_tms_generator_group_greenskin	wh3_combi_tms_generator_group_greenskin_azhag	0	false
wh3_combi_tms_generator_group_greenskin	wh3_combi_tms_generator_group_greenskin_gorbad	0	false
wh3_combi_tms_generator_group_greenskin	wh3_combi_tms_generator_group_greenskin_grimgor	0	false
wh3_combi_tms_generator_group_greenskin	wh3_combi_tms_generator_group_greenskin_grom	0	false
wh3_combi_tms_generator_group_greenskin	wh3_combi_tms_generator_group_greenskin_minor	0	false
wh3_combi_tms_generator_group_minor_additive	wh3_combi_tms_generator_group_greenskin_minor	0	true
wh3_combi_tms_generator_group_greenskin	wh3_combi_tms_generator_group_greenskin_skarsnik	0	false
wh3_combi_tms_generator_group_opportunistic_additive	wh3_combi_tms_generator_group_greenskin_skarsnik	0	true
wh3_combi_tms_generator_group_greenskin	wh3_combi_tms_generator_group_greenskin_wurrzag	0	false
wh3_combi_tms_generator_group_aggressive_additive	wh3_combi_tms_generator_group_greenskin	0	true
wh3_combi_tms_generator_group_default	wh3_combi_tms_generator_group_greenskin	0	false
