type	selection_cursor	standard_cursor	penalty_immune_attribute	burn_rate	audio_type	minimum_threshold	colour_hex
#ground_types_tables;8;db/ground_types_tables/data__							
burnt			strider	1.0000	earth	55.0000	400000
deep_water			strider	0.0000	water	55.0000	0000FF
forest	terrain_heavy	terrain_heavy_noselect	strider	1.0000	earth	55.0000	193300
grass			strider	1.0000	earth	0.0000	00FF00
mud			strider	1.0000	earth	55.0000	964B00
road			strider	1.0000	sand	55.0000	FF6000
rock			strider	1.0000	rock	55.0000	AAAAAA
sand			strider	1.0000	sand	55.0000	F4A460
scrub			strider	1.0000	earth	55.0000	ACE1AF
shallow_water	terrain_rough	terrain_rough_noselect	strider	0.0000	water	55.0000	5DFFFF
sharp_stones			strider	1.0000	sand	55.0000	FFFF00
snow			strider	1.0000	sand	55.0000	FFFFFF
wooden_floor			strider	1.0000	wood	55.0000	FF6464
