army_special_ability	faction	is_hidden_in_ui
#army_special_abilities_for_faction_junctions_tables;1;db/army_special_abilities_for_faction_junctions_tables/data__		
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_dune_kingdoms	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_exiles_of_nehek	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_followers_of_nagash	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_khemri	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_lybaras	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_numas	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_rakaph_dynasty	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_the_sentinels	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_tomb_kings	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_tombking_qb1	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_tombking_qb2	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_tombking_qb3	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_tombking_qb4	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_tombking_qb_followers_of_nagash	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_tombking_qb_khemri	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_tmb_tombking_qb_lybaras	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh3_main_tmb_deserters_of_khatep	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_dune_kingdoms	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_exiles_of_nehek	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_followers_of_nagash	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_khemri	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_lybaras	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_numas	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_rakaph_dynasty	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_the_sentinels	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_tomb_kings	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_tombking_qb1	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_tombking_qb2	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_tombking_qb3	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_tombking_qb4	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_tombking_qb_followers_of_nagash	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_tombking_qb_khemri	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_tmb_tombking_qb_lybaras	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh3_dlc29_nag_host_of_nagash	true
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh3_main_tmb_deserters_of_khatep	false
wh2_dlc15_army_abilities_waaagh	wh2_dlc12_grn_leaf_cutterz_tribe	false
wh2_dlc15_army_abilities_waaagh	wh2_dlc12_grn_leaf_cutterz_tribe_waaagh	false
wh2_dlc15_army_abilities_waaagh	wh2_dlc13_grn_greenskins_invasion	false
wh2_dlc15_army_abilities_waaagh	wh2_dlc14_grn_red_cloud	false
